"Date","Text","Message JSON","Intent","Incoming"
"2020-01-25T06:23:09.621Z",,"{""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04""}",,true
"2020-01-25T06:23:09.622Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5ca47d5b-54f7-4d7f-93e5-ad6b6f33635a""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-25T06:23:23.364Z","does the implant need to stay in your arm for year","{""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""text"":""does the implant need to stay in your arm for year""}",,true
"2020-01-25T06:23:23.616Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-25T06:23:23.349Z","The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""What's it like to get the implant?""}},""label"":""Look here to find out what it's like to get the implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or go ahead and ask me something else.""}],""nodes_visited"":[""node_25_1535051263105"",""node_40_1542231023081""],""text"":[""The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years."",""Or go ahead and ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_40_1542231023081"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5ca47d5b-54f7-4d7f-93e5-ad6b6f33635a""},""input"":{""text"":""does the implant need to stay in your arm for year""},""intents"":[{""intent"":""Implant.duration"",""confidence"":0.46270213127136234}],""entities"":[{""location"":[5,16],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years."",""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""intent"":{""name"":""Implant.duration"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.duration",false
"2020-01-25T06:23:23.629Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_40_1542231023081"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5ca47d5b-54f7-4d7f-93e5-ad6b6f33635a""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-25T06:23:33.503Z","how long does the implant last","{""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""text"":""how long does the implant last""}",,true
"2020-01-25T06:23:33.489Z","The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""What's it like to get the implant?""}},""label"":""Look here to find out what it's like to get the implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or go ahead and ask me something else.""}],""nodes_visited"":[""node_25_1535051263105"",""node_40_1542231023081""],""text"":[""The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years."",""Or go ahead and ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_40_1542231023081"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5ca47d5b-54f7-4d7f-93e5-ad6b6f33635a""},""input"":{""text"":""how long does the implant last""},""intents"":[{""intent"":""Implant.duration"",""confidence"":1}],""entities"":[{""location"":[14,25],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The implant will work to stop you from getting pregnant for up to 3 years. You can always get it taken out sooner if you want, but you can be worry free for the next 3 years."",""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""intent"":{""name"":""Implant.duration"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.duration",false
"2020-01-25T06:23:46.311Z","can i take the implant out","{""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""text"":""can i take the implant out""}",,true
"2020-01-25T06:23:46.326Z","The implant is NOT permanent. It can protect against pregnancy for years, but whenever you’re ready to take it out, just make an appointment with your doctor to remove it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The implant is NOT permanent. It can protect against pregnancy for years, but whenever you’re ready to take it out, just make an appointment with your doctor to remove it.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""Tell me more about getting the implant""}},""label"":""Tap here to ask me what it's like to get the implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or go ahead and ask me something else.""}],""nodes_visited"":[""node_28_1535055932175"",""node_32_1542229462285""],""text"":[""The implant is NOT permanent. It can protect against pregnancy for years, but whenever you’re ready to take it out, just make an appointment with your doctor to remove it."",""Or go ahead and ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_40_1542231023081"":{""0"":[0],""3"":[0]},""node_32_1542229462285"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""5ca47d5b-54f7-4d7f-93e5-ad6b6f33635a""},""input"":{""text"":""can i take the implant out""},""intents"":[{""intent"":""Implant.not.permanent"",""confidence"":0.9147526741027832}],""entities"":[{""location"":[11,22],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The implant is NOT permanent. It can protect against pregnancy for years, but whenever you’re ready to take it out, just make an appointment with your doctor to remove it."",""userId"":""a6fb16d9-eeaf-4c30-b4f5-aa706100ff04"",""intent"":{""name"":""Implant.not.permanent"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.not.permanent",false
