"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T23:27:36.279Z",,"{""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a""}",,true
"2020-01-05T23:27:36.279Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""97c3d9d8-5ec0-4976-b34e-0ac2c1e7a57e""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T23:28:03.735Z","Can I get pregnant the first time I have sex","{""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""text"":""Can I get pregnant the first time I have sex""}",,true
"2020-01-05T23:28:03.720Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""97c3d9d8-5ec0-4976-b34e-0ac2c1e7a57e""},""input"":{""text"":""Can I get pregnant the first time I have sex""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.9266445636749268}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[41,44],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""intent"":{""name"":""BC.and.virgins"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Sex"",""value"":""sex""}]}}","BC.and.virgins",false
"2020-01-05T23:28:32.127Z","What happens if I take 2 birth controls","{""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""text"":""What happens if I take 2 birth controls""}",,true
"2020-01-05T23:28:32.320Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T23:28:32.146Z","For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""}],""nodes_visited"":[""node_13_1534541404795"",""node_45_1542676897655"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!"",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_45_1542676897655"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,4,0,6,5,1,2,3]},""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""97c3d9d8-5ec0-4976-b34e-0ac2c1e7a57e""},""input"":{""text"":""What happens if I take 2 birth controls""},""intents"":[{""intent"":""BC.danger"",""confidence"":0.46299142837524415}],""entities"":[{""location"":[23,24],""metadata"":{""numeric_value"":2},""value"":""2"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""For most women, birth control is completely safe. Some women might experience some side effects like spotting or cramping but they usually go away as the body adjusts. For most of us, the benefits of birth control are way more important than a few side effects. And you might not know this but, some kinds of birth control actually protect against certain types of cancers!"",""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""intent"":{""name"":""BC.danger"",""inputs"":[{""name"":""sys-number"",""value"":""2""}]}}","BC.danger",false
"2020-01-05T23:28:32.313Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_45_1542676897655"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,4,0,6,5,1,2,3]},""node_57_1542677951229"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""97c3d9d8-5ec0-4976-b34e-0ac2c1e7a57e""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T23:29:10.802Z","What happens if I take two birth control pills","{""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""text"":""What happens if I take two birth control pills""}",,true
"2020-01-05T23:29:10.800Z","Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day.""},{""response_type"":""text"",""text"":""And remember, the pill only protects against pregnancy. You still need to use condoms to prevent STDs.""},{""typing"":true,""response_type"":""pause"",""time"":2500},{""response_type"":""text"",""text"":""And if that sounds hard, <a href=\""/#birth-control-types\"">tap here to check out some really easy and effective types of birth control</a>, or you can ask me something else.""}],""nodes_visited"":[""node_30_1534885490953"",""node_2_1541441843874""],""text"":[""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day."",""And remember, the pill only protects against pregnancy. You still need to use condoms to prevent STDs."",""And if that sounds hard, <a href=\""/#birth-control-types\"">tap here to check out some really easy and effective types of birth control</a>, or you can ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1541441843874"":{""0"":[0],""1"":[0],""3"":[0]},""node_45_1542676897655"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,4,0,6,5,1,2,3]},""node_57_1542677951229"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""97c3d9d8-5ec0-4976-b34e-0ac2c1e7a57e""},""input"":{""text"":""What happens if I take two birth control pills""},""intents"":[{""intent"":""BC.miss"",""confidence"":0.7711076259613037}],""entities"":[{""location"":[23,26],""metadata"":{""numeric_value"":2},""value"":""2"",""entity"":""sys-number"",""confidence"":1},{""location"":[27,46],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day."",""userId"":""b122dd38-9436-4cf7-98d4-fd3ecd9fdf5a"",""intent"":{""name"":""BC.miss"",""inputs"":[{""name"":""sys-number"",""value"":""2""},{""name"":""Birth_Control"",""value"":""the pill""}]}}","BC.miss",false
