"Date","Text","Message JSON","Intent","Incoming"
"2020-01-18T15:08:27.410Z",,"{""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b""}",,true
"2020-01-18T15:08:27.411Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b5fb14d1-ca33-4d28-b824-515a5afb258b""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""64569011-5ae2-4d5a-856c-c1c24071b059""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-18T15:09:00.911Z","Will it make me gain weight ","{""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""text"":""Will it make me gain weight ""}",,true
"2020-01-18T15:09:00.898Z","A lot of girls are worried about gaining weight on the pill but, they really shouldn’t be. Most of the time, if a woman gains weight it’s much more likely to be due to other things going on in her life than being on the pill.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A lot of girls are worried about gaining weight on the pill but, they really shouldn’t be. Most of the time, if a woman gains weight it’s much more likely to be due to other things going on in her life than being on the pill.""}],""nodes_visited"":[""node_52_1534989105177"",""node_22_1541720245586""],""text"":[""A lot of girls are worried about gaining weight on the pill but, they really shouldn’t be. Most of the time, if a woman gains weight it’s much more likely to be due to other things going on in her life than being on the pill.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b5fb14d1-ca33-4d28-b824-515a5afb258b""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1541720245586"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""64569011-5ae2-4d5a-856c-c1c24071b059""},""input"":{""text"":""Will it make me gain weight ""},""intents"":[{""intent"":""Pill.weight.gain"",""confidence"":0.9628521442413331}],""alternate_intents"":false},""text"":""A lot of girls are worried about gaining weight on the pill but, they really shouldn’t be. Most of the time, if a woman gains weight it’s much more likely to be due to other things going on in her life than being on the pill."",""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""intent"":{""name"":""Pill.weight.gain""}}","Pill.weight.gain",false
"2020-01-18T15:09:23.547Z","With the arm implant ","{""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""text"":""With the arm implant ""}",,true
"2020-01-18T15:09:23.974Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-18T15:09:23.563Z","The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix.""},{""response_type"":""text"",""text"":""Once inserted by your doctor, it can prevent pregnancy for up to 3 years but you can always get it taken out whenever you’re ready.""},{""typing"":true,""response_type"":""pause"",""time"":2100},{""options"":[{""value"":{""input"":{""text"":""What's it like to get the implant?""}},""label"":""Tap here to find out what it's like to get an implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me more.""}],""nodes_visited"":[""node_51_1535409420594"",""node_10_1542398323701""],""text"":[""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix."",""Once inserted by your doctor, it can prevent pregnancy for up to 3 years but you can always get it taken out whenever you’re ready."",""Or you can ask me more.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b5fb14d1-ca33-4d28-b824-515a5afb258b""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1541720245586"":{""0"":[0,0]},""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""64569011-5ae2-4d5a-856c-c1c24071b059""},""input"":{""text"":""With the arm implant ""},""intents"":[{""intent"":""def_implant"",""confidence"":0.45631697177886965}],""entities"":[{""location"":[13,20],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The implant is a type of birth control that goes into your upper arm to prevent pregnancy. It used to be called Implanon but now it’s called Nexplanon. It’s a teeny rod that releases progestin to stop ovulation (no egg, no baby) and thickens mucus in your cervix."",""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""intent"":{""name"":""def_implant"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","def_implant",false
"2020-01-18T15:09:23.963Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b5fb14d1-ca33-4d28-b824-515a5afb258b""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_22_1541720245586"":{""0"":[0,0]},""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""64569011-5ae2-4d5a-856c-c1c24071b059""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-18T15:09:40.358Z","Will I gain weight with the arm implant ","{""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""text"":""Will I gain weight with the arm implant ""}",,true
"2020-01-18T15:09:40.358Z","For most girls, the implant can make their periods so much more chill. Think less cramps and lighter bleeding. And some girls might not even have a period at all after a year. Yup, totally normal and safe!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""For most girls, the implant can make their periods so much more chill. Think less cramps and lighter bleeding. And some girls might not even have a period at all after a year. Yup, totally normal and safe!""},{""typing"":true,""response_type"":""pause"",""time"":1200},{""options"":[{""value"":{""input"":{""text"":""How effective is the implant?""}},""label"":""Learn more about how effective the implant is here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_22_1535050089928"",""node_44_1542231904597""],""text"":[""For most girls, the implant can make their periods so much more chill. Think less cramps and lighter bleeding. And some girls might not even have a period at all after a year. Yup, totally normal and safe!"",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b5fb14d1-ca33-4d28-b824-515a5afb258b""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_22_1541720245586"":{""0"":[0,0]},""node_10_1542398323701"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_44_1542231904597"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""64569011-5ae2-4d5a-856c-c1c24071b059""},""input"":{""text"":""Will I gain weight with the arm implant ""},""intents"":[{""intent"":""Implant.and.period"",""confidence"":0.7683620929718018}],""entities"":[{""location"":[32,39],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""For most girls, the implant can make their periods so much more chill. Think less cramps and lighter bleeding. And some girls might not even have a period at all after a year. Yup, totally normal and safe!"",""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""intent"":{""name"":""Implant.and.period"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","Implant.and.period",false
"2020-01-18T15:09:59.940Z","How effective is the implant?","{""userId"":""b5fb14d1-ca33-4d28-b824-515a5afb258b"",""text"":""How effective is the implant?""}",,true
