"Date","Text","Message JSON","Intent","Incoming"
"2020-01-23T01:52:51.316Z",,"{""userId"":""b871ea47-e677-4262-8054-1f6de22b4755""}",,true
"2020-01-23T01:52:51.317Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b871ea47-e677-4262-8054-1f6de22b4755""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e5319b6c-bbd7-4aaf-b615-65a4a031e484""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-23T01:53:04.247Z","birth contorl","{""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""text"":""birth contorl""}",,true
"2020-01-23T01:53:04.231Z","Most types of birth control aren't permanent. Sterilization - called 'getting your tubes tied' for women, and a vasectomy for men - is the only permanent type of birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Most types of birth control aren't permanent. Sterilization - called 'getting your tubes tied' for women, and a vasectomy for men - is the only permanent type of birth control. ""}],""nodes_visited"":[""node_22_1534796417307""],""text"":[""Most types of birth control aren't permanent. Sterilization - called 'getting your tubes tied' for women, and a vasectomy for men - is the only permanent type of birth control. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b871ea47-e677-4262-8054-1f6de22b4755""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1534796417307"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e5319b6c-bbd7-4aaf-b615-65a4a031e484""},""input"":{""text"":""birth contorl""},""intents"":[{""intent"":""BC.permanent"",""confidence"":0.6466575622558595}],""alternate_intents"":false},""text"":""Most types of birth control aren't permanent. Sterilization - called 'getting your tubes tied' for women, and a vasectomy for men - is the only permanent type of birth control. "",""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""intent"":{""name"":""BC.permanent""}}","BC.permanent",false
"2020-01-23T01:53:07.420Z","birth control","{""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""text"":""birth control""}",,true
"2020-01-23T01:53:07.433Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/&__hash__;birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b871ea47-e677-4262-8054-1f6de22b4755""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,1,0,2,6,5,4,3]},""node_22_1534796417307"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e5319b6c-bbd7-4aaf-b615-65a4a031e484""},""input"":{""text"":""birth control""},""intents"":[{""intent"":""BC.types"",""confidence"":1}],""entities"":[{""location"":[0,13],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-23T01:53:27.811Z","abstinence","{""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""text"":""abstinence""}",,true
"2020-01-23T01:53:27.772Z","Abstinence just means you’re not having sex. People decide to practice abstinence for all kinds of reasons. Some people just decide they’re not ready while others want to wait till they’ve found the one.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Abstinence just means you’re not having sex. People decide to practice abstinence for all kinds of reasons. Some people just decide they’re not ready while others want to wait till they’ve found the one.""}],""nodes_visited"":[""node_27_1534883220945"",""node_41_1542651527484""],""text"":[""Abstinence just means you’re not having sex. People decide to practice abstinence for all kinds of reasons. Some people just decide they’re not ready while others want to wait till they’ve found the one.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b871ea47-e677-4262-8054-1f6de22b4755""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,1,0,2,6,5,4,3]},""node_41_1542651527484"":{""0"":[0,0]},""node_22_1534796417307"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e5319b6c-bbd7-4aaf-b615-65a4a031e484""},""input"":{""text"":""abstinence""},""intents"":[{""intent"":""def_abstinence"",""confidence"":1}],""alternate_intents"":false},""text"":""Abstinence just means you’re not having sex. People decide to practice abstinence for all kinds of reasons. Some people just decide they’re not ready while others want to wait till they’ve found the one."",""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""intent"":{""name"":""def_abstinence""}}","def_abstinence",false
"2020-01-23T01:53:42.863Z","am i prego","{""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""text"":""am i prego""}",,true
"2020-01-23T01:53:42.878Z","I'm sorry - I didn't understand. Can you try asking in a different way? ","{""userId"":""b871ea47-e677-4262-8054-1f6de22b4755"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I'm sorry - I didn't understand. Can you try asking in a different way? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""b871ea47-e677-4262-8054-1f6de22b4755""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,1,2,3,0,4,5]},""node_1_1544810991157"":{""1"":[0,1,0,2,6,5,4,3]},""node_41_1542651527484"":{""0"":[0,0]},""node_22_1534796417307"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e5319b6c-bbd7-4aaf-b615-65a4a031e484""},""input"":{""text"":""am i prego""},""alternate_intents"":false},""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}",,false
