"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:09:17.741Z",,"{""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd""}",,true
"2020-01-10T17:09:17.753Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bb5ae47e-c087-4827-a3dd-31d6632698dd""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f557c70b-bc3e-48a1-b5e0-48b31bdd9cae""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:09:57.714Z","How does a shot work?","{""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""text"":""How does a shot work?""}",,true
"2020-01-10T17:09:57.730Z","The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How effective is the shot at preventing pregnancy?""}},""label"":""Tap here to find out how effective the shot is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Have another question? Ask me!""}],""nodes_visited"":[""node_6_1535561433242"",""node_12_1542403318496""],""text"":[""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""Have another question? Ask me!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bb5ae47e-c087-4827-a3dd-31d6632698dd""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f557c70b-bc3e-48a1-b5e0-48b31bdd9cae""},""input"":{""text"":""How does a shot work?""},""intents"":[{""intent"":""def_shot"",""confidence"":0.4734206676483155}],""entities"":[{""location"":[11,15],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""intent"":{""name"":""def_shot"",""inputs"":[{""name"":""Birth_Control"",""value"":""Shot""}]}}","def_shot",false
"2020-01-10T17:09:58.039Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-10T17:09:58.027Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bb5ae47e-c087-4827-a3dd-31d6632698dd""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f557c70b-bc3e-48a1-b5e0-48b31bdd9cae""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-10T17:10:02.416Z",,"{""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd""}",,true
"2020-01-10T17:10:02.433Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bb5ae47e-c087-4827-a3dd-31d6632698dd""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""17999e43-983d-47cf-825a-961e40e1ae68""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:14:16.391Z","What are the side effects of The Shot?","{""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""text"":""What are the side effects of The Shot?""}",,true
"2020-01-10T17:14:16.404Z","The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite.""},{""typing"":true,""response_type"":""pause"",""time"":1700},{""options"":[{""value"":{""input"":{""text"":""How much is the shot?""}},""label"":""Tap here to see how much the shot might cost.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_3_1535419543482"",""node_16_1541625383567""],""text"":[""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite."",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""bb5ae47e-c087-4827-a3dd-31d6632698dd""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_16_1541625383567"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""17999e43-983d-47cf-825a-961e40e1ae68""},""input"":{""text"":""What are the side effects of The Shot?""},""intents"":[{""intent"":""Shot.side.effects"",""confidence"":1}],""entities"":[{""location"":[13,25],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[29,37],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite."",""userId"":""bb5ae47e-c087-4827-a3dd-31d6632698dd"",""intent"":{""name"":""Shot.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""Shot""}]}}","Shot.side.effects",false
