"Date","Text","Message JSON","Intent","Incoming"
"2020-01-12T22:12:16.374Z",,"{""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a""}",,true
"2020-01-12T22:12:16.375Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c339e8fa-75e9-4c90-85b8-052d238ad44a""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""901a098d-1943-4079-ac98-41bfc2bd1356""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-12T22:12:34.438Z","hi","{""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""text"":""hi""}",,true
"2020-01-12T22:12:34.423Z","Heyyy girl! Have any questions about birth control? Just ask and I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!""}],""nodes_visited"":[""node_12_1539832480514"",""node_12_1542240270828""],""text"":[""Heyyy girl! Have any questions about birth control? Just ask and I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c339e8fa-75e9-4c90-85b8-052d238ad44a""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""901a098d-1943-4079-ac98-41bfc2bd1356""},""input"":{""text"":""hi""},""intents"":[{""intent"":""Hey"",""confidence"":1}],""alternate_intents"":false},""text"":""Heyyy girl! Have any questions about birth control? Just ask and I got you!"",""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""intent"":{""name"":""Hey""}}","Hey",false
"2020-01-12T22:12:48.687Z","image","{""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""text"":""image""}",,true
"2020-01-12T22:12:48.700Z","I didn't understand - can you try rewording? ","{""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand - can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I didn't understand - can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c339e8fa-75e9-4c90-85b8-052d238ad44a""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,2,1,4,3,5,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1542240270828"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""901a098d-1943-4079-ac98-41bfc2bd1356""},""input"":{""text"":""image""},""alternate_intents"":false},""text"":""I didn't understand - can you try rewording? ""}",,false
"2020-01-12T22:13:03.248Z","birth","{""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""text"":""birth""}",,true
"2020-01-12T22:13:03.664Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-12T22:13:03.234Z","😘✌🏽","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""😘✌🏽""}],""nodes_visited"":[""node_10_1536335289751"",""node_6_1542645880502""],""text"":[""😘✌🏽""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c339e8fa-75e9-4c90-85b8-052d238ad44a""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,2,1,4,3,5,0]},""node_6_1542645880502"":{""0"":[0,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""901a098d-1943-4079-ac98-41bfc2bd1356""},""input"":{""text"":""birth""},""intents"":[{""intent"":""Bye"",""confidence"":0.34807846546173093}],""alternate_intents"":false},""text"":""😘✌🏽"",""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""intent"":{""name"":""Bye""}}","Bye",false
"2020-01-12T22:13:03.681Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c339e8fa-75e9-4c90-85b8-052d238ad44a""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,2,1,4,3,5,0]},""node_6_1542645880502"":{""0"":[0,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""901a098d-1943-4079-ac98-41bfc2bd1356""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""c339e8fa-75e9-4c90-85b8-052d238ad44a"",""intent"":{""name"":""unknown""}}","unknown",false
