"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T18:46:40.793Z",,"{""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a""}",,true
"2020-01-04T18:46:40.789Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""55f4b0b5-e13b-4301-8cd2-46d413bf9a49""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T18:47:02.575Z","how dp you get birth control","{""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""text"":""how dp you get birth control""}",,true
"2020-01-04T18:47:02.562Z","Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=""_blank"" href=""https://www.prjktruby.com/"">Prjkt Ruby</a>, <a target=""_blank"" href=""https://thepillclub.com/main/"">The Pill Club</a>, <a target=""_blank"" href=""https://app.nurx.com/oc/category/"">Nurx</a>, and <a target=""_blank"" href=""https://www.vagisil.com/products/preventeza-emergency-contraceptive/"">Vagisil</a>.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>.""},{""response_type"":""text"",""text"":""Now, if you want the IUD, shot, or the implant, only a doctor can do those so you’ll need to make an appointment if that’s what you want. And don’t forget, you can buy condoms anywhere. You can even get them for free at places like <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>.""},{""response_type"":""text"",""text"":""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""}],""nodes_visited"":[""node_11_1534788284463"",""node_22_1542671356223"",""node_6_1576089694138""],""text"":[""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""Now, if you want the IUD, shot, or the implant, only a doctor can do those so you’ll need to make an appointment if that’s what you want. And don’t forget, you can buy condoms anywhere. You can even get them for free at places like <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>."",""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_6_1576089694138"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""55f4b0b5-e13b-4301-8cd2-46d413bf9a49""},""input"":{""text"":""how dp you get birth control""},""intents"":[{""intent"":""BC.how.get"",""confidence"":0.8961166858673095}],""entities"":[{""location"":[15,28],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""intent"":{""name"":""BC.how.get"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.how.get",false
"2020-01-04T18:51:34.698Z","does it hurt","{""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""text"":""does it hurt""}",,true
"2020-01-04T18:51:34.699Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""55f4b0b5-e13b-4301-8cd2-46d413bf9a49""},""input"":{""text"":""does it hurt""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.8123441696166993}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""intent"":{""name"":""Sex.pain""}}","Sex.pain",false
"2020-01-04T18:52:06.280Z","what is a minor","{""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""text"":""what is a minor""}",,true
"2020-01-04T18:52:06.869Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T18:52:06.268Z","If you're sensitive to estrogen, a progestin-only pill (aka the ""mini pill"") may be a good option for you. The mini pill is a type of birth control that releases small amounts of progestin each day. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're sensitive to estrogen, a progestin-only pill (aka the \""mini pill\"") may be a good option for you. The mini pill is a type of birth control that releases small amounts of progestin each day. ""}],""nodes_visited"":[""node_41_1534982288461""],""text"":[""If you're sensitive to estrogen, a progestin-only pill (aka the \""mini pill\"") may be a good option for you. The mini pill is a type of birth control that releases small amounts of progestin each day. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_41_1534982288461"":{""0"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""55f4b0b5-e13b-4301-8cd2-46d413bf9a49""},""input"":{""text"":""what is a minor""},""intents"":[{""intent"":""def_Mini.Pill"",""confidence"":0.30258406400680543}],""alternate_intents"":false},""text"":""If you're sensitive to estrogen, a progestin-only pill (aka the \""mini pill\"") may be a good option for you. The mini pill is a type of birth control that releases small amounts of progestin each day. "",""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""intent"":{""name"":""def_Mini.Pill""}}","def_Mini.Pill",false
"2020-01-04T18:52:06.884Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_41_1534982288461"":{""0"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_1_1540844990941"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""55f4b0b5-e13b-4301-8cd2-46d413bf9a49""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""c6fe37bd-9d8c-4048-858b-524fdf12ce7a"",""intent"":{""name"":""unknown""}}","unknown",false
