"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T19:12:34.443Z",,"{""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703""}",,true
"2020-01-05T19:12:34.441Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cabfb654-c802-4e2d-8649-88f1cbd19703""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3591ba89-af1e-4d72-b808-e6d98c63b121""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T19:12:48.207Z","Can u be pregnant ur first time","{""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""text"":""Can u be pregnant ur first time""}",,true
"2020-01-05T19:12:48.191Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cabfb654-c802-4e2d-8649-88f1cbd19703""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3591ba89-af1e-4d72-b808-e6d98c63b121""},""input"":{""text"":""Can u be pregnant ur first time""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.802333402633667}],""entities"":[{""location"":[9,17],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""intent"":{""name"":""BC.and.virgins"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","BC.and.virgins",false
"2020-01-05T19:13:04.513Z","How can u tell ur preg","{""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""text"":""How can u tell ur preg""}",,true
"2020-01-05T19:13:04.525Z","Finding out your pregnant can be scary af, especially if this wasn’t in the plans. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk.﻿","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk.﻿""}],""nodes_visited"":[""node_1_1556808503426""],""text"":[""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk.﻿""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cabfb654-c802-4e2d-8649-88f1cbd19703""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1556808503426"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3591ba89-af1e-4d72-b808-e6d98c63b121""},""input"":{""text"":""How can u tell ur preg""},""intents"":[{""intent"":""Preg.telling_others"",""confidence"":0.5468542575836182}],""entities"":[{""location"":[18,22],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. Tell them in whatever way you are most comfortable with. Keep in mind they might react negatively so try telling them in a calm, quiet place where you can talk.﻿"",""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""intent"":{""name"":""Preg.telling_others"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Preg.telling_others",false
"2020-01-05T19:13:27.758Z","Does it hurt having your first time ","{""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""text"":""Does it hurt having your first time ""}",,true
"2020-01-05T19:13:27.745Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cabfb654-c802-4e2d-8649-88f1cbd19703""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,3,0,2,4,1]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1556808503426"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3591ba89-af1e-4d72-b808-e6d98c63b121""},""input"":{""text"":""Does it hurt having your first time ""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.3676305935228812}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""intent"":{""name"":""Sex.pain""}}","Sex.pain",false
"2020-01-05T19:13:28.144Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T19:13:28.158Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cabfb654-c802-4e2d-8649-88f1cbd19703""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,3,0,2,4,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1556808503426"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3591ba89-af1e-4d72-b808-e6d98c63b121""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""cabfb654-c802-4e2d-8649-88f1cbd19703"",""intent"":{""name"":""unknown""}}","unknown",false
