"Date","Text","Message JSON","Intent","Incoming"
"2020-01-23T04:31:40.662Z","cervix","{""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""text"":""cervix""}",,true
"2020-01-23T04:31:40.938Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-23T04:31:40.663Z","The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.""},{""response_type"":""text"",""text"":""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""}],""nodes_visited"":[""node_1_1540517127549"",""node_18_1542307714292""],""text"":[""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cbd5042e-46f1-4251-81eb-f82aa8113b06""},""system"":{""dialog_request_counter"":48,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":48,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1541394595763"":{""0"":[0,0]},""node_89_1543885085730"":{""0"":[0]},""node_4_1537982696303"":{""0"":[2]},""node_20_1542399422016"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_1_1544810991157"":{""1"":[3,5,1,3,6,2,4,0]},""node_10_1542218172299"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1542397265332"":{""0"":[0],""1"":[0],""4"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_12_1543872795269"":{""0"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_1_1541103168854"":{""0"":[0]},""node_3_1544835959501"":{""1"":[3,0,1,4,3,2]},""node_60_1543881679372"":{""0"":[0],""1"":[0]},""node_8_1541090633284"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_20_1542140038779"":{""0"":[1]},""node_4_1542645414327"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8fe36910-2b46-480e-b6fe-5f4f353b4330""},""input"":{""text"":""cervix""},""intents"":[{""intent"":""def_vagina"",""confidence"":0.3116541028022766}],""alternate_intents"":false},""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""intent"":{""name"":""def_vagina""}}","def_vagina",false
"2020-01-23T04:31:40.926Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cbd5042e-46f1-4251-81eb-f82aa8113b06""},""system"":{""dialog_request_counter"":49,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":49,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1541394595763"":{""0"":[0,0]},""node_89_1543885085730"":{""0"":[0]},""node_4_1537982696303"":{""0"":[2]},""node_20_1542399422016"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_1_1544810991157"":{""1"":[3,5,1,3,6,2,4,0]},""node_10_1542218172299"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1542397265332"":{""0"":[0],""1"":[0],""4"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_12_1543872795269"":{""0"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_1_1541103168854"":{""0"":[0]},""node_3_1544835959501"":{""1"":[3,0,1,4,3,2]},""node_60_1543881679372"":{""0"":[0],""1"":[0]},""node_8_1541090633284"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_20_1542140038779"":{""0"":[1]},""node_4_1542645414327"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8fe36910-2b46-480e-b6fe-5f4f353b4330""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-23T04:31:44.124Z","what is the vagina","{""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""text"":""what is the vagina""}",,true
"2020-01-23T04:31:44.138Z","The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.""},{""response_type"":""text"",""text"":""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""}],""nodes_visited"":[""node_1_1540517127549"",""node_18_1542307714292""],""text"":[""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cbd5042e-46f1-4251-81eb-f82aa8113b06""},""system"":{""dialog_request_counter"":50,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":50,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1541394595763"":{""0"":[0,0]},""node_89_1543885085730"":{""0"":[0]},""node_4_1537982696303"":{""0"":[2]},""node_20_1542399422016"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_1_1544810991157"":{""1"":[3,5,1,3,6,2,4,0]},""node_10_1542218172299"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1542397265332"":{""0"":[0],""1"":[0],""4"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_12_1543872795269"":{""0"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_1_1541103168854"":{""0"":[0]},""node_3_1544835959501"":{""1"":[3,0,1,4,3,2]},""node_60_1543881679372"":{""0"":[0],""1"":[0]},""node_8_1541090633284"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_20_1542140038779"":{""0"":[1]},""node_4_1542645414327"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8fe36910-2b46-480e-b6fe-5f4f353b4330""},""input"":{""text"":""what is the vagina""},""intents"":[{""intent"":""def_vagina"",""confidence"":0.9448527336120607}],""entities"":[{""location"":[12,18],""value"":""Vagina"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""intent"":{""name"":""def_vagina"",""inputs"":[{""name"":""Body_Parts"",""value"":""Vagina""}]}}","def_vagina",false
"2020-01-23T04:33:46.322Z","iud painful","{""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""text"":""iud painful""}",,true
"2020-01-23T04:33:46.321Z","I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person.""},{""response_type"":""text"",""text"":""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""}],""nodes_visited"":[""node_31_1534973793065"",""node_70_1542152993222""],""text"":[""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""If you know you’re sensitive to pain, take a Tylenol before your procedure. If you do feel anything, it should only be mild cramps or back pain and it’ll go away pretty fast and once it's done, you’re protected against pregnancy for YEARS. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cbd5042e-46f1-4251-81eb-f82aa8113b06""},""system"":{""dialog_request_counter"":51,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":51,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_2_1541394595763"":{""0"":[0,0]},""node_89_1543885085730"":{""0"":[0]},""node_4_1537982696303"":{""0"":[2]},""node_20_1542399422016"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_1_1544810991157"":{""1"":[3,5,1,3,6,2,4,0]},""node_10_1542218172299"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1542397265332"":{""0"":[0],""1"":[0],""4"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_12_1543872795269"":{""0"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_1_1541103168854"":{""0"":[0]},""node_3_1544835959501"":{""1"":[3,0,1,4,3,2]},""node_60_1543881679372"":{""0"":[0],""1"":[0]},""node_8_1541090633284"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_20_1542140038779"":{""0"":[1]},""node_4_1542645414327"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8fe36910-2b46-480e-b6fe-5f4f353b4330""},""input"":{""text"":""iud painful""},""intents"":[{""intent"":""IUD.insert.pain"",""confidence"":0.754096269607544}],""entities"":[{""location"":[0,3],""value"":""IUD"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""I’ll be honest, getting the IUD can be pretty uncomfortable for some people BUT, other people are perfectly fine. It really just depends on the person."",""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""intent"":{""name"":""IUD.insert.pain"",""inputs"":[{""name"":""Birth_Control"",""value"":""IUD""}]}}","IUD.insert.pain",false
"2020-01-23T04:35:41.336Z","pap smear","{""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""text"":""pap smear""}",,true
"2020-01-23T04:35:41.337Z","It's good to start seeing a gynecologist before you start having sex. Even if you're not having sex, if you're 21 or older, you should start getting pap smears. Pap smears are a quick test to make sure everything's healthy up there - don't worry, they're usually not painful. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""It's good to start seeing a gynecologist before you start having sex. Even if you're not having sex, if you're 21 or older, you should start getting pap smears. Pap smears are a quick test to make sure everything's healthy up there - don't worry, they're usually not painful. ""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How can I make an appointment with a nearby doctor?""}},""label"":""Tap here to find out how to make an appointment with a doctor""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me another question on your mind.""}],""nodes_visited"":[""node_10_1534873806465"",""node_10_1543966161831""],""text"":[""It's good to start seeing a gynecologist before you start having sex. Even if you're not having sex, if you're 21 or older, you should start getting pap smears. Pap smears are a quick test to make sure everything's healthy up there - don't worry, they're usually not painful. "",""Or ask me another question on your mind.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""cbd5042e-46f1-4251-81eb-f82aa8113b06""},""system"":{""dialog_request_counter"":52,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":52,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_70_1542152993222"":{""0"":[0],""1"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_10_1543966161831"":{""0"":[0],""3"":[0]},""node_2_1541394595763"":{""0"":[0,0]},""node_89_1543885085730"":{""0"":[0]},""node_4_1537982696303"":{""0"":[2]},""node_20_1542399422016"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_8_1541456654510"":{""0"":[0]},""node_1_1544810991157"":{""1"":[3,5,1,3,6,2,4,0]},""node_10_1542218172299"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1542397265332"":{""0"":[0],""1"":[0],""4"":[0]},""node_57_1542677951229"":{""0"":[0,0]},""node_12_1542240270828"":{""0"":[0,0]},""node_12_1543872795269"":{""0"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_2_1542242583374"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_1_1541103168854"":{""0"":[0]},""node_3_1544835959501"":{""1"":[3,0,1,4,3,2]},""node_60_1543881679372"":{""0"":[0],""1"":[0]},""node_8_1541090633284"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_20_1542140038779"":{""0"":[1]},""node_4_1542645414327"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8fe36910-2b46-480e-b6fe-5f4f353b4330""},""input"":{""text"":""pap smear""},""intents"":[{""intent"":""Gyny.when.start"",""confidence"":0.9365500926971435}],""alternate_intents"":false},""text"":""It's good to start seeing a gynecologist before you start having sex. Even if you're not having sex, if you're 21 or older, you should start getting pap smears. Pap smears are a quick test to make sure everything's healthy up there - don't worry, they're usually not painful. "",""userId"":""cbd5042e-46f1-4251-81eb-f82aa8113b06"",""intent"":{""name"":""Gyny.when.start""}}","Gyny.when.start",false
