"Date","Text","Message JSON","Intent","Incoming"
"2020-01-23T20:16:41.242Z","iud effective","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""iud effective""}",,true
"2020-01-23T20:16:41.243Z","The IUD is a great birth control option for women who don’t want to deal with having to take a pill every day or think about switching patches or rings. It takes a few minutes to put in and then you’re protected for all day, every day for YEARS. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The IUD is a great birth control option for women who don’t want to deal with having to take a pill every day or think about switching patches or rings. It takes a few minutes to put in and then you’re protected for all day, every day for YEARS. ""},{""response_type"":""text"",""text"":""AND, it’s one of the most effective types of birth control. I mean, it’s 99% effective so out of 100 women, only 1 will get pregnant.""},{""typing"":true,""response_type"":""pause"",""time"":2500},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-finder\"">To scroll to a list of clinics closest to you where you can get the IUD, tap here.</a>""},{""response_type"":""text"",""text"":""Or, ask me another question.""}],""nodes_visited"":[""node_17_1534962999941"",""node_2_1542215724144""],""text"":[""The IUD is a great birth control option for women who don’t want to deal with having to take a pill every day or think about switching patches or rings. It takes a few minutes to put in and then you’re protected for all day, every day for YEARS. "",""AND, it’s one of the most effective types of birth control. I mean, it’s 99% effective so out of 100 women, only 1 will get pregnant."",""<a href=\""/&__hash__;birth-control-finder\"">To scroll to a list of clinics closest to you where you can get the IUD, tap here.</a>"",""Or, ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,4,6,3,0,5]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""924d22f5-ad00-4cde-b177-a40893412965""},""input"":{""text"":""iud effective""},""intents"":[{""intent"":""IUD.efficacy"",""confidence"":0.8080394268035889}],""entities"":[{""location"":[0,3],""value"":""IUD"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The IUD is a great birth control option for women who don’t want to deal with having to take a pill every day or think about switching patches or rings. It takes a few minutes to put in and then you’re protected for all day, every day for YEARS. "",""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""intent"":{""name"":""IUD.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""IUD""}]}}","IUD.efficacy",false
"2020-01-23T20:17:28.868Z","std prevention","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""std prevention""}",,true
"2020-01-23T20:17:28.855Z","The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. ""},{""response_type"":""text"",""text"":""The more you both know about your STD status the better. And testing is really no big deal. It takes a few minutes and is super quick.""},{""typing"":true,""response_type"":""pause"",""time"":2300},{""options"":[{""value"":{""input"":{""text"":""What are the symptoms of STDs?""}},""label"":""Tap here to see symptoms of STDs.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_17_1535743642990"",""node_2_1541616825745""],""text"":[""The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. "",""The more you both know about your STD status the better. And testing is really no big deal. It takes a few minutes and is super quick."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,4,6,3,0,5]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""924d22f5-ad00-4cde-b177-a40893412965""},""input"":{""text"":""std prevention""},""intents"":[{""intent"":""STDs.how.protect.from"",""confidence"":1}],""entities"":[{""location"":[0,3],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""The BEST way to avoid getting an STD is using a condom, EVERY time you have sex. Vaginal, anal, or oral. It’s also a good idea to get tested regularly and have a chat with your guy about it too. "",""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""intent"":{""name"":""STDs.how.protect.from"",""inputs"":[{""name"":""STD"",""value"":""STD""}]}}","STDs.how.protect.from",false
"2020-01-23T20:17:55.705Z","how to get pregnant","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""how to get pregnant""}",,true
"2020-01-23T20:17:55.704Z","Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant.""}],""nodes_visited"":[""node_10_1534788073260"",""node_17_1541716012364""],""text"":[""Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_1_1544810991157"":{""1"":[0,2,1,4,6,3,0,5]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""924d22f5-ad00-4cde-b177-a40893412965""},""input"":{""text"":""how to get pregnant""},""intents"":[{""intent"":""Preg.how"",""confidence"":0.6380038261413574}],""entities"":[{""location"":[11,19],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""Pregnancy happens when sperm from a guy’s semen connects with a woman’s egg and that egg sticks itself to the side of that woman’s uterus. This is the only way. Grinding, kissing, and even oral sex can’t get you pregnant."",""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""intent"":{""name"":""Preg.how"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Preg.how",false
"2020-01-23T20:18:20.144Z","lube","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""lube""}",,true
"2020-01-23T20:18:20.131Z","Using lube with condoms can be a really good idea. Not only does it make sex feel better, but it can also keep the condom from breaking. Lube up!  ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Using lube with condoms can be a really good idea. Not only does it make sex feel better, but it can also keep the condom from breaking. Lube up!  ""}],""nodes_visited"":[""node_31_1535401107106""],""text"":[""Using lube with condoms can be a really good idea. Not only does it make sex feel better, but it can also keep the condom from breaking. Lube up!  ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_31_1535401107106"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,4,6,3,0,5]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""924d22f5-ad00-4cde-b177-a40893412965""},""input"":{""text"":""lube""},""intents"":[{""intent"":""Condom.and.lube"",""confidence"":0.8096290111541748}],""alternate_intents"":false},""text"":""Using lube with condoms can be a really good idea. Not only does it make sex feel better, but it can also keep the condom from breaking. Lube up!  "",""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""intent"":{""name"":""Condom.and.lube""}}","Condom.and.lube",false
"2020-01-23T20:18:28.058Z","sex is painful","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""sex is painful""}",,true
"2020-01-23T20:18:28.073Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_3_1544835959501"":{""1"":[0,0,2,4,3,1]},""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_31_1535401107106"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,4,6,3,0,5]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""924d22f5-ad00-4cde-b177-a40893412965""},""input"":{""text"":""sex is painful""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.8776304244995117}],""entities"":[{""location"":[0,3],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-01-23T20:18:45.445Z","boy","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""boy""}",,true
"2020-01-23T20:18:45.433Z","Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""}],""nodes_visited"":[""node_1_1551405582035""],""text"":[""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587""},""system"":{""dialog_request_counter"":8,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":8,""_node_output_map"":{""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_1_1551405582035"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,0,2,4,3,1]},""node_37_1542675207715"":{""0"":[0]},""node_17_1541716012364"":{""0"":[0,0]},""node_31_1535401107106"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,4,6,3,0,5]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""924d22f5-ad00-4cde-b177-a40893412965""},""input"":{""text"":""boy""},""intents"":[{""intent"":""Boy"",""confidence"":0.7617615699768068}],""entities"":[{""location"":[0,3],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! "",""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""intent"":{""name"":""Boy"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","Boy",false
"2020-01-23T20:19:06.292Z","does mymom needto know","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""does mymom needto know""}",,true
"2020-01-23T20:19:06.669Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""ce4f7598-7f6d-4e9d-b79e-8ee680a12587"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
