"Date","Text","Message JSON","Intent","Incoming"
"2020-01-03T10:05:03.560Z",,"{""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e""}",,true
"2020-01-03T10:05:03.559Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""927b7984-3d20-4f44-8f67-e5202d2970b2""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-03T10:05:25.634Z","How effective is nexplanon ","{""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""text"":""How effective is nexplanon ""}",,true
"2020-01-03T10:05:25.619Z","Nexplanon is a type of birth control implant that goes into your arm. Once inserted by your doctor, it can prevent pregnancy for up to 3 years! If you’re a one and done type of girl, talk to your doctor because this might be a good option for you.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Nexplanon is a type of birth control implant that goes into your arm. Once inserted by your doctor, it can prevent pregnancy for up to 3 years! If you’re a one and done type of girl, talk to your doctor because this might be a good option for you.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How can I get the implant?""}},""label"":""Tap here to find out how to get the implant.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me more questions.""}],""nodes_visited"":[""node_2_1535042692522"",""node_18_1542399139229""],""text"":[""Nexplanon is a type of birth control implant that goes into your arm. Once inserted by your doctor, it can prevent pregnancy for up to 3 years! If you’re a one and done type of girl, talk to your doctor because this might be a good option for you."",""Or ask me more questions.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542399139229"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""927b7984-3d20-4f44-8f67-e5202d2970b2""},""input"":{""text"":""How effective is nexplanon ""},""intents"":[{""intent"":""def_Nexplanon.BC"",""confidence"":0.9131051063537599}],""entities"":[{""location"":[17,26],""value"":""Implant"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Nexplanon is a type of birth control implant that goes into your arm. Once inserted by your doctor, it can prevent pregnancy for up to 3 years! If you’re a one and done type of girl, talk to your doctor because this might be a good option for you."",""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""intent"":{""name"":""def_Nexplanon.BC"",""inputs"":[{""name"":""Birth_Control"",""value"":""Implant""}]}}","def_Nexplanon.BC",false
"2020-01-03T10:05:58.858Z","How effective is birth control ","{""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""text"":""How effective is birth control ""}",,true
"2020-01-03T10:05:58.872Z","There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant.""},{""response_type"":""text"",""text"":""There isn't really one way to \""know\"" that they're working (aside from not getting pregnant!) - the only thing you can do is make sure you're taking them correctly. That means for birth control like the pill, you have to make sure that you're taking them every day, at the same time, no excuses!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_1_1539285453197"",""node_16_1542670429383"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant."",""There isn't really one way to \""know\"" that they're working (aside from not getting pregnant!) - the only thing you can do is make sure you're taking them correctly. That means for birth control like the pill, you have to make sure that you're taking them every day, at the same time, no excuses!"",""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_18_1542399139229"":{""0"":[0],""3"":[0]},""node_1_1544810991157"":{""1"":[0,6,2,5,0,4,1,3]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""927b7984-3d20-4f44-8f67-e5202d2970b2""},""input"":{""text"":""How effective is birth control ""},""intents"":[{""intent"":""BC.efficacy"",""confidence"":0.4593866586685181}],""entities"":[{""location"":[17,30],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""There are so many different kinds of birth control out there but they all work for one common goal: to prevent pregnancy! And they are all super effective. In fact, the IUD and implant are 99% effective! That means out of 100 women using them, only 1 will get pregnant."",""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""intent"":{""name"":""BC.efficacy"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.efficacy",false
"2020-01-03T10:05:59.125Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-03T10:05:59.110Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_18_1542399139229"":{""0"":[0],""3"":[0]},""node_1_1544810991157"":{""1"":[0,6,2,5,0,4,1,3]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""927b7984-3d20-4f44-8f67-e5202d2970b2""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-03T10:06:19.520Z","What’s my chances getting pregnant on birth control ","{""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""text"":""What’s my chances getting pregnant on birth control ""}",,true
"2020-01-03T10:06:19.520Z","It doesn’t matter how long you take birth control, when you’re ready to get pregnant, you probably won't have any problems and you can get pregnant any time. Remember, the point of birth control is to allow YOU to be in control of your body and when you want to have a baby.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""It doesn’t matter how long you take birth control, when you’re ready to get pregnant, you probably won't have any problems and you can get pregnant any time. Remember, the point of birth control is to allow YOU to be in control of your body and when you want to have a baby.""}],""nodes_visited"":[""node_4_1534537434731"",""node_32_1542672643789""],""text"":[""It doesn’t matter how long you take birth control, when you’re ready to get pregnant, you probably won't have any problems and you can get pregnant any time. Remember, the point of birth control is to allow YOU to be in control of your body and when you want to have a baby.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_18_1542399139229"":{""0"":[0],""3"":[0]},""node_1_1544810991157"":{""1"":[0,6,2,5,0,4,1,3]},""node_32_1542672643789"":{""0"":[0,0]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""927b7984-3d20-4f44-8f67-e5202d2970b2""},""input"":{""text"":""What’s my chances getting pregnant on birth control ""},""intents"":[{""intent"":""BC.future"",""confidence"":0.5336326599121094}],""entities"":[{""location"":[26,34],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[38,51],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""It doesn’t matter how long you take birth control, when you’re ready to get pregnant, you probably won't have any problems and you can get pregnant any time. Remember, the point of birth control is to allow YOU to be in control of your body and when you want to have a baby."",""userId"":""d0720a7f-ac1a-4588-a838-f4cdf83a8b7e"",""intent"":{""name"":""BC.future"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.future",false
