"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T03:21:31.817Z",,"{""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf""}",,true
"2020-01-04T03:21:31.825Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3e08b325-0b45-4e82-9a21-0fe9c14cab70""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T03:21:55.131Z","Best fo","{""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""text"":""Best fo""}",,true
"2020-01-04T03:21:55.358Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T03:21:55.114Z","Thanks girl! I’m glad I could help. Let me know if you have any other questions about birth control. I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Thanks girl! I’m glad I could help. Let me know if you have any other questions about birth control. I got you!""}],""nodes_visited"":[""node_8_1536089940243"",""node_4_1542239687238""],""text"":[""Thanks girl! I’m glad I could help. Let me know if you have any other questions about birth control. I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_4_1542239687238"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3e08b325-0b45-4e82-9a21-0fe9c14cab70""},""input"":{""text"":""Best fo""},""intents"":[{""intent"":""I.Love.You.Bot"",""confidence"":0.4624469518661499}],""alternate_intents"":false},""text"":""Thanks girl! I’m glad I could help. Let me know if you have any other questions about birth control. I got you!"",""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""intent"":{""name"":""I.Love.You.Bot""}}","I.Love.You.Bot",false
"2020-01-04T03:21:55.372Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_4_1542239687238"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3e08b325-0b45-4e82-9a21-0fe9c14cab70""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T03:22:05.568Z","Best form of birth control?","{""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""text"":""Best form of birth control?""}",,true
"2020-01-04T03:22:05.582Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,0,6,1,5,2,4,3]},""node_4_1542239687238"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3e08b325-0b45-4e82-9a21-0fe9c14cab70""},""input"":{""text"":""Best form of birth control?""},""intents"":[{""intent"":""BC.types"",""confidence"":0.6338527202606201}],""entities"":[{""location"":[13,26],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-04T03:23:01.621Z","Most sensitive part of a penis","{""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""text"":""Most sensitive part of a penis""}",,true
"2020-01-04T03:23:01.604Z","A penis (or a dick) is a man’s sexual organ. It’s part of his reproductive system and it’s  made of layers of spongy tissue which fills with blood when it gets hard. Sometimes parents choose to have a doctor remove the foreskin around the top of a baby boy's penis just after he's born - called circumcising. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A penis (or a dick) is a man’s sexual organ. It’s part of his reproductive system and it’s  made of layers of spongy tissue which fills with blood when it gets hard. Sometimes parents choose to have a doctor remove the foreskin around the top of a baby boy's penis just after he's born - called circumcising. ""}],""nodes_visited"":[""node_1_1540496727707"",""node_24_1542399741504""],""text"":[""A penis (or a dick) is a man’s sexual organ. It’s part of his reproductive system and it’s  made of layers of spongy tissue which fills with blood when it gets hard. Sometimes parents choose to have a doctor remove the foreskin around the top of a baby boy's penis just after he's born - called circumcising. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_24_1542399741504"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,0,6,1,5,2,4,3]},""node_4_1542239687238"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3e08b325-0b45-4e82-9a21-0fe9c14cab70""},""input"":{""text"":""Most sensitive part of a penis""},""intents"":[{""intent"":""def_penis"",""confidence"":0.9054203987121583}],""entities"":[{""location"":[25,30],""value"":""Penis"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""A penis (or a dick) is a man’s sexual organ. It’s part of his reproductive system and it’s  made of layers of spongy tissue which fills with blood when it gets hard. Sometimes parents choose to have a doctor remove the foreskin around the top of a baby boy's penis just after he's born - called circumcising. "",""userId"":""d0b31105-7d9a-4f7e-a048-016b734fd0bf"",""intent"":{""name"":""def_penis"",""inputs"":[{""name"":""Body_Parts"",""value"":""Penis""}]}}","def_penis",false
