"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T06:53:31.284Z",,"{""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8""}",,true
"2020-01-04T06:53:31.283Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d1057f08-f910-40fc-8892-edd8772d68e8""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72d46cc6-d425-4165-ada3-aa8cecb6ed40""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T06:53:58.544Z","My boyfriend is a lot younger then me and I do t know if it’s weird?","{""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""text"":""My boyfriend is a lot younger then me and I do t know if it’s weird?""}",,true
"2020-01-04T06:53:58.833Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T06:53:58.530Z","Many STDs can be treated with medicine and cleared up. But some are with you for life causing all sorts of health problems, troubles getting pregnant later on, and even death. Yes, it’s that deep. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Many STDs can be treated with medicine and cleared up. But some are with you for life causing all sorts of health problems, troubles getting pregnant later on, and even death. Yes, it’s that deep. ""},{""response_type"":""text"",""text"":""That’s why it’s SO important to use condoms and get tested for STDs regularly.""},{""typing"":true,""response_type"":""pause"",""time"":2300},{""options"":[{""value"":{""input"":{""text"":""How common are STDs?""}},""label"":""Tap here to find out how common STDs are.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_1_1536170783217"",""node_4_1541616966416""],""text"":[""Many STDs can be treated with medicine and cleared up. But some are with you for life causing all sorts of health problems, troubles getting pregnant later on, and even death. Yes, it’s that deep. "",""That’s why it’s SO important to use condoms and get tested for STDs regularly."",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d1057f08-f910-40fc-8892-edd8772d68e8""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_4_1541616966416"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72d46cc6-d425-4165-ada3-aa8cecb6ed40""},""input"":{""text"":""My boyfriend is a lot younger then me and I do t know if it’s weird?""},""intents"":[{""intent"":""STDs.how.dangerous"",""confidence"":0.2948265910148621}],""entities"":[{""location"":[3,12],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""Many STDs can be treated with medicine and cleared up. But some are with you for life causing all sorts of health problems, troubles getting pregnant later on, and even death. Yes, it’s that deep. "",""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""intent"":{""name"":""STDs.how.dangerous"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","STDs.how.dangerous",false
"2020-01-04T06:53:58.848Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d1057f08-f910-40fc-8892-edd8772d68e8""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_4_1541616966416"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72d46cc6-d425-4165-ada3-aa8cecb6ed40""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T06:54:06.977Z","Is pp big","{""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""text"":""Is pp big""}",,true
"2020-01-04T06:54:06.963Z","I didn't understand - can you try rewording? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand - can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I didn't understand - can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d1057f08-f910-40fc-8892-edd8772d68e8""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_4_1541616966416"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1540920316188"":{""0"":[0,2,3,0,5,4,1]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72d46cc6-d425-4165-ada3-aa8cecb6ed40""},""input"":{""text"":""Is pp big""},""entities"":[{""location"":[3,5],""value"":""planned parenthood"",""entity"":""Planned_Parenthood"",""confidence"":1}],""alternate_intents"":false},""text"":""I didn't understand - can you try rewording? "",""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""intent"":{""inputs"":[{""name"":""Planned_Parenthood"",""value"":""planned parenthood""}]}}",,false
"2020-01-04T06:54:20.889Z","How to know my sexuality ","{""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""text"":""How to know my sexuality ""}",,true
"2020-01-04T06:54:20.903Z","Pansexual or queer means being attracted to someone regardless of their gender.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Pansexual or queer means being attracted to someone regardless of their gender.""}],""nodes_visited"":[""node_2_1540517437970""],""text"":[""Pansexual or queer means being attracted to someone regardless of their gender.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d1057f08-f910-40fc-8892-edd8772d68e8""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_4_1541616966416"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1540920316188"":{""0"":[0,2,3,0,5,4,1]},""node_2_1540517437970"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72d46cc6-d425-4165-ada3-aa8cecb6ed40""},""input"":{""text"":""How to know my sexuality ""},""intents"":[{""intent"":""def_pansexual"",""confidence"":0.4917077779769898}],""alternate_intents"":false},""text"":""Pansexual or queer means being attracted to someone regardless of their gender."",""userId"":""d1057f08-f910-40fc-8892-edd8772d68e8"",""intent"":{""name"":""def_pansexual""}}","def_pansexual",false
