"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:07:44.768Z",,"{""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da""}",,true
"2020-01-10T17:07:44.769Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d194a01e-23a8-40b5-8926-68343b6c20da""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""167b93c7-37ed-455b-aef5-827e2f2ecc46""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:08:01.465Z","how does the shot work","{""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""text"":""how does the shot work""}",,true
"2020-01-10T17:08:01.481Z","The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How effective is the shot at preventing pregnancy?""}},""label"":""Tap here to find out how effective the shot is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Have another question? Ask me!""}],""nodes_visited"":[""node_6_1535561433242"",""node_12_1542403318496""],""text"":[""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""Have another question? Ask me!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d194a01e-23a8-40b5-8926-68343b6c20da""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""167b93c7-37ed-455b-aef5-827e2f2ecc46""},""input"":{""text"":""how does the shot work""},""intents"":[{""intent"":""def_shot"",""confidence"":1}],""entities"":[{""location"":[9,17],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""intent"":{""name"":""def_shot"",""inputs"":[{""name"":""Birth_Control"",""value"":""Shot""}]}}","def_shot",false
"2020-01-10T17:08:44.361Z","how long does the shot last","{""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""text"":""how long does the shot last""}",,true
"2020-01-10T17:08:44.362Z","The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it.""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How effective is the shot at preventing pregnancy?""}},""label"":""Tap here to find out how effective the shot is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Have another question? Ask me!""}],""nodes_visited"":[""node_6_1535561433242"",""node_12_1542403318496""],""text"":[""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""Have another question? Ask me!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d194a01e-23a8-40b5-8926-68343b6c20da""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""167b93c7-37ed-455b-aef5-827e2f2ecc46""},""input"":{""text"":""how long does the shot last""},""intents"":[{""intent"":""def_shot"",""confidence"":0.977880096435547}],""entities"":[{""location"":[14,22],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The shot is a type of birth control that you get every 3 months to prevent pregnancy. It’s technically called DepoProvera and it works by preventing ovulation (when your body releases an egg) - no egg, no baby! If you don’t mind getting a quick prick every 3 months, you should definitely talk to your doctor about getting it."",""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""intent"":{""name"":""def_shot"",""inputs"":[{""name"":""Birth_Control"",""value"":""Shot""}]}}","def_shot",false
"2020-01-10T17:09:07.350Z","what are side effects of the shot","{""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""text"":""what are side effects of the shot""}",,true
"2020-01-10T17:09:07.361Z","The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite.""},{""typing"":true,""response_type"":""pause"",""time"":1700},{""options"":[{""value"":{""input"":{""text"":""How much is the shot?""}},""label"":""Tap here to see how much the shot might cost.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me something else.""}],""nodes_visited"":[""node_3_1535419543482"",""node_16_1541625383567""],""text"":[""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite."",""Or, ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d194a01e-23a8-40b5-8926-68343b6c20da""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_12_1542403318496"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_16_1541625383567"":{""0"":[0],""3"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""167b93c7-37ed-455b-aef5-827e2f2ecc46""},""input"":{""text"":""what are side effects of the shot""},""intents"":[{""intent"":""Shot.side.effects"",""confidence"":0.9265635013580322}],""entities"":[{""location"":[9,21],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[25,33],""value"":""Shot"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The shot has a few potential side effects. You’ve probably heard that a big one is weight gain - which is true. But, it’s the only birth control that might make you gain a few extra pounds. Other side effects are spotting between periods and a change in appetite."",""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""intent"":{""name"":""Shot.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""Shot""}]}}","Shot.side.effects",false
"2020-01-10T17:09:51.790Z","does the shot protect from sti","{""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""text"":""does the shot protect from sti""}",,true
"2020-01-10T17:09:51.955Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d194a01e-23a8-40b5-8926-68343b6c20da"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
