"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T04:59:44.035Z",,"{""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21""}",,true
"2020-01-04T04:59:44.037Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06fba98a-f651-48ca-9d15-95b2d59b1fc4""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T05:00:16.874Z","I’m 17 and I’m pregnant what should I do?","{""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""text"":""I’m 17 and I’m pregnant what should I do?""}",,true
"2020-01-04T05:00:16.862Z","Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. ""},{""response_type"":""text"",""text"":""If you miss your period, you should take a pregnancy test ASAP. You can get them pretty much at any grocery store or pharmacy and you don’t have to be 18 or have your parent’s permission. If you ARE pregnant, take a deep breath and know that you have options. There are a lot of people who can help you right now.""},{""response_type"":""text"",""text"":""Make that doctor’s appointment ASAP to figure out the next best move for YOU. Check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a> if you're not sure where to go. ""}],""nodes_visited"":[""node_15_1534542928376"",""node_11_1541715692703""],""text"":[""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. "",""If you miss your period, you should take a pregnancy test ASAP. You can get them pretty much at any grocery store or pharmacy and you don’t have to be 18 or have your parent’s permission. If you ARE pregnant, take a deep breath and know that you have options. There are a lot of people who can help you right now."",""Make that doctor’s appointment ASAP to figure out the next best move for YOU. Check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a> if you're not sure where to go. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06fba98a-f651-48ca-9d15-95b2d59b1fc4""},""input"":{""text"":""I’m 17 and I’m pregnant what should I do?""},""intents"":[{""intent"":""Preg.know"",""confidence"":0.9689210414886475}],""entities"":[{""location"":[4,6],""metadata"":{""numeric_value"":17},""value"":""17"",""entity"":""sys-number"",""confidence"":1},{""location"":[15,23],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""Finding out your pregnant can be scary af, especially if this wasn’t in the plans. You could be pregnant if your period’s late, your boobs hurt, or you feel sick to your stomach. "",""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""intent"":{""name"":""Preg.know"",""inputs"":[{""name"":""sys-number"",""value"":""17""},{""name"":""Pregnant"",""value"":""pregnant""}]}}","Preg.know",false
"2020-01-04T05:00:59.448Z","What if my dads been gone for 10 years?","{""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""text"":""What if my dads been gone for 10 years?""}",,true
"2020-01-04T05:00:59.736Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T05:00:59.447Z","Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day.""},{""response_type"":""text"",""text"":""And remember, the pill only protects against pregnancy. You still need to use condoms to prevent STDs.""},{""typing"":true,""response_type"":""pause"",""time"":2500},{""response_type"":""text"",""text"":""And if that sounds hard, <a href=\""/#birth-control-types\"">tap here to check out some really easy and effective types of birth control</a>, or you can ask me something else.""}],""nodes_visited"":[""node_30_1534885490953"",""node_2_1541441843874""],""text"":[""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day."",""And remember, the pill only protects against pregnancy. You still need to use condoms to prevent STDs."",""And if that sounds hard, <a href=\""/#birth-control-types\"">tap here to check out some really easy and effective types of birth control</a>, or you can ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541441843874"":{""0"":[0],""1"":[0],""3"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06fba98a-f651-48ca-9d15-95b2d59b1fc4""},""input"":{""text"":""What if my dads been gone for 10 years?""},""intents"":[{""intent"":""BC.miss"",""confidence"":0.20883131305972427}],""entities"":[{""location"":[30,32],""metadata"":{""numeric_value"":10},""value"":""10"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""Listen, I know how hard it can be to remember but, if you want your birth control pill to work its best you have to take it EVERY SINGLE DAY AT THE SAME TIME. I know girl, it’s tough. But for real, you need to take your pill every day."",""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""intent"":{""name"":""BC.miss"",""inputs"":[{""name"":""sys-number"",""value"":""10""}]}}","BC.miss",false
"2020-01-04T05:00:59.719Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1541441843874"":{""0"":[0],""1"":[0],""3"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""06fba98a-f651-48ca-9d15-95b2d59b1fc4""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T05:01:17.031Z","What if I get horny?","{""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""text"":""What if I get horny?""}",,true
"2020-01-04T05:01:17.371Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d19cd01c-2de5-4d49-a89c-e5077abd1b21"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
