"Date","Text","Message JSON","Intent","Incoming"
"2020-01-11T03:01:58.006Z",,"{""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33""}",,true
"2020-01-11T03:01:58.008Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19d1ecd-4121-479a-9daf-d028ac969a33""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9ebac00f-1fd7-4877-a779-adf2925d0774""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-11T03:02:33.362Z","how can you get a yeast infection ","{""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""text"":""how can you get a yeast infection ""}",,true
"2020-01-11T03:02:33.347Z","Your vagina is supposed to have a healthy balance between yeast and bacteria but, whenever that balance gets thrown off (for whatever reason) and the yeast takes over - boom - you have a yeast infection. They are super uncomfortable and come with lots of white discharge 🤒. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Your vagina is supposed to have a healthy balance between yeast and bacteria but, whenever that balance gets thrown off (for whatever reason) and the yeast takes over - boom - you have a yeast infection. They are super uncomfortable and come with lots of white discharge 🤒. ""},{""response_type"":""text"",""text"":""If you have a yeast infection, you can get medicine (like Monistat) at any pharmacy that will clear it up in a couple days. ""}],""nodes_visited"":[""node_8_1537567433005"",""node_12_1542306873060""],""text"":[""Your vagina is supposed to have a healthy balance between yeast and bacteria but, whenever that balance gets thrown off (for whatever reason) and the yeast takes over - boom - you have a yeast infection. They are super uncomfortable and come with lots of white discharge 🤒. "",""If you have a yeast infection, you can get medicine (like Monistat) at any pharmacy that will clear it up in a couple days. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19d1ecd-4121-479a-9daf-d028ac969a33""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_12_1542306873060"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9ebac00f-1fd7-4877-a779-adf2925d0774""},""input"":{""text"":""how can you get a yeast infection ""},""intents"":[{""intent"":""def_yeast.infection"",""confidence"":0.6801768302917481}],""alternate_intents"":false},""text"":""Your vagina is supposed to have a healthy balance between yeast and bacteria but, whenever that balance gets thrown off (for whatever reason) and the yeast takes over - boom - you have a yeast infection. They are super uncomfortable and come with lots of white discharge 🤒. "",""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""intent"":{""name"":""def_yeast.infection""}}","def_yeast.infection",false
"2020-01-11T03:03:13.237Z","what should you do is you feel pregnant but you took a pregnancy test and you got your period","{""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""text"":""what should you do is you feel pregnant but you took a pregnancy test and you got your period""}",,true
"2020-01-11T03:03:13.787Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-11T03:03:13.237Z","If you think you might be pregnant, you can take a pregnancy test to find out for sure. But you’ll need to wait at least 3 weeks after you had unprotected sex for an at-home test or urine test at a doctor’s office to give you real results.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you think you might be pregnant, you can take a pregnancy test to find out for sure. But you’ll need to wait at least 3 weeks after you had unprotected sex for an at-home test or urine test at a doctor’s office to give you real results.""}],""nodes_visited"":[""node_13_1534788921377"",""node_6_1541714582642""],""text"":[""If you think you might be pregnant, you can take a pregnancy test to find out for sure. But you’ll need to wait at least 3 weeks after you had unprotected sex for an at-home test or urine test at a doctor’s office to give you real results.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19d1ecd-4121-479a-9daf-d028ac969a33""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_12_1542306873060"":{""0"":[0],""1"":[0]},""node_6_1541714582642"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9ebac00f-1fd7-4877-a779-adf2925d0774""},""input"":{""text"":""what should you do is you feel pregnant but you took a pregnancy test and you got your period""},""intents"":[{""intent"":""Preg.test.wait"",""confidence"":0.39820432662963867}],""entities"":[{""location"":[31,39],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[55,64],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[87,93],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""If you think you might be pregnant, you can take a pregnancy test to find out for sure. But you’ll need to wait at least 3 weeks after you had unprotected sex for an at-home test or urine test at a doctor’s office to give you real results."",""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""intent"":{""name"":""Preg.test.wait"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Period"",""value"":""period""}]}}","Preg.test.wait",false
"2020-01-11T03:03:13.778Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19d1ecd-4121-479a-9daf-d028ac969a33""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_6_1541714582642"":{""0"":[0,0]},""node_12_1542306873060"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9ebac00f-1fd7-4877-a779-adf2925d0774""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-11T03:03:32.877Z","what should you do if you feel pregnant but you took a pregnancy test and you got your period","{""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""text"":""what should you do if you feel pregnant but you took a pregnancy test and you got your period""}",,true
"2020-01-11T03:03:32.893Z","Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either.""},{""response_type"":""text"",""text"":""Condoms ARE really good at preventing STDs though so you should definitely still use them for protection. As far as preventing pregnancy? You should look into some other types of birth control that are more effective. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""}],""nodes_visited"":[""node_23_1534966345572"",""node_18_1542648297568"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either."",""Condoms ARE really good at preventing STDs though so you should definitely still use them for protection. As far as preventing pregnancy? You should look into some other types of birth control that are more effective. "",""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d19d1ecd-4121-479a-9daf-d028ac969a33""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_6_1541714582642"":{""0"":[0,0]},""node_18_1542648297568"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,4,5,3,6,2,0]},""node_12_1542306873060"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9ebac00f-1fd7-4877-a779-adf2925d0774""},""input"":{""text"":""what should you do if you feel pregnant but you took a pregnancy test and you got your period""},""intents"":[{""intent"":""Condom.efficacy"",""confidence"":0.5518405199050904}],""entities"":[{""location"":[31,39],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[55,64],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[87,93],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either."",""userId"":""d19d1ecd-4121-479a-9daf-d028ac969a33"",""intent"":{""name"":""Condom.efficacy"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Period"",""value"":""period""}]}}","Condom.efficacy",false
