"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T03:46:45.514Z",,"{""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c""}",,true
"2020-01-04T03:46:45.500Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d6608261-1655-409c-8df2-8aab3e4c556c""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9129f6e9-fde3-4730-81ad-1c62838ca1fe""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T03:47:01.097Z","Can I poop after pooping?","{""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""text"":""Can I poop after pooping?""}",,true
"2020-01-04T03:47:01.649Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T03:47:01.086Z","After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=""_blank"" href=""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040"">Planned Parenthood</a>. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040\"">Planned Parenthood</a>. ""}],""nodes_visited"":[""node_11_1538429022822"",""node_1_1543867942661""],""text"":[""After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040\"">Planned Parenthood</a>. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d6608261-1655-409c-8df2-8aab3e4c556c""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1543867942661"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9129f6e9-fde3-4730-81ad-1c62838ca1fe""},""input"":{""text"":""Can I poop after pooping?""},""intents"":[{""intent"":""Abort.post-op"",""confidence"":0.3625181555747986}],""alternate_intents"":false},""text"":""After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040\"">Planned Parenthood</a>. "",""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""intent"":{""name"":""Abort.post-op""}}","Abort.post-op",false
"2020-01-04T03:47:01.666Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d6608261-1655-409c-8df2-8aab3e4c556c""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1543867942661"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9129f6e9-fde3-4730-81ad-1c62838ca1fe""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T03:47:13.205Z","Can I poop after birth?","{""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""text"":""Can I poop after birth?""}",,true
"2020-01-04T03:47:13.201Z","After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=""_blank"" href=""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040"">Planned Parenthood</a>. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040\"">Planned Parenthood</a>. ""}],""nodes_visited"":[""node_11_1538429022822"",""node_1_1543867942661""],""text"":[""After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040\"">Planned Parenthood</a>. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d6608261-1655-409c-8df2-8aab3e4c556c""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1543867942661"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9129f6e9-fde3-4730-81ad-1c62838ca1fe""},""input"":{""text"":""Can I poop after birth?""},""intents"":[{""intent"":""Abort.post-op"",""confidence"":0.3840720415115357}],""alternate_intents"":false},""text"":""After your abortion, your body might take some time to get back to normal. Get some rest. You may spot or bleed a bit but you should be feeling normal again in the next few days. If you don't, talk to a doctor at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-center-2471-91040\"">Planned Parenthood</a>. "",""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""intent"":{""name"":""Abort.post-op""}}","Abort.post-op",false
"2020-01-04T03:47:14.111Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T03:47:14.128Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""d6608261-1655-409c-8df2-8aab3e4c556c""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1543867942661"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""9129f6e9-fde3-4730-81ad-1c62838ca1fe""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""d6608261-1655-409c-8df2-8aab3e4c556c"",""intent"":{""name"":""unknown""}}","unknown",false
