"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T06:43:10.627Z",,"{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50""}",,true
"2020-01-05T06:43:10.629Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc371483-b461-432b-bfd4-dee504b35f50""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""580cef8f-aecf-48b5-b0c5-adfbd937d5a8""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T06:45:23.486Z","What’s the healthiest brand of condoms for your body that actually protect you?","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""text"":""What’s the healthiest brand of condoms for your body that actually protect you?""}",,true
"2020-01-05T06:45:23.732Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T06:45:23.473Z","A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.""}],""nodes_visited"":[""node_26_1534881690008""],""text"":[""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc371483-b461-432b-bfd4-dee504b35f50""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""580cef8f-aecf-48b5-b0c5-adfbd937d5a8""},""input"":{""text"":""What’s the healthiest brand of condoms for your body that actually protect you?""},""intents"":[{""intent"":""def_dental.dam"",""confidence"":0.394069516658783}],""entities"":[{""location"":[31,38],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A dental dam is a way to protect yourself against STDs during oral sex on a female. It's a thin piece of latex (the same stuff as a condom) that you put over your vagina."",""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""intent"":{""name"":""def_dental.dam"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","def_dental.dam",false
"2020-01-05T06:45:23.746Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc371483-b461-432b-bfd4-dee504b35f50""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""580cef8f-aecf-48b5-b0c5-adfbd937d5a8""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T06:45:50.477Z","What’s the best condom brand ","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""text"":""What’s the best condom brand ""}",,true
"2020-01-05T06:45:50.478Z","Condoms have come a longggg way since our mamas and aunties were buying them. There are so many different types of condoms you can literally find ANYTHING to fit your mood or the occasion. Thin condoms so you can barely feel it, ribbed to give you a little extra feeling, and flavored to make head more interesting.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Condoms have come a longggg way since our mamas and aunties were buying them. There are so many different types of condoms you can literally find ANYTHING to fit your mood or the occasion. Thin condoms so you can barely feel it, ribbed to give you a little extra feeling, and flavored to make head more interesting.""},{""response_type"":""text"",""text"":""You can even find different materials if you’re allergic to latex. Check out polyurethane or polyisoprene condoms if that’s you!""}],""nodes_visited"":[""node_1_1535559239596"",""node_35_1542651151173""],""text"":[""Condoms have come a longggg way since our mamas and aunties were buying them. There are so many different types of condoms you can literally find ANYTHING to fit your mood or the occasion. Thin condoms so you can barely feel it, ribbed to give you a little extra feeling, and flavored to make head more interesting."",""You can even find different materials if you’re allergic to latex. Check out polyurethane or polyisoprene condoms if that’s you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc371483-b461-432b-bfd4-dee504b35f50""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_35_1542651151173"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""580cef8f-aecf-48b5-b0c5-adfbd937d5a8""},""input"":{""text"":""What’s the best condom brand ""},""intents"":[{""intent"":""Condom.types"",""confidence"":0.8810817241668703}],""entities"":[{""location"":[16,22],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Condoms have come a longggg way since our mamas and aunties were buying them. There are so many different types of condoms you can literally find ANYTHING to fit your mood or the occasion. Thin condoms so you can barely feel it, ribbed to give you a little extra feeling, and flavored to make head more interesting."",""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""intent"":{""name"":""Condom.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","Condom.types",false
"2020-01-05T06:47:28.830Z","What’s the healthiest for your body but also works ","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""text"":""What’s the healthiest for your body but also works ""}",,true
"2020-01-05T06:47:28.830Z","I'm sorry - I didn't understand. Can you try asking in a different way? ","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I'm sorry - I didn't understand. Can you try asking in a different way? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc371483-b461-432b-bfd4-dee504b35f50""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,1,0,5,2,4,3]},""node_35_1542651151173"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""580cef8f-aecf-48b5-b0c5-adfbd937d5a8""},""input"":{""text"":""What’s the healthiest for your body but also works ""},""alternate_intents"":false},""text"":""I'm sorry - I didn't understand. Can you try asking in a different way? ""}",,false
"2020-01-05T06:48:07.246Z","What brand has the healthiest material but also works ","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""text"":""What brand has the healthiest material but also works ""}",,true
"2020-01-05T06:48:07.234Z","Sorry, I didn't get that. Can you try rewording? ","{""userId"":""dc371483-b461-432b-bfd4-dee504b35f50"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sorry, I didn't get that. Can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Sorry, I didn't get that. Can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc371483-b461-432b-bfd4-dee504b35f50""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_2_1540920316188"":{""0"":[1,1,0,5,2,4,3]},""node_35_1542651151173"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_26_1534881690008"":{""0"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""580cef8f-aecf-48b5-b0c5-adfbd937d5a8""},""input"":{""text"":""What brand has the healthiest material but also works ""},""alternate_intents"":false},""text"":""Sorry, I didn't get that. Can you try rewording? ""}",,false
