"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T04:43:56.439Z",,"{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f""}",,true
"2020-01-04T04:43:56.426Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""71b55eb3-3c1b-4ade-bd83-af4a59641d5c""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T04:44:48.760Z","What is a good age I should have sex ?","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""text"":""What is a good age I should have sex ?""}",,true
"2020-01-04T04:44:48.775Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""71b55eb3-3c1b-4ade-bd83-af4a59641d5c""},""input"":{""text"":""What is a good age I should have sex ?""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.9358927726745605}],""entities"":[{""location"":[33,36],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""intent"":{""name"":""Sex.when.start"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.when.start",false
"2020-01-04T04:45:56.085Z","Do guys think our periods are gross ?","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""text"":""Do guys think our periods are gross ?""}",,true
"2020-01-04T04:45:56.086Z","Oops, I missed that. Can you reword your question please?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oops, I missed that. Can you reword your question please?""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Oops, I missed that. Can you reword your question please?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,4,3,2,0,5,1]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""71b55eb3-3c1b-4ade-bd83-af4a59641d5c""},""input"":{""text"":""Do guys think our periods are gross ?""},""entities"":[{""location"":[3,7],""value"":""Male"",""entity"":""Gender"",""confidence"":1},{""location"":[18,25],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Oops, I missed that. Can you reword your question please?"",""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""intent"":{""inputs"":[{""name"":""Gender"",""value"":""Male""},{""name"":""Period"",""value"":""period""}]}}",,false
"2020-01-04T04:46:49.422Z","How to know if its your partners first time too ?","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""text"":""How to know if its your partners first time too ?""}",,true
"2020-01-04T04:46:49.680Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T04:46:49.409Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,4,3,2,0,5,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""71b55eb3-3c1b-4ade-bd83-af4a59641d5c""},""input"":{""text"":""How to know if its your partners first time too ?""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.20746788837480779}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""intent"":{""name"":""BC.and.virgins""}}","BC.and.virgins",false
"2020-01-04T04:46:49.695Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,4,3,2,0,5,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""71b55eb3-3c1b-4ade-bd83-af4a59641d5c""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T04:47:03.512Z","O","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""text"":""O""}",,true
"2020-01-04T04:47:03.512Z","Oh no, I didn't understand that question. Can you rephrase? ","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Oh no, I didn't understand that question. Can you rephrase? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Oh no, I didn't understand that question. Can you rephrase? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_2_1540920316188"":{""0"":[1,4,3,2,0,5,1]},""node_57_1542677951229"":{""0"":[0,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""71b55eb3-3c1b-4ade-bd83-af4a59641d5c""},""input"":{""text"":""O""},""alternate_intents"":false},""text"":""Oh no, I didn't understand that question. Can you rephrase? ""}",,false
"2020-01-04T04:47:11.612Z","Ewww","{""userId"":""dc9079b5-c0bb-419c-8db3-ffe76ad40a2f"",""text"":""Ewww""}",,true
