"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:09:34.293Z",,"{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""}",,true
"2020-01-10T17:09:34.306Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""db912384-3463-47fd-bfca-663674e46b18""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-10T17:12:09.372Z","what are the side effects of ring?","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""what are the side effects of ring?""}",,true
"2020-01-10T17:12:09.359Z","Most girls don't have issues with the ring. Some girls might have small side effects like spotting or light bleeding between periods and maybe some nausea or headaches, but it’s not common. If you do have any of these issues, don’t worry, they usually go away as your body adjusts after a couple months. But if you're worried, talk to a doctor!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Most girls don't have issues with the ring. Some girls might have small side effects like spotting or light bleeding between periods and maybe some nausea or headaches, but it’s not common. If you do have any of these issues, don’t worry, they usually go away as your body adjusts after a couple months. But if you're worried, talk to a doctor!""},{""typing"":true,""response_type"":""pause"",""time"":2000},{""options"":[{""value"":{""input"":{""text"":""How can I get the ring?""}},""label"":""Tap here to see how you can get the ring.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me a different question.""}],""nodes_visited"":[""node_2_1535419253771"",""node_42_1541633945349""],""text"":[""Most girls don't have issues with the ring. Some girls might have small side effects like spotting or light bleeding between periods and maybe some nausea or headaches, but it’s not common. If you do have any of these issues, don’t worry, they usually go away as your body adjusts after a couple months. But if you're worried, talk to a doctor!"",""Or, ask me a different question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_42_1541633945349"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""db912384-3463-47fd-bfca-663674e46b18""},""input"":{""text"":""what are the side effects of ring?""},""intents"":[{""intent"":""Ring.side.effects"",""confidence"":0.9459752559661865}],""entities"":[{""location"":[13,25],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[29,33],""value"":""Ring"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Most girls don't have issues with the ring. Some girls might have small side effects like spotting or light bleeding between periods and maybe some nausea or headaches, but it’s not common. If you do have any of these issues, don’t worry, they usually go away as your body adjusts after a couple months. But if you're worried, talk to a doctor!"",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""Ring.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""Ring""}]}}","Ring.side.effects",false
"2020-01-10T17:13:28.756Z","Does ring protect against STI?","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""Does ring protect against STI?""}",,true
"2020-01-10T17:13:28.741Z","IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""What are the different types of condoms?""}},""label"":""Tap here to read about the different types of condoms.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me something else!""}],""nodes_visited"":[""node_19_1535654188401"",""node_8_1541623471497""],""text"":[""IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex."",""Or, ask me something else!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_42_1541633945349"":{""0"":[0],""3"":[0]},""node_8_1541623471497"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""db912384-3463-47fd-bfca-663674e46b18""},""input"":{""text"":""Does ring protect against STI?""},""intents"":[{""intent"":""STDs.and.IUD"",""confidence"":0.5161542415618896}],""entities"":[{""location"":[5,9],""value"":""Ring"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[26,29],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex."",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""STDs.and.IUD"",""inputs"":[{""name"":""Birth_Control"",""value"":""Ring""},{""name"":""STD"",""value"":""STD""}]}}","STDs.and.IUD",false
"2020-01-10T17:15:01.768Z","How do you play soccer?","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""How do you play soccer?""}",,true
"2020-01-10T17:15:01.783Z","You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""}],""nodes_visited"":[""node_2_1556809489992""],""text"":[""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_42_1541633945349"":{""0"":[0],""3"":[0]},""node_8_1541623471497"":{""0"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""db912384-3463-47fd-bfca-663674e46b18""},""input"":{""text"":""How do you play soccer?""},""intents"":[{""intent"":""Masturbation"",""confidence"":0.2749652206897736}],""alternate_intents"":false},""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable."",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""Masturbation""}}","Masturbation",false
"2020-01-10T17:15:02.077Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-10T17:15:02.063Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_42_1541633945349"":{""0"":[0],""3"":[0]},""node_8_1541623471497"":{""0"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""db912384-3463-47fd-bfca-663674e46b18""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""unknown""}}","unknown",false
