"Date","Text","Message JSON","Intent","Incoming"
"2020-01-10T17:26:24.382Z","  side effects of pill","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""  side effects of pill""}",,true
"2020-01-10T17:26:24.383Z","There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. ""},{""response_type"":""text"",""text"":""But there’s some good side effects too. The pill is great for clearing up acne and regulating your period. It’ll take clear skin and no surprise periods any day!""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""How effective is the pill at preventing pregnancy?""}},""label"":""Tap here to see how effective the pill is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me a different question.""}],""nodes_visited"":[""node_15_1535394409816"",""node_30_1541720708137""],""text"":[""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. "",""But there’s some good side effects too. The pill is great for clearing up acne and regulating your period. It’ll take clear skin and no surprise periods any day!"",""Or, ask me a different question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_41_1542651527484"":{""0"":[0,0]},""node_60_1542149327896"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_41_1535404605625"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2cb29a5b-136e-47a1-b319-a5f1d063aabc""},""input"":{""text"":""  side effects of pill""},""intents"":[{""intent"":""Pill.side.effects"",""confidence"":0.9373663425445558}],""entities"":[{""location"":[2,14],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[18,22],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""There are a few common side effects from the pill. The main ones are pretty simple things like sore breasts, an upset stomach, or headaches. You might even notice your boobs looking a little bigger while on the pill. "",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""Pill.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""the pill""}]}}","Pill.side.effects",false
"2020-01-10T17:26:59.260Z","does pill protect against sti","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""does pill protect against sti""}",,true
"2020-01-10T17:26:59.248Z","IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""What are the different types of condoms?""}},""label"":""Tap here to read about the different types of condoms.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, ask me something else!""}],""nodes_visited"":[""node_19_1535654188401"",""node_8_1541623471497""],""text"":[""IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex."",""Or, ask me something else!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":8,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":8,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_41_1535404605625"":{""0"":[0]},""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_41_1542651527484"":{""0"":[0,0]},""node_8_1541623471497"":{""0"":[0],""3"":[0]},""node_60_1542149327896"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2cb29a5b-136e-47a1-b319-a5f1d063aabc""},""input"":{""text"":""does pill protect against sti""},""intents"":[{""intent"":""STDs.and.IUD"",""confidence"":0.579383659362793}],""entities"":[{""location"":[5,9],""value"":""the pill"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[26,29],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""IUDs do NOT protect against STDs! IUDs are simply birth control which means the only thing they prevent is pregnancy. Regardless of what type of birth control you’re using, the best way to protect against STDs is to use a condom every time you have sex."",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""STDs.and.IUD"",""inputs"":[{""name"":""Birth_Control"",""value"":""the pill""},{""name"":""STD"",""value"":""STD""}]}}","STDs.and.IUD",false
"2020-01-10T17:27:15.886Z","how does patch work","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""how does patch work""}",,true
"2020-01-10T17:27:15.903Z","The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!""},{""response_type"":""text"",""text"":""If you’re fine with switching it out every week, you should definitely talk to your doctor about starting it. ""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""How effective is the patch at preventing pregnancy?""}},""label"":""Tap here to see how effective the patch is.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or type a different question.""}],""nodes_visited"":[""node_3_1535417199821"",""node_22_1542399584114""],""text"":[""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!"",""If you’re fine with switching it out every week, you should definitely talk to your doctor about starting it. "",""Or type a different question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":9,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":9,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_41_1535404605625"":{""0"":[0]},""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_41_1542651527484"":{""0"":[0,0]},""node_8_1541623471497"":{""0"":[0],""3"":[0]},""node_60_1542149327896"":{""0"":[0],""1"":[0],""4"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2cb29a5b-136e-47a1-b319-a5f1d063aabc""},""input"":{""text"":""how does patch work""},""intents"":[{""intent"":""def_Patch.BC"",""confidence"":0.7921971797943115}],""entities"":[{""location"":[9,14],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The patch is a type of birth control that you place on your arm every week. It’s sold as Xulane (used to be called Ortho Evra) and it works to prevent ovulation (when your body releases an egg) - no egg, no baby!"",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""def_Patch.BC"",""inputs"":[{""name"":""Birth_Control"",""value"":""Patch""}]}}","def_Patch.BC",false
"2020-01-10T17:28:07.029Z","how long does patch last","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""how long does patch last""}",,true
"2020-01-10T17:28:07.012Z","The patch needs to be changed on the same day every week. If you forgot, you need to change it ASAP and figure out how late you are. If you’re more than two days late changing it, use condoms if you have have sex for the next week. Keep that new patch on for a week, and maybe set a reminder so you don’t forget to change it next week!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The patch needs to be changed on the same day every week. If you forgot, you need to change it ASAP and figure out how late you are. If you’re more than two days late changing it, use condoms if you have have sex for the next week. Keep that new patch on for a week, and maybe set a reminder so you don’t forget to change it next week!""},{""response_type"":""text"",""text"":""And if you're having a hard time remembering, think about switching to birth control that you don't have to think about, like the IUD or implant. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""}],""nodes_visited"":[""node_19_1536106551826"",""node_10_1542137905345"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""The patch needs to be changed on the same day every week. If you forgot, you need to change it ASAP and figure out how late you are. If you’re more than two days late changing it, use condoms if you have have sex for the next week. Keep that new patch on for a week, and maybe set a reminder so you don’t forget to change it next week!"",""And if you're having a hard time remembering, think about switching to birth control that you don't have to think about, like the IUD or implant. "",""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":10,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":10,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_41_1535404605625"":{""0"":[0]},""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_41_1542651527484"":{""0"":[0,0]},""node_1_1544810991157"":{""1"":[0,0,1,5,3,6,4,2]},""node_10_1542137905345"":{""0"":[0],""1"":[0]},""node_8_1541623471497"":{""0"":[0],""3"":[0]},""node_60_1542149327896"":{""0"":[0],""1"":[0],""4"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2cb29a5b-136e-47a1-b319-a5f1d063aabc""},""input"":{""text"":""how long does patch last""},""intents"":[{""intent"":""Patch.forgot.change"",""confidence"":0.9099471569061279}],""entities"":[{""location"":[14,19],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""The patch needs to be changed on the same day every week. If you forgot, you need to change it ASAP and figure out how late you are. If you’re more than two days late changing it, use condoms if you have have sex for the next week. Keep that new patch on for a week, and maybe set a reminder so you don’t forget to change it next week!"",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""Patch.forgot.change"",""inputs"":[{""name"":""Birth_Control"",""value"":""Patch""}]}}","Patch.forgot.change",false
"2020-01-10T17:28:36.186Z","side effects of patch","{""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""text"":""side effects of patch""}",,true
"2020-01-10T17:28:36.188Z","Some people might feel a few side effects from the patch. The main ones are pretty simple things - like spotting, sore breasts, an upset stomach, or headaches. You might even notice some soreness where the patch is. For most girls, these will go away after a couple of months.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Some people might feel a few side effects from the patch. The main ones are pretty simple things - like spotting, sore breasts, an upset stomach, or headaches. You might even notice some soreness where the patch is. For most girls, these will go away after a couple of months.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""Get the patch.""}},""label"":""Tap here to find out how to get the patch.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or, you can ask me more questions.""}],""nodes_visited"":[""node_5_1535043364923"",""node_4_1542137107968""],""text"":[""Some people might feel a few side effects from the patch. The main ones are pretty simple things - like spotting, sore breasts, an upset stomach, or headaches. You might even notice some soreness where the patch is. For most girls, these will go away after a couple of months."",""Or, you can ask me more questions.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dd437915-2697-450f-bb6d-d1c5ea10db1b""},""system"":{""dialog_request_counter"":11,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":11,""_node_output_map"":{""node_1_1540844990941"":{""0"":[0]},""node_41_1535404605625"":{""0"":[0]},""node_4_1542137107968"":{""0"":[0],""3"":[0]},""node_30_1541720708137"":{""0"":[0],""1"":[0],""4"":[0]},""node_41_1542651527484"":{""0"":[0,0]},""node_1_1544810991157"":{""1"":[0,0,1,5,3,6,4,2]},""node_10_1542137905345"":{""0"":[0],""1"":[0]},""node_8_1541623471497"":{""0"":[0],""3"":[0]},""node_60_1542149327896"":{""0"":[0],""1"":[0],""4"":[0]},""node_22_1542399584114"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2cb29a5b-136e-47a1-b319-a5f1d063aabc""},""input"":{""text"":""side effects of patch""},""intents"":[{""intent"":""Patch.side.effects"",""confidence"":0.9674452304840089}],""entities"":[{""location"":[0,12],""value"":""side effects"",""entity"":""Side_Effects"",""confidence"":1},{""location"":[16,21],""value"":""Patch"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Some people might feel a few side effects from the patch. The main ones are pretty simple things - like spotting, sore breasts, an upset stomach, or headaches. You might even notice some soreness where the patch is. For most girls, these will go away after a couple of months."",""userId"":""dd437915-2697-450f-bb6d-d1c5ea10db1b"",""intent"":{""name"":""Patch.side.effects"",""inputs"":[{""name"":""Side_Effects"",""value"":""side effects""},{""name"":""Birth_Control"",""value"":""Patch""}]}}","Patch.side.effects",false
