"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T05:57:02.315Z",,"{""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2""}",,true
"2020-01-05T05:57:02.328Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dda39ac5-4e35-420e-9115-930c9e0e34d2""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b699c793-8e1c-41c0-ae6a-c3e4813483f8""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T05:57:30.959Z","What do I do to prepare for my first time","{""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""text"":""What do I do to prepare for my first time""}",,true
"2020-01-05T05:57:30.958Z","PrEP stands for ""pre-exposure prophylaxis."" It's a pill that people take every day to prevent HIV. It's still important to use condoms for protection against HIV, but for those who are at a higher risk of getting HIV, PrEP is a good idea as well!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""PrEP stands for \""pre-exposure prophylaxis.\"" It's a pill that people take every day to prevent HIV. It's still important to use condoms for protection against HIV, but for those who are at a higher risk of getting HIV, PrEP is a good idea as well!""}],""nodes_visited"":[""node_9_1535738655177""],""text"":[""PrEP stands for \""pre-exposure prophylaxis.\"" It's a pill that people take every day to prevent HIV. It's still important to use condoms for protection against HIV, but for those who are at a higher risk of getting HIV, PrEP is a good idea as well!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dda39ac5-4e35-420e-9115-930c9e0e34d2""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_9_1535738655177"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b699c793-8e1c-41c0-ae6a-c3e4813483f8""},""input"":{""text"":""What do I do to prepare for my first time""},""intents"":[{""intent"":""def_PrEP"",""confidence"":0.36824401617050173}],""alternate_intents"":false},""text"":""PrEP stands for \""pre-exposure prophylaxis.\"" It's a pill that people take every day to prevent HIV. It's still important to use condoms for protection against HIV, but for those who are at a higher risk of getting HIV, PrEP is a good idea as well!"",""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""intent"":{""name"":""def_PrEP""}}","def_PrEP",false
"2020-01-05T05:57:31.405Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T05:57:31.394Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dda39ac5-4e35-420e-9115-930c9e0e34d2""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_9_1535738655177"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b699c793-8e1c-41c0-ae6a-c3e4813483f8""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T05:57:48.282Z","Do I shave ","{""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""text"":""Do I shave ""}",,true
"2020-01-05T05:57:48.444Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T05:57:48.296Z","Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!""}],""nodes_visited"":[""node_9_1536090170166"",""node_6_1542239788669""],""text"":[""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dda39ac5-4e35-420e-9115-930c9e0e34d2""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_6_1542239788669"":{""0"":[0,0]},""node_9_1535738655177"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b699c793-8e1c-41c0-ae6a-c3e4813483f8""},""input"":{""text"":""Do I shave ""},""intents"":[{""intent"":""I.Hate.You.Bot"",""confidence"":0.3219281911849976}],""alternate_intents"":false},""text"":""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!"",""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""intent"":{""name"":""I.Hate.You.Bot""}}","I.Hate.You.Bot",false
"2020-01-05T05:57:48.432Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dda39ac5-4e35-420e-9115-930c9e0e34d2""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_6_1542239788669"":{""0"":[0,0]},""node_9_1535738655177"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""b699c793-8e1c-41c0-ae6a-c3e4813483f8""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""dda39ac5-4e35-420e-9115-930c9e0e34d2"",""intent"":{""name"":""unknown""}}","unknown",false
