"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T23:34:05.916Z",,"{""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0""}",,true
"2020-01-04T23:34:05.913Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ead851ae-fbf4-4683-a195-5cf25dbf1814""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T23:34:34.216Z","Can I get pregnant the first time I have sex","{""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""text"":""Can I get pregnant the first time I have sex""}",,true
"2020-01-04T23:34:34.200Z","You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""}],""nodes_visited"":[""node_5_1535390316228"",""node_57_1542677951229""],""text"":[""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ead851ae-fbf4-4683-a195-5cf25dbf1814""},""input"":{""text"":""Can I get pregnant the first time I have sex""},""intents"":[{""intent"":""BC.and.virgins"",""confidence"":0.9266445636749268}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[41,44],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. Even if it’s your first time, if it’s his first time, or both of y’all are doing this for the first time together. Doesn’t matter. Use birth control EVERY time you have sex."",""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""intent"":{""name"":""BC.and.virgins"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Sex"",""value"":""sex""}]}}","BC.and.virgins",false
"2020-01-04T23:34:53.332Z","Can I pregnant on my period","{""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""text"":""Can I pregnant on my period""}",,true
"2020-01-04T23:34:53.345Z","You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ""},{""response_type"":""text"",""text"":""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""}],""nodes_visited"":[""node_2_1534536009510"",""node_4_1541708593861""],""text"":[""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ead851ae-fbf4-4683-a195-5cf25dbf1814""},""input"":{""text"":""Can I pregnant on my period""},""intents"":[{""intent"":""Preg.time"",""confidence"":0.9778242111206055}],""entities"":[{""location"":[6,14],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[21,27],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""intent"":{""name"":""Preg.time"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Period"",""value"":""period""}]}}","Preg.time",false
"2020-01-04T23:35:23.587Z","Should I shave my vagina?","{""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""text"":""Should I shave my vagina?""}",,true
"2020-01-04T23:35:23.587Z","The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come.""},{""response_type"":""text"",""text"":""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""}],""nodes_visited"":[""node_1_1540517127549"",""node_18_1542307714292""],""text"":[""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""Above the vagina (on the inside) is your uterus and that’s where the egg gets fertilized with sperm. And the cervix is the small opening between the vagina and uterus.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_57_1542677951229"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ead851ae-fbf4-4683-a195-5cf25dbf1814""},""input"":{""text"":""Should I shave my vagina?""},""intents"":[{""intent"":""def_vagina"",""confidence"":0.6505711555480957}],""entities"":[{""location"":[18,24],""value"":""Vagina"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""The female body is seriously complicated. You have the vagina, labia, clitoris (aka the clit), and urethra that all make up the “vulva”. The clit is the sensitive bump right above your vagina that usually gets you to come."",""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""intent"":{""name"":""def_vagina"",""inputs"":[{""name"":""Body_Parts"",""value"":""Vagina""}]}}","def_vagina",false
"2020-01-04T23:35:49.112Z","Are red bumps normal after shaving ","{""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""text"":""Are red bumps normal after shaving ""}",,true
"2020-01-04T23:35:49.099Z","I didn't understand - can you try rewording? ","{""userId"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand - can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I didn't understand - can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""dff84b2f-43e3-4a0a-b734-77699c76f9a0""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[0,2,4,3,1,0,5]},""node_57_1542677951229"":{""0"":[0,0]},""node_18_1542307714292"":{""0"":[0],""1"":[0]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ead851ae-fbf4-4683-a195-5cf25dbf1814""},""input"":{""text"":""Are red bumps normal after shaving ""},""alternate_intents"":false},""text"":""I didn't understand - can you try rewording? ""}",,false
