"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T00:06:22.864Z",,"{""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e""}",,true
"2020-01-04T00:06:22.864Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8f9d458a-494a-4373-9a19-6caa1a4c6e1a""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T00:06:35.864Z","my boyfriend hits me","{""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""text"":""my boyfriend hits me""}",,true
"2020-01-04T00:06:35.853Z","If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3620, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3620, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone.""}],""nodes_visited"":[""node_2_1560532584699""],""text"":[""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3620, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8f9d458a-494a-4373-9a19-6caa1a4c6e1a""},""input"":{""text"":""my boyfriend hits me""},""intents"":[{""intent"":""abuse"",""confidence"":1}],""entities"":[{""location"":[3,12],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3620, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone."",""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""intent"":{""name"":""abuse"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","abuse",false
"2020-01-04T00:06:58.093Z","suicide","{""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""text"":""suicide""}",,true
"2020-01-04T00:06:58.776Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-04T00:06:58.109Z","Spermicide is a chemical that stops sperm from reaching the egg. You put it in your vagina right before sex, and you have to use it every time. It's often used with other forms of birth control, like a condom or the pill.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Spermicide is a chemical that stops sperm from reaching the egg. You put it in your vagina right before sex, and you have to use it every time. It's often used with other forms of birth control, like a condom or the pill.""}],""nodes_visited"":[""node_16_1535047403517""],""text"":[""Spermicide is a chemical that stops sperm from reaching the egg. You put it in your vagina right before sex, and you have to use it every time. It's often used with other forms of birth control, like a condom or the pill.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_16_1535047403517"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8f9d458a-494a-4373-9a19-6caa1a4c6e1a""},""input"":{""text"":""suicide""},""intents"":[{""intent"":""def_spermicide"",""confidence"":0.3874695420265198}],""alternate_intents"":false},""text"":""Spermicide is a chemical that stops sperm from reaching the egg. You put it in your vagina right before sex, and you have to use it every time. It's often used with other forms of birth control, like a condom or the pill."",""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""intent"":{""name"":""def_spermicide""}}","def_spermicide",false
"2020-01-04T00:06:58.763Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_16_1535047403517"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8f9d458a-494a-4373-9a19-6caa1a4c6e1a""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-04T00:07:07.081Z","i'm an very depressed","{""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""text"":""i'm an very depressed""}",,true
"2020-01-04T00:07:07.099Z","Sorry, I didn't get that. Can you try rewording? ","{""userId"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sorry, I didn't get that. Can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""Sorry, I didn't get that. Can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e2a2cc4a-bc8c-40ef-aafc-ce0d235e073e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_16_1535047403517"":{""0"":[0]},""node_2_1540920316188"":{""0"":[0,0,2,1,3,4,5]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8f9d458a-494a-4373-9a19-6caa1a4c6e1a""},""input"":{""text"":""i'm an very depressed""},""alternate_intents"":false},""text"":""Sorry, I didn't get that. Can you try rewording? ""}",,false
