"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T01:30:39.353Z",,"{""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7""}",,true
"2020-01-05T01:30:39.353Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7840fd6b-3ac1-4c27-902c-53fda15df188""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T01:30:54.706Z","Does having sex hurt ","{""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""text"":""Does having sex hurt ""}",,true
"2020-01-05T01:30:54.693Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for your nearest doctor or clinic. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7840fd6b-3ac1-4c27-902c-53fda15df188""},""input"":{""text"":""Does having sex hurt ""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.9254468917846681}],""entities"":[{""location"":[12,15],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-01-05T01:31:51.078Z","How do I masturbate","{""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""text"":""How do I masturbate""}",,true
"2020-01-05T01:31:51.073Z","You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""}],""nodes_visited"":[""node_2_1556809489992""],""text"":[""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7840fd6b-3ac1-4c27-902c-53fda15df188""},""input"":{""text"":""How do I masturbate""},""intents"":[{""intent"":""Masturbation"",""confidence"":0.9311590194702148}],""alternate_intents"":false},""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable."",""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""intent"":{""name"":""Masturbation""}}","Masturbation",false
"2020-01-05T01:32:28.062Z","Is it bad to have teen sex","{""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""text"":""Is it bad to have teen sex""}",,true
"2020-01-05T01:32:28.509Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T01:32:28.076Z","There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. ""},{""response_type"":""text"",""text"":""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How do I choose the right kind of birth control?""}},""label"":""Tap here to learn about choosing the best birth control for you.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or you can ask me another question.""}],""nodes_visited"":[""node_7_1535646904489"",""node_26_1541630799961""],""text"":[""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""That way you’re already covered when you start having sex because YES, you CAN get pregnant the first time."",""Or you can ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7840fd6b-3ac1-4c27-902c-53fda15df188""},""input"":{""text"":""Is it bad to have teen sex""},""intents"":[{""intent"":""Sex.when.start"",""confidence"":0.47132949829101567}],""entities"":[{""location"":[23,26],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""There isn’t a “right” time to have sex. Sex is all about you. You have sex when YOU’RE ready to have sex. If you’re thinking you might be ready, it’s a good idea to start birth control. "",""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""intent"":{""name"":""Sex.when.start"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.when.start",false
"2020-01-05T01:32:28.493Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,3,4,2,1,0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""7840fd6b-3ac1-4c27-902c-53fda15df188""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""e38484d0-c2e7-4cc8-b84a-9349e19f6fb7"",""intent"":{""name"":""unknown""}}","unknown",false
