"Date","Text","Message JSON","Intent","Incoming"
"2020-01-17T00:48:49.254Z",,"{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32""}",,true
"2020-01-17T00:48:49.255Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-17T00:49:05.951Z","What does lgbt mean?","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""What does lgbt mean?""}",,true
"2020-01-17T00:49:05.935Z","There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_4_1535389912519"",""node_12_1543872795269"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""<a href=\""/&__hash__;birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1543872795269"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,6,5,0,3,1,2,4]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""input"":{""text"":""What does lgbt mean?""},""intents"":[{""intent"":""BC.and.LGBTQ"",""confidence"":0.3439110040664673}],""alternate_intents"":false},""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""intent"":{""name"":""BC.and.LGBTQ""}}","BC.and.LGBTQ",false
"2020-01-17T00:49:06.409Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-17T00:49:06.424Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_1_1544810991157"":{""1"":[0,6,5,0,3,1,2,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1543872795269"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-17T00:49:30.406Z","What does gay mean?","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""What does gay mean?""}",,true
"2020-01-17T00:49:30.391Z","There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_4_1535389912519"",""node_12_1543872795269"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""<a href=\""/&__hash__;birth-control-types\"">Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_1_1544810991157"":{""1"":[1,6,5,0,3,1,2,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1543872795269"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""input"":{""text"":""What does gay mean?""},""intents"":[{""intent"":""BC.and.LGBTQ"",""confidence"":0.5837965726852417}],""alternate_intents"":false},""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""intent"":{""name"":""BC.and.LGBTQ""}}","BC.and.LGBTQ",false
"2020-01-17T00:50:13.422Z","How do you know if you’re gay?","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""How do you know if you’re gay?""}",,true
"2020-01-17T00:50:13.421Z","There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""}],""nodes_visited"":[""node_4_1535389912519"",""node_12_1543872795269"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""<a href=\""/&__hash__;birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_1_1544810991157"":{""1"":[2,6,5,0,3,1,2,4]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1543872795269"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""input"":{""text"":""How do you know if you’re gay?""},""intents"":[{""intent"":""BC.and.LGBTQ"",""confidence"":0.7853991508483886}],""alternate_intents"":false},""text"":""There are lots of reasons why women use birth control, even if they're LGBTQ+. Many young people are still figuring our their sexuality, so it's a good idea to get on birth control just in case. Birth control can also help regulate your period and can reduce acne, which is a pretty nice perk!"",""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""intent"":{""name"":""BC.and.LGBTQ""}}","BC.and.LGBTQ",false
"2020-01-17T00:50:34.611Z","I’m a boy","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""I’m a boy""}",,true
"2020-01-17T00:50:34.595Z","Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""}],""nodes_visited"":[""node_1_1551405582035""],""text"":[""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_1_1544810991157"":{""1"":[2,6,5,0,3,1,2,4]},""node_1_1551405582035"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1543872795269"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""input"":{""text"":""I’m a boy""},""intents"":[{""intent"":""Boy"",""confidence"":1}],""entities"":[{""location"":[6,9],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""Hey man. Right now, the info I provide is aimed for females, so I might not be able to answer your questions. But I will try to answer as best I can! "",""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""intent"":{""name"":""Boy"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","Boy",false
"2020-01-17T00:50:54.520Z","Why do girls have periods","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""Why do girls have periods""}",,true
"2020-01-17T00:50:54.533Z","Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.""}],""nodes_visited"":[""node_40_1534802835198"",""node_14_1542398848612""],""text"":[""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":7,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":7,""_node_output_map"":{""node_1_1544810991157"":{""1"":[2,6,5,0,3,1,2,4]},""node_1_1551405582035"":{""0"":[0]},""node_14_1542398848612"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1543872795269"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""input"":{""text"":""Why do girls have periods""},""intents"":[{""intent"":""def_menstruation"",""confidence"":0.5493176221847534}],""entities"":[{""location"":[7,12],""value"":""Female"",""entity"":""Gender"",""confidence"":1},{""location"":[18,25],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃."",""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""intent"":{""name"":""def_menstruation"",""inputs"":[{""name"":""Gender"",""value"":""Female""},{""name"":""Period"",""value"":""period""}]}}","def_menstruation",false
"2020-01-17T00:51:30.699Z","My boyfriend hits me","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""My boyfriend hits me""}",,true
"2020-01-17T00:51:30.698Z","If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3260, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3260, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone.""}],""nodes_visited"":[""node_2_1560532584699""],""text"":[""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3260, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ea23e735-5eb7-47b2-9346-b711e3107a32""},""system"":{""dialog_request_counter"":8,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":8,""_node_output_map"":{""node_2_1560532584699"":{""0"":[0]},""node_1_1551405582035"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_12_1543872795269"":{""0"":[0]},""node_1_1544810991157"":{""1"":[2,6,5,0,3,1,2,4]},""node_14_1542398848612"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""e7270dab-52c0-441a-b862-6049a0c5e2a3""},""input"":{""text"":""My boyfriend hits me""},""intents"":[{""intent"":""abuse"",""confidence"":1}],""entities"":[{""location"":[3,12],""value"":""Male"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""If you're in an abusive relationship or if you are experiencing violence, it's important to get help as soon as possible. Call Vera House 24/7 at 315-468-3260, or stop by at 723 James Street in Syracuse from 8:30am-5pm Monday-Friday. They're there to help people like you. You're not alone."",""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""intent"":{""name"":""abuse"",""inputs"":[{""name"":""Gender"",""value"":""Male""}]}}","abuse",false
"2020-01-17T00:51:48.808Z","My girlfriend hits me","{""userId"":""ea23e735-5eb7-47b2-9346-b711e3107a32"",""text"":""My girlfriend hits me""}",,true
