"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T06:45:13.079Z",,"{""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040""}",,true
"2020-01-05T06:45:13.095Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72cdf5c5-eb1f-4e8c-bcf3-ecc80d903ef5""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T06:45:26.207Z","Where can I get a condom","{""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""text"":""Where can I get a condom""}",,true
"2020-01-05T06:45:26.195Z","You don't need a prescription for condoms - there's usually a pretty big condom section in any pharmacy, like CVS or Walgreens. Or you can get FREE condoms at <a target=""_blank"" href=""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/"">Planned Parenthood</a>.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You don't need a prescription for condoms - there's usually a pretty big condom section in any pharmacy, like CVS or Walgreens. Or you can get FREE condoms at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a>.""}],""nodes_visited"":[""node_47_1535407286064"",""node_95_1543885488315""],""text"":[""You don't need a prescription for condoms - there's usually a pretty big condom section in any pharmacy, like CVS or Walgreens. Or you can get FREE condoms at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a>.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_95_1543885488315"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72cdf5c5-eb1f-4e8c-bcf3-ecc80d903ef5""},""input"":{""text"":""Where can I get a condom""},""intents"":[{""intent"":""Condom.prescription"",""confidence"":0.5314115285873413}],""entities"":[{""location"":[16,24],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""You don't need a prescription for condoms - there's usually a pretty big condom section in any pharmacy, like CVS or Walgreens. Or you can get FREE condoms at <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a>."",""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""intent"":{""name"":""Condom.prescription"",""inputs"":[{""name"":""Birth_Control"",""value"":""condom""}]}}","Condom.prescription",false
"2020-01-05T06:46:06.989Z","I wanna have sex but he doesn’t want to ","{""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""text"":""I wanna have sex but he doesn’t want to ""}",,true
"2020-01-05T06:46:06.974Z","Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. ""},{""response_type"":""text"",""text"":""Tell them it’s not about them, it’s about YOU, and although you care about them, you’re just not ready. And just because you’re not ready today, doesn’t mean you'll never be ready. Besides, there are things you can do other than sex, if you're ready 😉.""},{""response_type"":""text"",""text"":""If you're feeling pressure to have sex, it's important to know about an important word: consent. <a target =\""_blank\"" href = \""https://laylasgotyou.com/layla-blog/2019/6/27/the-big-c-word-consent\"">Check out this blog to learn more. </a>""}],""nodes_visited"":[""node_16_1535482284508"",""node_32_1541631799367"",""node_3_1576098101943""],""text"":[""Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. "",""Tell them it’s not about them, it’s about YOU, and although you care about them, you’re just not ready. And just because you’re not ready today, doesn’t mean you'll never be ready. Besides, there are things you can do other than sex, if you're ready 😉."",""If you're feeling pressure to have sex, it's important to know about an important word: consent. <a target =\""_blank\"" href = \""https://laylasgotyou.com/layla-blog/2019/6/27/the-big-c-word-consent\"">Check out this blog to learn more. </a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_32_1541631799367"":{""0"":[0],""1"":[0]},""node_3_1576098101943"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_95_1543885488315"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72cdf5c5-eb1f-4e8c-bcf3-ecc80d903ef5""},""input"":{""text"":""I wanna have sex but he doesn’t want to ""},""intents"":[{""intent"":""Sex.getting.pressured"",""confidence"":0.3489181829219547}],""entities"":[{""location"":[13,16],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. "",""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""intent"":{""name"":""Sex.getting.pressured"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.getting.pressured",false
"2020-01-05T06:46:07.259Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T06:46:07.270Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_32_1541631799367"":{""0"":[0],""1"":[0]},""node_3_1576098101943"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_95_1543885488315"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""72cdf5c5-eb1f-4e8c-bcf3-ecc80d903ef5""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-05T06:46:12.730Z",,"{""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040""}",,true
"2020-01-05T06:46:12.713Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""eb8ffa78-8feb-408e-838b-18bdfa7b7040""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""1ece19b2-7583-4ba1-a0d2-38f58813ae61""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
