"Date","Text","Message JSON","Intent","Incoming"
"2020-01-24T16:50:44.252Z",,"{""userId"":""ebf09c28-615d-4e32-a159-7769f7221089""}",,true
"2020-01-24T16:50:44.263Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ebf09c28-615d-4e32-a159-7769f7221089""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6b1992d7-ad2c-46ec-92e4-41ce8c5cc0dc""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-24T16:53:26.244Z","every time i have sex i get a yeast infection","{""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""text"":""every time i have sex i get a yeast infection""}",,true
"2020-01-24T16:53:26.504Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-24T16:53:26.260Z","If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.""}],""nodes_visited"":[""node_9_1537567669301""],""text"":[""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ebf09c28-615d-4e32-a159-7769f7221089""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_9_1537567669301"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6b1992d7-ad2c-46ec-92e4-41ce8c5cc0dc""},""input"":{""text"":""every time i have sex i get a yeast infection""},""intents"":[{""intent"":""Yeast.infection.prevention"",""confidence"":0.4541114568710327}],""entities"":[{""location"":[18,21],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina."",""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""intent"":{""name"":""Yeast.infection.prevention"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Yeast.infection.prevention",false
"2020-01-24T16:53:26.489Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ebf09c28-615d-4e32-a159-7769f7221089""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_9_1537567669301"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6b1992d7-ad2c-46ec-92e4-41ce8c5cc0dc""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-01-24T16:57:04.245Z","every time i have sex i get a yeast infection","{""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""text"":""every time i have sex i get a yeast infection""}",,true
"2020-01-24T16:57:04.247Z","If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.""}],""nodes_visited"":[""node_9_1537567669301""],""text"":[""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ebf09c28-615d-4e32-a159-7769f7221089""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_9_1537567669301"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6b1992d7-ad2c-46ec-92e4-41ce8c5cc0dc""},""input"":{""text"":""every time i have sex i get a yeast infection""},""intents"":[{""intent"":""Yeast.infection.prevention"",""confidence"":1}],""entities"":[{""location"":[18,21],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina."",""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""intent"":{""name"":""Yeast.infection.prevention"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Yeast.infection.prevention",false
"2020-01-24T16:57:09.825Z","everytime i have sex i get a yeast infection","{""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""text"":""everytime i have sex i get a yeast infection""}",,true
"2020-01-24T16:57:09.812Z","If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.""}],""nodes_visited"":[""node_9_1537567669301""],""text"":[""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""ebf09c28-615d-4e32-a159-7769f7221089""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_9_1537567669301"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""6b1992d7-ad2c-46ec-92e4-41ce8c5cc0dc""},""input"":{""text"":""everytime i have sex i get a yeast infection""},""intents"":[{""intent"":""Yeast.infection.prevention"",""confidence"":0.9234945774078369}],""entities"":[{""location"":[17,20],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""If you think have a yeast infection, you can buy vaginal antifungal cream from the pharmacy (look for Monistat or Clotrimazole). To prevent them in the future, try wearing loose clothing and underwear, get out of wet clothes as soon as possible, and avoid being in really hot water for long periods. Sometimes sex leads to yeast infections since it can upset the healthy balance in the vagina."",""userId"":""ebf09c28-615d-4e32-a159-7769f7221089"",""intent"":{""name"":""Yeast.infection.prevention"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Yeast.infection.prevention",false
