"Date","Text","Message JSON","Intent","Incoming"
"2020-01-04T12:44:34.813Z",,"{""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e""}",,true
"2020-01-04T12:44:34.813Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""474ca07a-3d58-437f-9b7a-1a283d0f0203""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-04T12:45:00.090Z","Can you have sex while on your period","{""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""text"":""Can you have sex while on your period""}",,true
"2020-01-04T12:45:00.072Z","You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ""},{""response_type"":""text"",""text"":""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""}],""nodes_visited"":[""node_2_1534536009510"",""node_4_1541708593861""],""text"":[""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""474ca07a-3d58-437f-9b7a-1a283d0f0203""},""input"":{""text"":""Can you have sex while on your period""},""intents"":[{""intent"":""Preg.time"",""confidence"":0.570067310333252}],""entities"":[{""location"":[13,16],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[31,37],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""intent"":{""name"":""Preg.time"",""inputs"":[{""name"":""Sex"",""value"":""sex""},{""name"":""Period"",""value"":""period""}]}}","Preg.time",false
"2020-01-04T12:46:02.947Z","Can you still get pregnant if you use a condom while on your period","{""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""text"":""Can you still get pregnant if you use a condom while on your period""}",,true
"2020-01-04T12:46:02.946Z","Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either.""},{""response_type"":""text"",""text"":""Condoms ARE really good at preventing STDs though so you should definitely still use them for protection. As far as preventing pregnancy? You should look into some other types of birth control that are more effective. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_23_1534966345572"",""node_18_1542648297568"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either."",""Condoms ARE really good at preventing STDs though so you should definitely still use them for protection. As far as preventing pregnancy? You should look into some other types of birth control that are more effective. "",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_18_1542648297568"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,5,1,3,2,0,6,4]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""474ca07a-3d58-437f-9b7a-1a283d0f0203""},""input"":{""text"":""Can you still get pregnant if you use a condom while on your period""},""intents"":[{""intent"":""Condom.efficacy"",""confidence"":0.8441169738769532}],""entities"":[{""location"":[18,26],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[38,46],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[61,67],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Condoms are 82% effective which means out of 100 women who use condoms during sex, 28 of them will get pregnant. Yea, I’m not too happy about those odds either."",""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""intent"":{""name"":""Condom.efficacy"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""condom""},{""name"":""Period"",""value"":""period""}]}}","Condom.efficacy",false
"2020-01-04T12:47:06.209Z","What’s a female orgasim","{""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""text"":""What’s a female orgasim""}",,true
"2020-01-04T12:47:06.209Z","Although it's pretty rare, women can ejaculate too (also called squirting). The liquid comes from the urethra and is usually a white color. People aren't really sure why some women ejaculate and others don't - either way, don't worry about it!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Although it's pretty rare, women can ejaculate too (also called squirting). The liquid comes from the urethra and is usually a white color. People aren't really sure why some women ejaculate and others don't - either way, don't worry about it!""}],""nodes_visited"":[""node_2_1542821989276""],""text"":[""Although it's pretty rare, women can ejaculate too (also called squirting). The liquid comes from the urethra and is usually a white color. People aren't really sure why some women ejaculate and others don't - either way, don't worry about it!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_18_1542648297568"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,5,1,3,2,0,6,4]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_2_1542821989276"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""474ca07a-3d58-437f-9b7a-1a283d0f0203""},""input"":{""text"":""What’s a female orgasim""},""intents"":[{""intent"":""def_female.ejaculation"",""confidence"":0.6237801551818848}],""entities"":[{""location"":[9,15],""value"":""Female"",""entity"":""Gender"",""confidence"":1}],""alternate_intents"":false},""text"":""Although it's pretty rare, women can ejaculate too (also called squirting). The liquid comes from the urethra and is usually a white color. People aren't really sure why some women ejaculate and others don't - either way, don't worry about it!"",""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""intent"":{""name"":""def_female.ejaculation"",""inputs"":[{""name"":""Gender"",""value"":""Female""}]}}","def_female.ejaculation",false
"2020-01-04T12:47:35.132Z","How come having sex feels good ","{""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""text"":""How come having sex feels good ""}",,true
"2020-01-04T12:47:35.356Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""f5503497-cc5e-4dac-b17d-c8392ce59c3e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
