"Date","Text","Message JSON","Intent","Incoming"
"2020-01-05T17:23:10.138Z",,"{""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0""}",,true
"2020-01-05T17:23:10.137Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fb07d786-4dad-43b6-b88b-2db189cba0b0""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""13cec9ae-f97c-4775-a52d-0f6a346695bf""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-05T17:23:28.032Z","is discharge normal?","{""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""text"":""is discharge normal?""}",,true
"2020-01-05T17:23:28.016Z","Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ""},{""response_type"":""text"",""text"":""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_9_1535391946104"",""node_12_1541457248941"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. "",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fb07d786-4dad-43b6-b88b-2db189cba0b0""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_3_1544835959501"":{""1"":[0,0,4,2,1,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""13cec9ae-f97c-4775-a52d-0f6a346695bf""},""input"":{""text"":""is discharge normal?""},""intents"":[{""intent"":""Vagina.liquid"",""confidence"":1}],""alternate_intents"":false},""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""intent"":{""name"":""Vagina.liquid""}}","Vagina.liquid",false
"2020-01-05T17:24:03.895Z","is masturbation normal?","{""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""text"":""is masturbation normal?""}",,true
"2020-01-05T17:24:03.909Z","You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""}],""nodes_visited"":[""node_2_1556809489992""],""text"":[""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fb07d786-4dad-43b6-b88b-2db189cba0b0""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,0,4,2,1,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""13cec9ae-f97c-4775-a52d-0f6a346695bf""},""input"":{""text"":""is masturbation normal?""},""intents"":[{""intent"":""Masturbation"",""confidence"":0.915921401977539}],""alternate_intents"":false},""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable."",""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""intent"":{""name"":""Masturbation""}}","Masturbation",false
"2020-01-05T17:24:28.001Z","how do you shave?","{""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""text"":""how do you shave?""}",,true
"2020-01-05T17:24:28.404Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-05T17:24:28.000Z","I’m great! No complaints over here. But, I really want to know how YOU’RE doing? Have any questions about birth control? You can ask me anything. I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I’m great! No complaints over here. But, I really want to know how YOU’RE doing? Have any questions about birth control? You can ask me anything. I got you!""}],""nodes_visited"":[""node_12_1537828800326"",""node_8_1541090633284""],""text"":[""I’m great! No complaints over here. But, I really want to know how YOU’RE doing? Have any questions about birth control? You can ask me anything. I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fb07d786-4dad-43b6-b88b-2db189cba0b0""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,0,4,2,1,3]},""node_8_1541090633284"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""13cec9ae-f97c-4775-a52d-0f6a346695bf""},""input"":{""text"":""how do you shave?""},""intents"":[{""intent"":""How.Are.You"",""confidence"":0.32465399503707887}],""alternate_intents"":false},""text"":""I’m great! No complaints over here. But, I really want to know how YOU’RE doing? Have any questions about birth control? You can ask me anything. I got you!"",""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""intent"":{""name"":""How.Are.You""}}","How.Are.You",false
"2020-01-05T17:24:28.392Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fb07d786-4dad-43b6-b88b-2db189cba0b0""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,0,4,2,1,3]},""node_8_1541090633284"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""13cec9ae-f97c-4775-a52d-0f6a346695bf""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""fb07d786-4dad-43b6-b88b-2db189cba0b0"",""intent"":{""name"":""unknown""}}","unknown",false
