"Date","Text","Message JSON","Intent","Incoming"
"2020-01-03T05:26:26.255Z",,"{""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45""}",,true
"2020-01-03T05:26:26.254Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fe395b77-5dc0-4fa9-8b71-673256b31b45""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56996176-678c-41fb-a38a-dd8827da2054""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-03T05:26:56.909Z","i’ve been trying to get pregnant for like 5 months now nothing seems to happen","{""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""text"":""i’ve been trying to get pregnant for like 5 months now nothing seems to happen""}",,true
"2020-01-03T05:26:56.893Z","If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_29_1534798514492"",""node_63_1542678184080"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use."",""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fe395b77-5dc0-4fa9-8b71-673256b31b45""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,6,2,3,0,1,4,5]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56996176-678c-41fb-a38a-dd8827da2054""},""input"":{""text"":""i’ve been trying to get pregnant for like 5 months now nothing seems to happen""},""intents"":[{""intent"":""BC.alternatives"",""confidence"":0.5351920127868652}],""entities"":[{""location"":[24,32],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[42,43],""metadata"":{""numeric_value"":5},""value"":""5"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use."",""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""intent"":{""name"":""BC.alternatives"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""sys-number"",""value"":""5""}]}}","BC.alternatives",false
"2020-01-03T05:27:33.190Z","i’ve been trying to get pregnant for the past 5 months nothing seems to happen ","{""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""text"":""i’ve been trying to get pregnant for the past 5 months nothing seems to happen ""}",,true
"2020-01-03T05:27:33.190Z","If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""}],""nodes_visited"":[""node_29_1534798514492"",""node_63_1542678184080"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use."",""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fe395b77-5dc0-4fa9-8b71-673256b31b45""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[1,6,2,3,0,1,4,5]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56996176-678c-41fb-a38a-dd8827da2054""},""input"":{""text"":""i’ve been trying to get pregnant for the past 5 months nothing seems to happen ""},""intents"":[{""intent"":""BC.alternatives"",""confidence"":0.5893407106399536}],""entities"":[{""location"":[24,32],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[46,47],""metadata"":{""numeric_value"":5},""value"":""5"",""entity"":""sys-number"",""confidence"":1}],""alternate_intents"":false},""text"":""If you don’t want to get pregnant, your only option is to use some type of birth control. I’m just keeping it real. The good news is there are so many different kinds of birth control, you can definitely find one that will work best for you and is easy to use."",""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""intent"":{""name"":""BC.alternatives"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""sys-number"",""value"":""5""}]}}","BC.alternatives",false
"2020-01-03T05:27:46.371Z","i want to get pregnant ","{""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""text"":""i want to get pregnant ""}",,true
"2020-01-03T05:27:46.575Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-03T05:27:46.356Z","So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=""_blank"" href=""https://www.prjktruby.com/"">Prjkt Ruby</a>, <a target=""_blank"" href=""https://thepillclub.com/main/"">The Pill Club</a>, <a target=""_blank"" href=""https://app.nurx.com/oc/category/"">Nurx</a>, and <a target=""_blank"" href=""https://www.vagisil.com/products/preventeza-emergency-contraceptive/"">Vagisil</a>.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>.""},{""typing"":true,""response_type"":""pause"",""time"":2300},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for your nearest doctor or clinic where you can get the patch.</a>""},{""response_type"":""text"",""text"":""Or type another question.""}],""nodes_visited"":[""node_25_1535397381897"",""node_6_1542137183528""],""text"":[""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""<a href=\""/#birth-control-finder\"">Tap here to scroll to the Clinic Map for your nearest doctor or clinic where you can get the patch.</a>"",""Or type another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fe395b77-5dc0-4fa9-8b71-673256b31b45""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_1_1544810991157"":{""1"":[1,6,2,3,0,1,4,5]},""node_6_1542137183528"":{""0"":[0],""2"":[0],""3"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56996176-678c-41fb-a38a-dd8827da2054""},""input"":{""text"":""i want to get pregnant ""},""intents"":[{""intent"":""Patch.prescription"",""confidence"":0.3692568421363831}],""entities"":[{""location"":[14,22],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""So, you need a prescription to get the patch BUT, you might be able to get it online too. All you need to do is answer a few questions and maybe meet with a doctor online. Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""intent"":{""name"":""Patch.prescription"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Patch.prescription",false
"2020-01-03T05:27:46.588Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""fe395b77-5dc0-4fa9-8b71-673256b31b45""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_63_1542678184080"":{""0"":[0]},""node_1_1544810991157"":{""1"":[1,6,2,3,0,1,4,5]},""node_6_1542137183528"":{""0"":[0],""2"":[0],""3"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""56996176-678c-41fb-a38a-dd8827da2054""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""fe395b77-5dc0-4fa9-8b71-673256b31b45"",""intent"":{""name"":""unknown""}}","unknown",false
