"Date","Text","Message JSON","Intent","Incoming"
"2020-01-30T04:49:40.006Z",,"{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""}",,true
"2020-01-30T04:49:40.020Z","My bad, I didn't catch that. Try asking it again in another way please.","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""My bad, I didn't catch that. Try asking it again in another way please.""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""My bad, I didn't catch that. Try asking it again in another way please.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_4_1542239687238"":{""0"":[0,0]},""node_2_1540920316188"":{""0"":[1,1,5,4,0,2,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""dc2e6c45-d16c-4558-b067-ff57a5c2321e""},""alternate_intents"":false},""text"":""My bad, I didn't catch that. Try asking it again in another way please.""}",,false
"2020-01-30T04:50:00.932Z","How can I use this system","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""text"":""How can I use this system""}",,true
"2020-01-30T04:50:00.917Z","I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?"" And even, ""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?"" or ""Where can I get tested?” Nothing’s off limits here!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!""}],""nodes_visited"":[""node_4_1539814092282"",""node_4_1541090288675""],""text"":[""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1540920316188"":{""0"":[1,1,5,4,0,2,3]},""node_4_1542239687238"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""dc2e6c45-d16c-4558-b067-ff57a5c2321e""},""input"":{""text"":""How can I use this system""},""intents"":[{""intent"":""Welcome.FU"",""confidence"":1}],""alternate_intents"":false},""text"":""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!"",""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""intent"":{""name"":""Welcome.FU""}}","Welcome.FU",false
"2020-01-30T04:50:09.376Z","How can I use this system","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""text"":""How can I use this system""}",,true
"2020-01-30T04:50:09.360Z","I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?"" And even, ""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?"" or ""Where can I get tested?” Nothing’s off limits here!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!""}],""nodes_visited"":[""node_4_1539814092282"",""node_4_1541090288675""],""text"":[""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1540920316188"":{""0"":[1,1,5,4,0,2,3]},""node_4_1542239687238"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""dc2e6c45-d16c-4558-b067-ff57a5c2321e""},""input"":{""text"":""How can I use this system""},""intents"":[{""intent"":""Welcome.FU"",""confidence"":1}],""alternate_intents"":false},""text"":""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!"",""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""intent"":{""name"":""Welcome.FU""}}","Welcome.FU",false
"2020-01-30T04:50:43.693Z",,"{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""}",,true
"2020-01-30T04:50:43.694Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ad25ce3e-34fd-48ea-9fea-d7ca2332f280""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-30T04:51:13.677Z","How can I use this system","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""text"":""How can I use this system""}",,true
"2020-01-30T04:51:13.664Z","I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?"" And even, ""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?"" or ""Where can I get tested?” Nothing’s off limits here!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!""}],""nodes_visited"":[""node_4_1539814092282"",""node_4_1541090288675""],""text"":[""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ad25ce3e-34fd-48ea-9fea-d7ca2332f280""},""input"":{""text"":""How can I use this system""},""intents"":[{""intent"":""Welcome.FU"",""confidence"":1}],""alternate_intents"":false},""text"":""I know it’s kind of uncomfortable asking questions like this, especially on the spot. What’s been on your mind? Looking for birth control? You can ask me, “Where can I get birth control? How much does it cost?\"" And even, \""How do I talk to a doctor about it?” Heard something crazy about STDs? Ask me, “How do I prevent STDs?\"" or \""Where can I get tested?” Nothing’s off limits here!"",""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""intent"":{""name"":""Welcome.FU""}}","Welcome.FU",false
"2020-01-30T04:51:30.137Z","testing","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""text"":""testing""}",,true
"2020-01-30T04:51:30.153Z","STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! ""},{""response_type"":""text"",""text"":""Check out <a target=\""_blank\"" href=\""http://acrhealth.org/testing/sexually-transmitted-infections\"">ACR Health</a>, <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> to get free or cheap STD testing and treatment.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Finder for a doctor or clinic that does STD testing.</a>""}],""nodes_visited"":[""node_15_1535742617325"",""node_14_1541541518737"",""node_3_1539898287949"",""node_3_1544736891698""],""text"":[""STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! "",""Check out <a target=\""_blank\"" href=\""http://acrhealth.org/testing/sexually-transmitted-infections\"">ACR Health</a>, <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> to get free or cheap STD testing and treatment."",""<a href=\""/#birth-control-finder\"">Tap here to go to the Clinic Finder for a doctor or clinic that does STD testing.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_3_1544736891698"":{""1"":[0,2,4,1,3,0,5]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ad25ce3e-34fd-48ea-9fea-d7ca2332f280""},""input"":{""text"":""testing""},""intents"":[{""intent"":""STDs.testing.info"",""confidence"":0.7132602214813233}],""alternate_intents"":false},""text"":""STD tests are over 99% accurate and they’re really quick and easy to get done. Usually it involves peeing in a cup, a finger prick, or a vagina swab - and it doesn’t take longer than a few minutes. It’s also super easy to find a place to get tested. If you're worried about it - just get tested ASAP. It's worth it to know! "",""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""intent"":{""name"":""STDs.testing.info""}}","STDs.testing.info",false
"2020-01-30T04:51:56.564Z","this is a question","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""text"":""this is a question""}",,true
"2020-01-30T04:51:56.563Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""51cc212c-21cb-4319-97fe-eaad6bd6b729""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_8_1541456654510"":{""0"":[0]},""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_3_1544736891698"":{""1"":[0,2,4,1,3,0,5]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ad25ce3e-34fd-48ea-9fea-d7ca2332f280""},""input"":{""text"":""this is a question""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.9683505535125734}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""intent"":{""name"":""What.To.Ask.Bot""}}","What.To.Ask.Bot",false
"2020-01-30T04:52:08.776Z","testing","{""userId"":""51cc212c-21cb-4319-97fe-eaad6bd6b729"",""text"":""testing""}",,true
