"Date","Text","Message JSON","Intent","Incoming"
"2020-01-30T03:59:54.098Z","i always dry out when having sex, any suggestions","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""i always dry out when having sex, any suggestions""}",,true
"2020-01-30T03:59:54.100Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":62,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":62,""_node_output_map"":{""node_32_1542229462285"":{""0"":[0],""3"":[0]},""node_2_1541808028080"":{""0"":[0],""3"":[0]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_22_1541092408596"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[1,3,0,1,4,2,5]},""node_3_1576093182536"":{""0"":[0]},""node_37_1542675207715"":{""0"":[0]},""node_6_1541714582642"":{""0"":[0,0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_10_1543966161831"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_14_1542665063704"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_1_1556808503426"":{""0"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[0,5,6,0,3,2,4,1]},""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_46_1534987045282"":{""0"":[0]},""node_4_1542402739768"":{""0"":[0],""1"":[0]},""node_2_1541455925407"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_36_1542230712146"":{""0"":[0],""1"":[0],""4"":[0]},""node_45_1542676897655"":{""0"":[0]},""node_8_1542664535198"":{""0"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_2_1542402630289"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[4,1,3,4,2,0]},""node_20_1541720014289"":{""0"":[0],""1"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_40_1535588639586"":{""0"":[0]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""i always dry out when having sex, any suggestions""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.9665740489959718}],""entities"":[{""location"":[29,32],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-01-30T04:01:51.371Z","how do you use brith control","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""how do you use brith control""}",,true
"2020-01-30T04:01:51.371Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":63,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":63,""_node_output_map"":{""node_32_1542229462285"":{""0"":[0],""3"":[0]},""node_2_1541808028080"":{""0"":[0],""3"":[0]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_22_1541092408596"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[1,3,0,1,4,2,5]},""node_3_1576093182536"":{""0"":[0]},""node_37_1542675207715"":{""0"":[0]},""node_6_1541714582642"":{""0"":[0,0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_10_1543966161831"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_14_1542665063704"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_1_1556808503426"":{""0"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[1,5,6,0,3,2,4,1]},""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_46_1534987045282"":{""0"":[0]},""node_4_1542402739768"":{""0"":[0],""1"":[0]},""node_2_1541455925407"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_36_1542230712146"":{""0"":[0],""1"":[0],""4"":[0]},""node_45_1542676897655"":{""0"":[0]},""node_8_1542664535198"":{""0"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_2_1542402630289"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[4,1,3,4,2,0]},""node_20_1541720014289"":{""0"":[0],""1"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_40_1535588639586"":{""0"":[0]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""how do you use brith control""},""intents"":[{""intent"":""BC.types"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""BC.types""}}","BC.types",false
"2020-01-30T04:03:55.616Z","does birth control make my skin clear","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""does birth control make my skin clear""}",,true
"2020-01-30T04:03:55.617Z","It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl.""},{""response_type"":""text"",""text"":""But, most side effects aren’t a big deal and some are even good! Some birth control can help with cramps, acne, and even get your period on track. No more surprises! 🙏🏽""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""response_type"":""text"",""text"":""If you don't like how it makes you feel, talk to a doctor or <a href=\""/#birth-control-types\"">tap here to scroll to the different types of birth control.</a> ""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_13_1534874681719"",""node_18_1542665437557""],""text"":[""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl."",""But, most side effects aren’t a big deal and some are even good! Some birth control can help with cramps, acne, and even get your period on track. No more surprises! 🙏🏽"",""If you don't like how it makes you feel, talk to a doctor or <a href=\""/#birth-control-types\"">tap here to scroll to the different types of birth control.</a> "",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":64,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":64,""_node_output_map"":{""node_32_1542229462285"":{""0"":[0],""3"":[0]},""node_2_1541808028080"":{""0"":[0],""3"":[0]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_22_1541092408596"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[1,3,0,1,4,2,5]},""node_3_1576093182536"":{""0"":[0]},""node_37_1542675207715"":{""0"":[0]},""node_6_1541714582642"":{""0"":[0,0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_10_1543966161831"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_14_1542665063704"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_1_1556808503426"":{""0"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[1,5,6,0,3,2,4,1]},""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_46_1534987045282"":{""0"":[0]},""node_4_1542402739768"":{""0"":[0],""1"":[0]},""node_2_1541455925407"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_36_1542230712146"":{""0"":[0],""1"":[0],""4"":[0]},""node_45_1542676897655"":{""0"":[0]},""node_8_1542664535198"":{""0"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_2_1542402630289"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[4,1,3,4,2,0]},""node_20_1541720014289"":{""0"":[0],""1"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_40_1535588639586"":{""0"":[0]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542665437557"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""does birth control make my skin clear""},""intents"":[{""intent"":""BC.side.effects"",""confidence"":0.9452036857604982}],""entities"":[{""location"":[5,18],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl."",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""BC.side.effects"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.side.effects",false
"2020-01-30T04:07:05.154Z","does birth control make my skin clear","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""does birth control make my skin clear""}",,true
"2020-01-30T04:07:05.154Z","It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl.""},{""response_type"":""text"",""text"":""But, most side effects aren’t a big deal and some are even good! Some birth control can help with cramps, acne, and even get your period on track. No more surprises! 🙏🏽""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""response_type"":""text"",""text"":""If you don't like how it makes you feel, talk to a doctor or <a href=\""/#birth-control-types\"">tap here to scroll to the different types of birth control.</a> ""},{""response_type"":""text"",""text"":""Or ask me another question.""}],""nodes_visited"":[""node_13_1534874681719"",""node_18_1542665437557""],""text"":[""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl."",""But, most side effects aren’t a big deal and some are even good! Some birth control can help with cramps, acne, and even get your period on track. No more surprises! 🙏🏽"",""If you don't like how it makes you feel, talk to a doctor or <a href=\""/#birth-control-types\"">tap here to scroll to the different types of birth control.</a> "",""Or ask me another question.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":65,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":65,""_node_output_map"":{""node_32_1542229462285"":{""0"":[0],""3"":[0]},""node_2_1541808028080"":{""0"":[0],""3"":[0]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_22_1541092408596"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[1,3,0,1,4,2,5]},""node_3_1576093182536"":{""0"":[0]},""node_37_1542675207715"":{""0"":[0]},""node_6_1541714582642"":{""0"":[0,0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_10_1543966161831"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_14_1542665063704"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_1_1556808503426"":{""0"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[1,5,6,0,3,2,4,1]},""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_46_1534987045282"":{""0"":[0]},""node_4_1542402739768"":{""0"":[0],""1"":[0]},""node_2_1541455925407"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_36_1542230712146"":{""0"":[0],""1"":[0],""4"":[0]},""node_45_1542676897655"":{""0"":[0]},""node_8_1542664535198"":{""0"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_2_1542402630289"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[4,1,3,4,2,0]},""node_20_1541720014289"":{""0"":[0],""1"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_40_1535588639586"":{""0"":[0]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542665437557"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""does birth control make my skin clear""},""intents"":[{""intent"":""BC.side.effects"",""confidence"":0.9452036857604982}],""entities"":[{""location"":[5,18],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""It’s hard to say how birth control might affect you because everyone is different. One girl might not have any side effects, another might deal with some spotting, headaches or nausea. It really depends on the girl."",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""BC.side.effects"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.side.effects",false
"2020-01-30T04:07:23.749Z","does birth control harm you","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""does birth control harm you""}",,true
"2020-01-30T04:07:23.734Z","There are tons of great things about birth control - it helps you take control of your life and lets you decide when you're ready to have a baby. Birth control can also help to prevent zits, and can regulate your period. On the other hand, women's bodies are all different so we all have different reactions to birth control. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""There are tons of great things about birth control - it helps you take control of your life and lets you decide when you're ready to have a baby. Birth control can also help to prevent zits, and can regulate your period. On the other hand, women's bodies are all different so we all have different reactions to birth control. ""},{""response_type"":""text"",""text"":""What works for one person might not work for another. Some women might have bad cramping, headaches, or spotting between periods. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""}],""nodes_visited"":[""node_1_1539968386483"",""node_60_1543881679372"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""There are tons of great things about birth control - it helps you take control of your life and lets you decide when you're ready to have a baby. Birth control can also help to prevent zits, and can regulate your period. On the other hand, women's bodies are all different so we all have different reactions to birth control. "",""What works for one person might not work for another. Some women might have bad cramping, headaches, or spotting between periods. "",""<a href=\""/#birth-control-types\"">Tap here to scroll to the different types of birth control.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":66,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":66,""_node_output_map"":{""node_32_1542229462285"":{""0"":[0],""3"":[0]},""node_2_1541808028080"":{""0"":[0],""3"":[0]},""node_16_1542670429383"":{""0"":[0],""1"":[0]},""node_22_1541092408596"":{""0"":[0],""1"":[0]},""node_3_1544736891698"":{""1"":[1,3,0,1,4,2,5]},""node_3_1576093182536"":{""0"":[0]},""node_37_1542675207715"":{""0"":[0]},""node_6_1541714582642"":{""0"":[0,0]},""node_17_1541716012364"":{""0"":[0,0]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_10_1543966161831"":{""0"":[0],""3"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_14_1542665063704"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1542239687238"":{""0"":[0,0]},""node_1_1556808503426"":{""0"":[0]},""node_18_1542139700171"":{""0"":[0],""1"":[0]},""node_11_1541715692703"":{""0"":[0],""1"":[0],""2"":[0]},""node_1_1544810991157"":{""1"":[2,5,6,0,3,2,4,1]},""node_14_1541541518737"":{""0"":[0],""1"":[0]},""node_18_1541457813612"":{""0"":[0],""1"":[0]},""node_46_1534987045282"":{""0"":[0]},""node_4_1542402739768"":{""0"":[0],""1"":[0]},""node_2_1541455925407"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1543970916012"":{""0"":[0]},""node_36_1542230712146"":{""0"":[0],""1"":[0],""4"":[0]},""node_45_1542676897655"":{""0"":[0]},""node_8_1542664535198"":{""0"":[0]},""node_5_1578599620873"":{""0"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]},""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_2_1542215724144"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_2_1542402630289"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[4,1,3,4,2,0]},""node_20_1541720014289"":{""0"":[0],""1"":[0]},""node_8_1542402954441"":{""0"":[0],""1"":[0]},""node_40_1535588639586"":{""0"":[0]},""node_60_1543881679372"":{""0"":[0],""1"":[0]},""node_2_1541616825745"":{""0"":[0],""1"":[0],""4"":[0]},""node_26_1541630799961"":{""0"":[0],""1"":[0],""4"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_18_1542665437557"":{""0"":[0],""1"":[0],""3"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""does birth control harm you""},""intents"":[{""intent"":""BC.pros.and.cons"",""confidence"":0.9127985954284668}],""entities"":[{""location"":[5,18],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""There are tons of great things about birth control - it helps you take control of your life and lets you decide when you're ready to have a baby. Birth control can also help to prevent zits, and can regulate your period. On the other hand, women's bodies are all different so we all have different reactions to birth control. "",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""BC.pros.and.cons"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.pros.and.cons",false
