"Date","Text","Message JSON","Intent","Incoming"
"2020-01-30T01:43:46.284Z",,"{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""}",,true
"2020-01-30T01:43:46.284Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2020-01-30T01:44:23.931Z","period cramps","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""period cramps""}",,true
"2020-01-30T01:44:23.946Z","If you suffer from intense period cramps or pain, some kinds of birth control can really help you out. You’ll want to use a hormonal birth control like the pill, ring, shot, patch, implant, or the hormonal IUD. These are known to help reduce cramps and help your period get on track. If your periods are really painful or you are throwing up, definitely talk to a doctor.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you suffer from intense period cramps or pain, some kinds of birth control can really help you out. You’ll want to use a hormonal birth control like the pill, ring, shot, patch, implant, or the hormonal IUD. These are known to help reduce cramps and help your period get on track. If your periods are really painful or you are throwing up, definitely talk to a doctor.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""}],""nodes_visited"":[""node_46_1534805522177"",""node_37_1542675207715"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""If you suffer from intense period cramps or pain, some kinds of birth control can really help you out. You’ll want to use a hormonal birth control like the pill, ring, shot, patch, implant, or the hormonal IUD. These are known to help reduce cramps and help your period get on track. If your periods are really painful or you are throwing up, definitely talk to a doctor."",""<a href=\""/#birth-control-types\"">Tap here to go to a list of birth control options.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,4,6,2,1,5,0,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""period cramps""},""intents"":[{""intent"":""BC.for.cramps"",""confidence"":0.9856382846832277}],""entities"":[{""location"":[0,6],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""If you suffer from intense period cramps or pain, some kinds of birth control can really help you out. You’ll want to use a hormonal birth control like the pill, ring, shot, patch, implant, or the hormonal IUD. These are known to help reduce cramps and help your period get on track. If your periods are really painful or you are throwing up, definitely talk to a doctor."",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""BC.for.cramps"",""inputs"":[{""name"":""Period"",""value"":""period""}]}}","BC.for.cramps",false
"2020-01-30T01:44:38.740Z","oral sex std","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""oral sex std""}",,true
"2020-01-30T01:44:38.723Z","While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. ""},{""response_type"":""text"",""text"":""It’s the only way to protect yourself from getting a STD. And I mean hey, they do have some cool flavors available so it’s not all bad 😉.""}],""nodes_visited"":[""node_23_1535658568329"",""node_12_1541550307564""],""text"":[""While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. "",""It’s the only way to protect yourself from getting a STD. And I mean hey, they do have some cool flavors available so it’s not all bad 😉.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,4,6,2,1,5,0,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""oral sex std""},""intents"":[{""intent"":""STDs.oral.sex"",""confidence"":0.8578199863433837}],""entities"":[{""location"":[0,8],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1},{""location"":[9,12],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""While you can’t get pregnant from oral sex, you can definitely still get an STD. Wild right? I know it sounds crazy to think but, if you’re going down on your guy and you're worried about STDs, you should still be using a condom. "",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""STDs.oral.sex"",""inputs"":[{""name"":""Sex"",""value"":""Oral Sex""},{""name"":""STD"",""value"":""STD""}]}}","STDs.oral.sex",false
"2020-01-30T01:45:40.205Z","efficacy birth control","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""efficacy birth control""}",,true
"2020-01-30T01:45:40.571Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-01-30T01:45:40.205Z","Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. ""},{""response_type"":""text"",""text"":""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself).""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""}],""nodes_visited"":[""node_16_1534790514779"",""node_18_1541092071873"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""What works for your best friend, might not be the best choice for you so it’s really important to know about your options and have a heart to heart with your doctor (and yourself)."",""<a href=\""/#birth-control-types\"">Want more information on the different types of birth control? Tap here to go to a list of birth control types.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_37_1542675207715"":{""0"":[0]},""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[1,4,6,2,1,5,0,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""efficacy birth control""},""intents"":[{""intent"":""BC.types"",""confidence"":0.3604767322540283}],""entities"":[{""location"":[9,22],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Choosing the best birth control is a really personal decision. There are 18 different types to choose from and they each work differently. You have to use a condom every time you have sex, take the pill daily, get a new patch every week, change the ring every month, and the IUD or implant can last for years. "",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""BC.types"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.types",false
"2020-01-30T01:45:40.555Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_12_1541550307564"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_37_1542675207715"":{""0"":[0]},""node_1_1544810991157"":{""1"":[1,4,6,2,1,5,0,3]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_18_1541092071873"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""ef38eca6-b339-4c91-84d6-56e3af388741""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""52a2d455-0e8a-4968-8bcf-92b288e9ae1e"",""intent"":{""name"":""unknown""}}","unknown",false
