"Date","Text","Message JSON","Intent","Incoming"
"2020-02-14T13:33:56.344Z","Okay can birth control make u gain weight","{""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""text"":""Okay can birth control make u gain weight""}",,true
"2020-02-14T13:33:56.344Z","<iframe src=""https://giphy.com/embed/RvvlyEwofUCSA"" width=""100%"" height=""480"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen></iframe><p><a href=""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA"">via GIPHY</a></p>","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>""},{""response_type"":""text"",""text"":""So you might be nervous about gaining weight on birth control, but let me tell you right now: besides the shot, most birth control has no effect on your weight at all. So why do so many people think this? Well, most of us will start birth control in our teens and early 20’s which is exactly the time we start to gain weight anyway.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""}],""nodes_visited"":[""node_11_1534540737778"",""node_2_1542645165611"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>"",""So you might be nervous about gaining weight on birth control, but let me tell you right now: besides the shot, most birth control has no effect on your weight at all. So why do so many people think this? Well, most of us will start birth control in our teens and early 20’s which is exactly the time we start to gain weight anyway."",""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,5,6,2,4,0,3]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""eabe8c7e-946c-44b2-83e7-1a545a0d2621""},""input"":{""text"":""Okay can birth control make u gain weight""},""intents"":[{""intent"":""BC.weight"",""confidence"":0.9864661216735839}],""entities"":[{""location"":[9,22],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>"",""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""intent"":{""name"":""BC.weight"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""}]}}","BC.weight",false
"2020-02-14T13:34:50.941Z","I’m having 2 kids in the future will they have stds","{""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""text"":""I’m having 2 kids in the future will they have stds""}",,true
"2020-02-14T13:34:50.925Z","If you’re having sex, you can get an STD. And sadly, they’re pretty common. Like half of us will get an STD by the time we’re 25 😩.  ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""If you’re having sex, you can get an STD. And sadly, they’re pretty common. Like half of us will get an STD by the time we’re 25 😩.  ""},{""response_type"":""text"",""text"":""And while many STDs can be cleared up with medicine, some stick with you for life. That’s why it’s SO important to use condoms and get STD tested regularly if you’re having sex.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-finder\"">For more info on doctors or clinics that do STD testing near you, tap here to go the Clinic Finder.</a>""}],""nodes_visited"":[""node_24_1535659533154"",""node_6_1541617049713"",""node_3_1539898287949"",""node_3_1544736891698""],""text"":[""If you’re having sex, you can get an STD. And sadly, they’re pretty common. Like half of us will get an STD by the time we’re 25 😩.  "",""And while many STDs can be cleared up with medicine, some stick with you for life. That’s why it’s SO important to use condoms and get STD tested regularly if you’re having sex."",""<a href=\""/#birth-control-finder\"">For more info on doctors or clinics that do STD testing near you, tap here to go the Clinic Finder.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_6_1541617049713"":{""0"":[0],""1"":[0]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,5,6,2,4,0,3]},""node_3_1544736891698"":{""1"":[0,3,1,0,5,4,2]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""eabe8c7e-946c-44b2-83e7-1a545a0d2621""},""input"":{""text"":""I’m having 2 kids in the future will they have stds""},""intents"":[{""intent"":""STDs.how.common"",""confidence"":0.34801884889602663}],""entities"":[{""location"":[11,12],""metadata"":{""numeric_value"":2},""value"":""2"",""entity"":""sys-number"",""confidence"":1},{""location"":[47,51],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""If you’re having sex, you can get an STD. And sadly, they’re pretty common. Like half of us will get an STD by the time we’re 25 😩.  "",""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""intent"":{""name"":""STDs.how.common"",""inputs"":[{""name"":""sys-number"",""value"":""2""},{""name"":""STD"",""value"":""STD""}]}}","STDs.how.common",false
"2020-02-14T13:34:51.267Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-14T13:34:51.281Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_6_1541617049713"":{""0"":[0],""1"":[0]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,5,6,2,4,0,3]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544736891698"":{""1"":[0,3,1,0,5,4,2]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""eabe8c7e-946c-44b2-83e7-1a545a0d2621""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-02-14T13:35:11.700Z","Will my kids have stds in the future ","{""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""text"":""Will my kids have stds in the future ""}",,true
"2020-02-14T13:35:11.955Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-14T13:35:11.700Z","You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. ""},{""response_type"":""text"",""text"":""Get tested and get treated if you have an STD to protect yourself and your future.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How to get an STD test?""}},""label"":""Tap here to find out how easy it is to get an STD test.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or - ask me more questions! ""}],""nodes_visited"":[""node_12_1535740295771"",""node_10_1541623561261""],""text"":[""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. "",""Get tested and get treated if you have an STD to protect yourself and your future."",""Or - ask me more questions! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544736891698"":{""1"":[0,3,1,0,5,4,2]},""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_6_1541617049713"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,5,6,2,4,0,3]},""node_10_1541623561261"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""eabe8c7e-946c-44b2-83e7-1a545a0d2621""},""input"":{""text"":""Will my kids have stds in the future ""},""intents"":[{""intent"":""STDs.and.fertility"",""confidence"":0.3394394397735596}],""entities"":[{""location"":[18,22],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. "",""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""intent"":{""name"":""STDs.and.fertility"",""inputs"":[{""name"":""STD"",""value"":""STD""}]}}","STDs.and.fertility",false
"2020-02-14T13:35:11.943Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544736891698"":{""1"":[0,3,1,0,5,4,2]},""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_6_1541617049713"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,1,5,6,2,4,0,3]},""node_10_1541623561261"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""eabe8c7e-946c-44b2-83e7-1a545a0d2621""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""1231b5b2-5fd9-4dd1-9bde-1ee677273e1e"",""intent"":{""name"":""unknown""}}","unknown",false
