"Date","Text","Message JSON","Intent","Incoming"
"2020-02-15T01:16:37.941Z","Stop saying that","{""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""text"":""Stop saying that""}",,true
"2020-02-15T01:16:37.930Z","Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!""}],""nodes_visited"":[""node_5_1536088948348"",""node_2_1542242583374""],""text"":[""Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""15cc7e47-83df-46b7-b3e2-14a65cccee69""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_2_1542242583374"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8533177a-5059-45cf-b72c-f0c1a643390e""},""input"":{""text"":""Stop saying that""},""intents"":[{""intent"":""Doubt"",""confidence"":0.5326317310333253}],""alternate_intents"":false},""text"":""Girl, I’m so serious. Trust me, I get my info straight from the source. Ask me something else if you want more details!"",""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""intent"":{""name"":""Doubt""}}","Doubt",false
"2020-02-15T01:16:54.568Z","Are u a human","{""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""text"":""Are u a human""}",,true
"2020-02-15T01:16:54.567Z","Technically, I’m just a chatbot so I can’t really feel but, I’m still here for you girl. Have any questions about birth control? I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Technically, I’m just a chatbot so I can’t really feel but, I’m still here for you girl. Have any questions about birth control? I got you!""}],""nodes_visited"":[""node_1_1538680529965"",""node_8_1542306437939""],""text"":[""Technically, I’m just a chatbot so I can’t really feel but, I’m still here for you girl. Have any questions about birth control? I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""15cc7e47-83df-46b7-b3e2-14a65cccee69""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_2_1542242583374"":{""0"":[0,0]},""node_8_1542306437939"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8533177a-5059-45cf-b72c-f0c1a643390e""},""input"":{""text"":""Are u a human""},""intents"":[{""intent"":""Do.You.Feel"",""confidence"":0.9332364082336426}],""alternate_intents"":false},""text"":""Technically, I’m just a chatbot so I can’t really feel but, I’m still here for you girl. Have any questions about birth control? I got you!"",""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""intent"":{""name"":""Do.You.Feel""}}","Do.You.Feel",false
"2020-02-15T01:17:39.015Z","Is questions about sex the only thing u can talk about ","{""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""text"":""Is questions about sex the only thing u can talk about ""}",,true
"2020-02-15T01:17:39.000Z","You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?"" What questions do you have?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""}],""nodes_visited"":[""node_2_1538498632782"",""node_8_1541456654510""],""text"":[""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""15cc7e47-83df-46b7-b3e2-14a65cccee69""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_2_1542242583374"":{""0"":[0,0]},""node_8_1541456654510"":{""0"":[0]},""node_8_1542306437939"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8533177a-5059-45cf-b72c-f0c1a643390e""},""input"":{""text"":""Is questions about sex the only thing u can talk about ""},""intents"":[{""intent"":""What.To.Ask.Bot"",""confidence"":0.9660932064056398}],""entities"":[{""location"":[19,22],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""You can ask me anything about birth control, sex, and STDs. Like “Where can get birth control?”, “What kind of birth control should I get”, or “What’s the best type of birth control?\"" What questions do you have?"",""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""intent"":{""name"":""What.To.Ask.Bot"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","What.To.Ask.Bot",false
"2020-02-15T01:17:49.583Z","U don't understand ","{""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""text"":""U don't understand ""}",,true
"2020-02-15T01:17:49.599Z","You can get pregnant any time you have sex, no matter what position you’re in, even if you stand up right after you’re finished. Sperm are strong swimmers so trust me, they’ll find their way. This is why you should use birth control, EVERY time.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex, no matter what position you’re in, even if you stand up right after you’re finished. Sperm are strong swimmers so trust me, they’ll find their way. This is why you should use birth control, EVERY time.""}],""nodes_visited"":[""node_28_1535576095174"",""node_2_1541717234181""],""text"":[""You can get pregnant any time you have sex, no matter what position you’re in, even if you stand up right after you’re finished. Sperm are strong swimmers so trust me, they’ll find their way. This is why you should use birth control, EVERY time.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""15cc7e47-83df-46b7-b3e2-14a65cccee69""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_2_1541717234181"":{""0"":[0,0]},""node_2_1542242583374"":{""0"":[0,0]},""node_8_1541456654510"":{""0"":[0]},""node_8_1542306437939"":{""0"":[0,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8533177a-5059-45cf-b72c-f0c1a643390e""},""input"":{""text"":""U don't understand ""},""intents"":[{""intent"":""Preg.avoid.by.standing"",""confidence"":0.32825493812561035}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex, no matter what position you’re in, even if you stand up right after you’re finished. Sperm are strong swimmers so trust me, they’ll find their way. This is why you should use birth control, EVERY time."",""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""intent"":{""name"":""Preg.avoid.by.standing""}}","Preg.avoid.by.standing",false
"2020-02-15T01:17:50.113Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-15T01:17:50.100Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""15cc7e47-83df-46b7-b3e2-14a65cccee69""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_2_1541717234181"":{""0"":[0,0]},""node_2_1542242583374"":{""0"":[0,0]},""node_8_1541456654510"":{""0"":[0]},""node_8_1542306437939"":{""0"":[0,0]},""node_1_1540844990941"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""8533177a-5059-45cf-b72c-f0c1a643390e""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""15cc7e47-83df-46b7-b3e2-14a65cccee69"",""intent"":{""name"":""unknown""}}","unknown",false
