"Date","Text","Message JSON","Intent","Incoming"
"2020-02-14T13:26:46.900Z","If I had sex 7 times can i get pregnant ","{""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""text"":""If I had sex 7 times can i get pregnant ""}",,true
"2020-02-14T13:26:46.886Z","You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ""},{""response_type"":""text"",""text"":""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""}],""nodes_visited"":[""node_2_1534536009510"",""node_4_1541708593861""],""text"":[""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""392198f9-4745-499b-bd38-d2efc3d5f446""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,0,2]},""node_4_1541708593861"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""75c179ad-bf7a-4238-9dd3-60f150185cb2""},""input"":{""text"":""If I had sex 7 times can i get pregnant ""},""intents"":[{""intent"":""Preg.time"",""confidence"":0.6316837787628173}],""entities"":[{""location"":[9,12],""value"":""sex"",""entity"":""Sex"",""confidence"":1},{""location"":[13,14],""metadata"":{""numeric_value"":7},""value"":""7"",""entity"":""sys-number"",""confidence"":1},{""location"":[31,39],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""intent"":{""name"":""Preg.time"",""inputs"":[{""name"":""Sex"",""value"":""sex""},{""name"":""sys-number"",""value"":""7""},{""name"":""Pregnant"",""value"":""pregnant""}]}}","Preg.time",false
"2020-02-14T13:27:39.695Z","Okay but right now I have Chlamydia so I’m getting cured rn i Wanna get on birth control tho but idk yet","{""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""text"":""Okay but right now I have Chlamydia so I’m getting cured rn i Wanna get on birth control tho but idk yet""}",,true
"2020-02-14T13:27:39.679Z","Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge.""},{""response_type"":""text"",""text"":""But, thing about chlamydia is, most people don’t have symptoms at all which sucks because it can be easily treated with antibiotics. If left untreated though, it can cause all types of health problems you do not want. This is why it’s so important to use condoms EVERY TIME you have sex and get tested regularly for STDs. ""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""STD testing info.""}},""label"":""Find out about STD tests here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_21_1535657677094"",""node_43_1542651617039""],""text"":[""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge."",""But, thing about chlamydia is, most people don’t have symptoms at all which sucks because it can be easily treated with antibiotics. If left untreated though, it can cause all types of health problems you do not want. This is why it’s so important to use condoms EVERY TIME you have sex and get tested regularly for STDs. "",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""392198f9-4745-499b-bd38-d2efc3d5f446""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,0,2]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""75c179ad-bf7a-4238-9dd3-60f150185cb2""},""input"":{""text"":""Okay but right now I have Chlamydia so I’m getting cured rn i Wanna get on birth control tho but idk yet""},""intents"":[{""intent"":""def_chlamydia"",""confidence"":0.8849698543548585}],""entities"":[{""location"":[26,35],""value"":""Chlamydia"",""entity"":""STD"",""confidence"":1},{""location"":[75,88],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge."",""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""intent"":{""name"":""def_chlamydia"",""inputs"":[{""name"":""STD"",""value"":""Chlamydia""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","def_chlamydia",false
"2020-02-14T13:28:52.872Z","How long does chlamydia last","{""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""text"":""How long does chlamydia last""}",,true
"2020-02-14T13:28:52.875Z","Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge.""},{""response_type"":""text"",""text"":""But, thing about chlamydia is, most people don’t have symptoms at all which sucks because it can be easily treated with antibiotics. If left untreated though, it can cause all types of health problems you do not want. This is why it’s so important to use condoms EVERY TIME you have sex and get tested regularly for STDs. ""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""STD testing info.""}},""label"":""Find out about STD tests here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_21_1535657677094"",""node_43_1542651617039""],""text"":[""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge."",""But, thing about chlamydia is, most people don’t have symptoms at all which sucks because it can be easily treated with antibiotics. If left untreated though, it can cause all types of health problems you do not want. This is why it’s so important to use condoms EVERY TIME you have sex and get tested regularly for STDs. "",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""392198f9-4745-499b-bd38-d2efc3d5f446""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,0,2]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""75c179ad-bf7a-4238-9dd3-60f150185cb2""},""input"":{""text"":""How long does chlamydia last""},""intents"":[{""intent"":""def_chlamydia"",""confidence"":0.9442193984985352}],""entities"":[{""location"":[14,23],""value"":""Chlamydia"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge."",""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""intent"":{""name"":""def_chlamydia"",""inputs"":[{""name"":""STD"",""value"":""Chlamydia""}]}}","def_chlamydia",false
"2020-02-14T13:29:20.845Z","Can chlamydia be harmfulness ","{""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""text"":""Can chlamydia be harmfulness ""}",,true
"2020-02-14T13:29:20.830Z","Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge.""},{""response_type"":""text"",""text"":""But, thing about chlamydia is, most people don’t have symptoms at all which sucks because it can be easily treated with antibiotics. If left untreated though, it can cause all types of health problems you do not want. This is why it’s so important to use condoms EVERY TIME you have sex and get tested regularly for STDs. ""},{""typing"":true,""response_type"":""pause"",""time"":3100},{""options"":[{""value"":{""input"":{""text"":""STD testing info.""}},""label"":""Find out about STD tests here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_21_1535657677094"",""node_43_1542651617039""],""text"":[""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge."",""But, thing about chlamydia is, most people don’t have symptoms at all which sucks because it can be easily treated with antibiotics. If left untreated though, it can cause all types of health problems you do not want. This is why it’s so important to use condoms EVERY TIME you have sex and get tested regularly for STDs. "",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""392198f9-4745-499b-bd38-d2efc3d5f446""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,0,2]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""75c179ad-bf7a-4238-9dd3-60f150185cb2""},""input"":{""text"":""Can chlamydia be harmfulness ""},""intents"":[{""intent"":""def_chlamydia"",""confidence"":0.9472809791564942}],""entities"":[{""location"":[4,13],""value"":""Chlamydia"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""Chlamydia is an STD that is passed along through sex. That means ALL kinds of sex including anal and oral (so yes, you get it while giving head). Signs of chlamydia are burning while peeing, pain during sex, or yellowish discharge."",""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""intent"":{""name"":""def_chlamydia"",""inputs"":[{""name"":""STD"",""value"":""Chlamydia""}]}}","def_chlamydia",false
"2020-02-14T13:29:41.188Z","Have you had an std","{""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""text"":""Have you had an std""}",,true
"2020-02-14T13:29:41.202Z","You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. ""},{""response_type"":""text"",""text"":""Get tested and get treated if you have an STD to protect yourself and your future.""},{""typing"":true,""response_type"":""pause"",""time"":2200},{""options"":[{""value"":{""input"":{""text"":""How to get an STD test?""}},""label"":""Tap here to find out how easy it is to get an STD test.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or - ask me more questions! ""}],""nodes_visited"":[""node_12_1535740295771"",""node_10_1541623561261""],""text"":[""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. "",""Get tested and get treated if you have an STD to protect yourself and your future."",""Or - ask me more questions! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""392198f9-4745-499b-bd38-d2efc3d5f446""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,0,2]},""node_4_1541708593861"":{""0"":[0],""1"":[0]},""node_43_1542651617039"":{""0"":[0],""1"":[0],""4"":[0]},""node_10_1541623561261"":{""0"":[0],""1"":[0],""4"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""75c179ad-bf7a-4238-9dd3-60f150185cb2""},""input"":{""text"":""Have you had an std""},""intents"":[{""intent"":""STDs.and.fertility"",""confidence"":0.6412063598632813}],""entities"":[{""location"":[16,19],""value"":""STD"",""entity"":""STD"",""confidence"":1}],""alternate_intents"":false},""text"":""You can still get pregnant if you have an STD (or had one in the past) BUT, you have to make sure you get it treated ASAP. Leaving an STD untreated can make it hard for you to get pregnant in the future when you’re ready. And it can cause other health issues. "",""userId"":""392198f9-4745-499b-bd38-d2efc3d5f446"",""intent"":{""name"":""STDs.and.fertility"",""inputs"":[{""name"":""STD"",""value"":""STD""}]}}","STDs.and.fertility",false
