"Date","Text","Message JSON","Intent","Incoming"
"2020-02-19T01:13:23.306Z","How can birth control make my period regulator?","{""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""text"":""How can birth control make my period regulator?""}",,true
"2020-02-19T01:13:23.614Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-19T01:13:23.316Z","Changes in your period are a common side effect of birth control. But it’s usually a good thing! The pill, ring, and patch can get your period on track (no more surprises! 🙏🏽) and can make your period lighter, while others like the hormonal IUD, shot, and implant can stop your period completely. Sounds wild, but it's totally safe. The only birth control that can have a negative effect on your period is the copper IUD. It’s non-hormonal which is good for people who don’t want hormones but, it can make your period heavier. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Changes in your period are a common side effect of birth control. But it’s usually a good thing! The pill, ring, and patch can get your period on track (no more surprises! 🙏🏽) and can make your period lighter, while others like the hormonal IUD, shot, and implant can stop your period completely. Sounds wild, but it's totally safe. The only birth control that can have a negative effect on your period is the copper IUD. It’s non-hormonal which is good for people who don’t want hormones but, it can make your period heavier. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""}],""nodes_visited"":[""node_17_1534791142016"",""node_59_1542678071199"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""Changes in your period are a common side effect of birth control. But it’s usually a good thing! The pill, ring, and patch can get your period on track (no more surprises! 🙏🏽) and can make your period lighter, while others like the hormonal IUD, shot, and implant can stop your period completely. Sounds wild, but it's totally safe. The only birth control that can have a negative effect on your period is the copper IUD. It’s non-hormonal which is good for people who don’t want hormones but, it can make your period heavier. "",""<a href=\""/#birth-control-types\"">Want more info on different birth control options? Tap here to scroll to a list of birth control options.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_59_1542678071199"":{""0"":[0]},""node_1_1544810991157"":{""1"":[0,1,0,4,5,3,2,6]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""05065e37-5c26-4cb2-bcbf-f71aaea99ee2""},""input"":{""text"":""How can birth control make my period regulator?""},""intents"":[{""intent"":""BC.and.period"",""confidence"":0.36607854366302495}],""entities"":[{""location"":[8,21],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1},{""location"":[30,36],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Changes in your period are a common side effect of birth control. But it’s usually a good thing! The pill, ring, and patch can get your period on track (no more surprises! 🙏🏽) and can make your period lighter, while others like the hormonal IUD, shot, and implant can stop your period completely. Sounds wild, but it's totally safe. The only birth control that can have a negative effect on your period is the copper IUD. It’s non-hormonal which is good for people who don’t want hormones but, it can make your period heavier. "",""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""intent"":{""name"":""BC.and.period"",""inputs"":[{""name"":""Birth_Control"",""value"":""birth control""},{""name"":""Period"",""value"":""period""}]}}","BC.and.period",false
"2020-02-19T01:13:23.598Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_1_1544810991157"":{""1"":[0,1,0,4,5,3,2,6]},""node_59_1542678071199"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""05065e37-5c26-4cb2-bcbf-f71aaea99ee2""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-02-19T01:13:44.531Z","Regular period","{""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""text"":""Regular period""}",,true
"2020-02-19T01:13:44.545Z","Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.""}],""nodes_visited"":[""node_40_1534802835198"",""node_14_1542398848612""],""text"":[""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_1_1544810991157"":{""1"":[0,1,0,4,5,3,2,6]},""node_14_1542398848612"":{""0"":[0,0]},""node_59_1542678071199"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""05065e37-5c26-4cb2-bcbf-f71aaea99ee2""},""input"":{""text"":""Regular period""},""intents"":[{""intent"":""def_menstruation"",""confidence"":0.6350672245025635}],""entities"":[{""location"":[8,14],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Menstruation is just a technical way to say period. It’s that time of a month when a woman bleeds for a few days as her body sheds the extra lining her uterus builds up to support pregnancy. If there’s no baby, you’ll get your period. Every month 🙃."",""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""intent"":{""name"":""def_menstruation"",""inputs"":[{""name"":""Period"",""value"":""period""}]}}","def_menstruation",false
"2020-02-19T01:14:09.236Z","My period ain’t regular ","{""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""text"":""My period ain’t regular ""}",,true
"2020-02-19T01:14:09.530Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-19T01:14:09.221Z","I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. ""},{""response_type"":""text"",""text"":""If you think you might be pregnant, you gotta take a pregnancy test. I know that seems scary af but, the sooner you know, the sooner you can talk to a doctor about your options.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_18_1534791434209"",""node_12_1541809118631"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. "",""If you think you might be pregnant, you gotta take a pregnancy test. I know that seems scary af but, the sooner you know, the sooner you can talk to a doctor about your options."",""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_12_1541809118631"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,3,4,1,0]},""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_1_1544810991157"":{""1"":[0,1,0,4,5,3,2,6]},""node_14_1542398848612"":{""0"":[0,0]},""node_59_1542678071199"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""05065e37-5c26-4cb2-bcbf-f71aaea99ee2""},""input"":{""text"":""My period ain’t regular ""},""intents"":[{""intent"":""Period.miss"",""confidence"":0.4643455028533936}],""entities"":[{""location"":[3,9],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""I gotta keep it real with you girl - missing your period if you’ve had sex in the past month is a pretty good sign you might be pregnant. Even if you’ve been on birth control. Now, if you HAVEN’T had sex in the last month, your period could be M.I.A for a whole bunch of reasons. Stress and exercise can throw your cycle off. "",""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""intent"":{""name"":""Period.miss"",""inputs"":[{""name"":""Period"",""value"":""period""}]}}","Period.miss",false
"2020-02-19T01:14:09.543Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""node_12_1541809118631"":{""0"":[0],""1"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,3,4,1,0]},""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_1_1544810991157"":{""1"":[0,1,0,4,5,3,2,6]},""node_14_1542398848612"":{""0"":[0,0]},""node_59_1542678071199"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""05065e37-5c26-4cb2-bcbf-f71aaea99ee2""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""3f45b6ec-d7e9-4c0a-8d6d-cce4e4707eb6"",""intent"":{""name"":""unknown""}}","unknown",false
