"Date","Text","Message JSON","Intent","Incoming"
"2020-02-15T01:12:09.317Z","How can i keep my weight in check?","{""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""text"":""How can i keep my weight in check?""}",,true
"2020-02-15T01:12:09.317Z","<iframe src=""https://giphy.com/embed/RvvlyEwofUCSA"" width=""100%"" height=""480"" frameBorder=""0"" class=""giphy-embed"" allowFullScreen></iframe><p><a href=""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA"">via GIPHY</a></p>","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>""},{""response_type"":""text"",""text"":""So you might be nervous about gaining weight on birth control, but let me tell you right now: besides the shot, most birth control has no effect on your weight at all. So why do so many people think this? Well, most of us will start birth control in our teens and early 20’s which is exactly the time we start to gain weight anyway.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""}],""nodes_visited"":[""node_11_1534540737778"",""node_2_1542645165611"",""node_1_1539882404909"",""node_1_1544810991157""],""text"":[""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>"",""So you might be nervous about gaining weight on birth control, but let me tell you right now: besides the shot, most birth control has no effect on your weight at all. So why do so many people think this? Well, most of us will start birth control in our teens and early 20’s which is exactly the time we start to gain weight anyway."",""<a href=\""/#birth-control-types\"">Tap here to scroll to a list of birth control types.</a> ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8574eb9e-0125-4015-8612-4e48149d296c""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,2,1]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,3,6,5,4,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""fe336e2e-0d16-4fa4-a6cd-fa5aba80f6fc""},""input"":{""text"":""How can i keep my weight in check?""},""intents"":[{""intent"":""BC.weight"",""confidence"":0.5873849630355835}],""alternate_intents"":false},""text"":""<iframe src=\""https://giphy.com/embed/RvvlyEwofUCSA\"" width=\""100%\"" height=\""480\"" frameBorder=\""0\"" class=\""giphy-embed\"" allowFullScreen></iframe><p><a href=\""https://giphy.com/gifs/shakingfoodgifs-funny-kawaii-pink-RvvlyEwofUCSA\"">via GIPHY</a></p>"",""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""intent"":{""name"":""BC.weight""}}","BC.weight",false
"2020-02-15T01:13:22.714Z","Am not talking about this ","{""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""text"":""Am not talking about this ""}",,true
"2020-02-15T01:13:22.714Z","Whatever we talk about here, stays between us. Promise. Plus, this chat is totally anonymous so no one even knows who you are. Your questions are safe with me, girl.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Whatever we talk about here, stays between us. Promise. Plus, this chat is totally anonymous so no one even knows who you are. Your questions are safe with me, girl.""}],""nodes_visited"":[""node_3_1537562921384"",""node_4_1541456146262""],""text"":[""Whatever we talk about here, stays between us. Promise. Plus, this chat is totally anonymous so no one even knows who you are. Your questions are safe with me, girl.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8574eb9e-0125-4015-8612-4e48149d296c""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,2,1]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,3,6,5,4,0]},""node_4_1541456146262"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""fe336e2e-0d16-4fa4-a6cd-fa5aba80f6fc""},""input"":{""text"":""Am not talking about this ""},""intents"":[{""intent"":""Who.Reads.This"",""confidence"":0.6334655284881592}],""alternate_intents"":false},""text"":""Whatever we talk about here, stays between us. Promise. Plus, this chat is totally anonymous so no one even knows who you are. Your questions are safe with me, girl."",""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""intent"":{""name"":""Who.Reads.This""}}","Who.Reads.This",false
"2020-02-15T01:14:29.291Z","Okay so am here to talk about something else not sex. Is that okay?","{""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""text"":""Okay so am here to talk about something else not sex. Is that okay?""}",,true
"2020-02-15T01:14:29.662Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-15T01:14:29.291Z","That awkward moment when your parents ask you about birth control and sex 😩. We’ve all been there. If you find yourself in that spot, try to explain to them that you’re trying to be responsible, that you want to have control of your body, or even that you’re having some issues with out of control periods and you heard birth control can help.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""That awkward moment when your parents ask you about birth control and sex 😩. We’ve all been there. If you find yourself in that spot, try to explain to them that you’re trying to be responsible, that you want to have control of your body, or even that you’re having some issues with out of control periods and you heard birth control can help.""},{""response_type"":""text"",""text"":""At the end of the day though, you don’t NEED your parent’s permission to get birth control. So if you’re ready to get started, check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a> to get what you need.  ""},{""response_type"":""text"",""text"":""Want more info about who you need to tell you're on birth control?  <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2019/1/23/heres-who-you-need-to-tell-youre-on-birth-control\"">Check out this blog.</a>""}],""nodes_visited"":[""node_1_1535489017812"",""node_10_1542664760397"",""node_3_1576093182536""],""text"":[""That awkward moment when your parents ask you about birth control and sex 😩. We’ve all been there. If you find yourself in that spot, try to explain to them that you’re trying to be responsible, that you want to have control of your body, or even that you’re having some issues with out of control periods and you heard birth control can help."",""At the end of the day though, you don’t NEED your parent’s permission to get birth control. So if you’re ready to get started, check out <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a> to get what you need.  "",""Want more info about who you need to tell you're on birth control?  <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2019/1/23/heres-who-you-need-to-tell-youre-on-birth-control\"">Check out this blog.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8574eb9e-0125-4015-8612-4e48149d296c""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,2,1]},""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_1_1544810991157"":{""1"":[0,2,1,3,6,5,4,0]},""node_10_1542664760397"":{""0"":[0],""1"":[0]},""node_4_1541456146262"":{""0"":[0]},""node_3_1576093182536"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""fe336e2e-0d16-4fa4-a6cd-fa5aba80f6fc""},""input"":{""text"":""Okay so am here to talk about something else not sex. Is that okay?""},""intents"":[{""intent"":""BC.how.to.tell.parents"",""confidence"":0.32621443271636963}],""entities"":[{""location"":[49,52],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""That awkward moment when your parents ask you about birth control and sex 😩. We’ve all been there. If you find yourself in that spot, try to explain to them that you’re trying to be responsible, that you want to have control of your body, or even that you’re having some issues with out of control periods and you heard birth control can help."",""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""intent"":{""name"":""BC.how.to.tell.parents"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","BC.how.to.tell.parents",false
"2020-02-15T01:14:29.650Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""8574eb9e-0125-4015-8612-4e48149d296c""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""node_2_1542645165611"":{""0"":[0],""1"":[0]},""node_10_1542664760397"":{""0"":[0],""1"":[0]},""node_4_1541456146262"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_3_1576093182536"":{""0"":[0]},""response_2_1580774127498"":{""0"":[0,0,2,1]},""node_1_1544810991157"":{""1"":[0,2,1,3,6,5,4,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""fe336e2e-0d16-4fa4-a6cd-fa5aba80f6fc""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-02-15T01:15:08.694Z","Can we talk about something else besides sex?","{""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""text"":""Can we talk about something else besides sex?""}",,true
"2020-02-15T01:15:08.977Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""8574eb9e-0125-4015-8612-4e48149d296c"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
