"Date","Text","Message JSON","Intent","Incoming"
"2020-02-04T05:17:50.098Z",,"{""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379""}",,true
"2020-02-04T05:17:50.097Z","Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ","{""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ""}],""nodes_visited"":[""node_1_1580774127492"",""response_2_1580774127498""],""text"":[""Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""205a5aec-19c1-43f7-9779-c8aed8ef1379""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,1,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c8a19a5-ed30-431b-96dd-0421e748e521""},""alternate_intents"":false},""text"":""Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ""}",,false
"2020-02-04T05:18:20.407Z","Can a penis go soft while intercourse without cuming","{""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""text"":""Can a penis go soft while intercourse without cuming""}",,true
"2020-02-04T05:18:20.391Z","You should always put on a condom when he's hard. If he gets soft after the condom is on (hey, it happens...), it's totally fine. Just make sure that when he gets hard again the condom is rolled down to the bottom of his penis and that you can still pinch a bit of space at the head of his penis. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You should always put on a condom when he's hard. If he gets soft after the condom is on (hey, it happens...), it's totally fine. Just make sure that when he gets hard again the condom is rolled down to the bottom of his penis and that you can still pinch a bit of space at the head of his penis. ""}],""nodes_visited"":[""node_3_1536442325299""],""text"":[""You should always put on a condom when he's hard. If he gets soft after the condom is on (hey, it happens...), it's totally fine. Just make sure that when he gets hard again the condom is rolled down to the bottom of his penis and that you can still pinch a bit of space at the head of his penis. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""205a5aec-19c1-43f7-9779-c8aed8ef1379""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,1,0]},""node_3_1536442325299"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c8a19a5-ed30-431b-96dd-0421e748e521""},""input"":{""text"":""Can a penis go soft while intercourse without cuming""},""intents"":[{""intent"":""Condom.when.put.on"",""confidence"":0.5484342813491822}],""entities"":[{""location"":[6,11],""value"":""Penis"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""You should always put on a condom when he's hard. If he gets soft after the condom is on (hey, it happens...), it's totally fine. Just make sure that when he gets hard again the condom is rolled down to the bottom of his penis and that you can still pinch a bit of space at the head of his penis. "",""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""intent"":{""name"":""Condom.when.put.on"",""inputs"":[{""name"":""Body_Parts"",""value"":""Penis""}]}}","Condom.when.put.on",false
"2020-02-04T05:19:18.066Z","Discharge after sex! ","{""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""text"":""Discharge after sex! ""}",,true
"2020-02-04T05:19:18.052Z","Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? ""},{""response_type"":""text"",""text"":""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. ""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""}],""nodes_visited"":[""node_9_1535391946104"",""node_12_1541457248941"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""It’s perfectly NORMAL as long as it’s clear, white, or a light yellow. If you notice it’s smelling foul or turns a deep yellow, green, or red? That’s when things get real. This could be a sign of infection and you need to get treated ASAP. "",""<a target=\""_blank\""  href=\""https://laylasgotyou.com/clinic-map\"">To find a doctor or clinic, tap here to go to the Clinic Map.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""205a5aec-19c1-43f7-9779-c8aed8ef1379""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,1,0]},""node_3_1536442325299"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,4,0,1,3]},""node_12_1541457248941"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c8a19a5-ed30-431b-96dd-0421e748e521""},""input"":{""text"":""Discharge after sex! ""},""intents"":[{""intent"":""Vagina.liquid"",""confidence"":0.5335212230682373}],""entities"":[{""location"":[16,19],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Our bodies are magical aren’t they 🙄? But, sometimes its hard to know what’s normal down there and what’s not. If you’ve noticed some wet stuff in your panties, that’s discharge. And guess what? "",""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""intent"":{""name"":""Vagina.liquid"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Vagina.liquid",false
"2020-02-04T05:20:22.007Z","Does sperm come back out ","{""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""text"":""Does sperm come back out ""}",,true
"2020-02-04T05:20:22.295Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-04T05:20:22.004Z","Take your time, I'll be here whenever you want.  Layla's got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Take your time, I'll be here whenever you want.  Layla's got you!""}],""nodes_visited"":[""node_1_1545956744763""],""text"":[""Take your time, I'll be here whenever you want.  Layla's got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""205a5aec-19c1-43f7-9779-c8aed8ef1379""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,1,0]},""node_3_1536442325299"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,4,0,1,3]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_1_1545956744763"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c8a19a5-ed30-431b-96dd-0421e748e521""},""input"":{""text"":""Does sperm come back out ""},""intents"":[{""intent"":""Be.Right.Back"",""confidence"":0.4926000595092774}],""alternate_intents"":false},""text"":""Take your time, I'll be here whenever you want.  Layla's got you!"",""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""intent"":{""name"":""Be.Right.Back""}}","Be.Right.Back",false
"2020-02-04T05:20:22.283Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""205a5aec-19c1-43f7-9779-c8aed8ef1379""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,1,0]},""node_3_1536442325299"":{""0"":[0]},""node_3_1544835959501"":{""1"":[0,2,4,0,1,3]},""node_1_1540844990941"":{""0"":[0]},""node_12_1541457248941"":{""0"":[0],""1"":[0]},""node_1_1545956744763"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""3c8a19a5-ed30-431b-96dd-0421e748e521""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""205a5aec-19c1-43f7-9779-c8aed8ef1379"",""intent"":{""name"":""unknown""}}","unknown",false
