"Date","Text","Message JSON","Intent","Incoming"
"2020-02-09T14:36:35.033Z",,"{""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49""}",,true
"2020-02-09T14:36:35.032Z","Hey girl, it’s February...and you know what that means - Valentine’s Day AND National Condom Month! Condoms are the only type of birth control to protect against STDs and pregnancy. Want more info about sex or birth control? Let me know! ","{""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Hey girl, it’s February...and you know what that means - Valentine’s Day AND National Condom Month! Condoms are the only type of birth control to protect against STDs and pregnancy. Want more info about sex or birth control? Let me know! ""}],""nodes_visited"":[""node_1_1580774127492"",""response_2_1580774127498""],""text"":[""Hey girl, it’s February...and you know what that means - Valentine’s Day AND National Condom Month! Condoms are the only type of birth control to protect against STDs and pregnancy. Want more info about sex or birth control? Let me know! ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""371dceda-2f4e-456b-a5f0-e14b2095ed49""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,2,1]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f0d9cf1f-5689-427e-92ae-68a984b82a21""},""alternate_intents"":false},""text"":""Hey girl, it’s February...and you know what that means - Valentine’s Day AND National Condom Month! Condoms are the only type of birth control to protect against STDs and pregnancy. Want more info about sex or birth control? Let me know! ""}",,false
"2020-02-09T14:37:09.094Z","Why would a female bleed during sex","{""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""text"":""Why would a female bleed during sex""}",,true
"2020-02-09T14:37:09.074Z","Bleeding after sex can be kinda intense but there are lots of reasons it can happen. If it’s a girl's first time, it could be that her ""cherry popped"" (that’s when the hymen breaks). If not, it could just be it was too dry down there (always keep some lube on hand, girl). ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Bleeding after sex can be kinda intense but there are lots of reasons it can happen. If it’s a girl's first time, it could be that her \""cherry popped\"" (that’s when the hymen breaks). If not, it could just be it was too dry down there (always keep some lube on hand, girl). ""},{""response_type"":""text"",""text"":""BUT, bleeding can also be a sign something’s wrong so if you're worried, you should definitely make an appointment with your doctor.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_11_1535649528434"",""node_28_1541631177855"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Bleeding after sex can be kinda intense but there are lots of reasons it can happen. If it’s a girl's first time, it could be that her \""cherry popped\"" (that’s when the hymen breaks). If not, it could just be it was too dry down there (always keep some lube on hand, girl). "",""BUT, bleeding can also be a sign something’s wrong so if you're worried, you should definitely make an appointment with your doctor."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""371dceda-2f4e-456b-a5f0-e14b2095ed49""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,2,1]},""node_28_1541631177855"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,0,1,2,4,3]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f0d9cf1f-5689-427e-92ae-68a984b82a21""},""input"":{""text"":""Why would a female bleed during sex""},""intents"":[{""intent"":""Sex.vaginal.bleeding"",""confidence"":0.5467068195343018}],""entities"":[{""location"":[12,18],""value"":""Female"",""entity"":""Gender"",""confidence"":1},{""location"":[32,35],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Bleeding after sex can be kinda intense but there are lots of reasons it can happen. If it’s a girl's first time, it could be that her \""cherry popped\"" (that’s when the hymen breaks). If not, it could just be it was too dry down there (always keep some lube on hand, girl). "",""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""intent"":{""name"":""Sex.vaginal.bleeding"",""inputs"":[{""name"":""Gender"",""value"":""Female""},{""name"":""Sex"",""value"":""sex""}]}}","Sex.vaginal.bleeding",false
"2020-02-09T14:38:18.281Z","Could I get pregnant even though I have irregular periods?","{""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""text"":""Could I get pregnant even though I have irregular periods?""}",,true
"2020-02-09T14:38:18.876Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-09T14:38:18.281Z","Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. ""}],""nodes_visited"":[""node_39_1535587920991""],""text"":[""Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""371dceda-2f4e-456b-a5f0-e14b2095ed49""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,2,1]},""node_28_1541631177855"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,0,1,2,4,3]},""node_39_1535587920991"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f0d9cf1f-5689-427e-92ae-68a984b82a21""},""input"":{""text"":""Could I get pregnant even though I have irregular periods?""},""intents"":[{""intent"":""Period.frequency"",""confidence"":0.3661590099334717}],""entities"":[{""location"":[12,20],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[50,57],""value"":""period"",""entity"":""Period"",""confidence"":1}],""alternate_intents"":false},""text"":""Our bodies are all different! Most women get their period once a month, around the same time. But for other women, their periods come once every couple of months. This is why a lot of women use birth control to regulate their periods. "",""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""intent"":{""name"":""Period.frequency"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Period"",""value"":""period""}]}}","Period.frequency",false
"2020-02-09T14:38:18.864Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""371dceda-2f4e-456b-a5f0-e14b2095ed49""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,2,1]},""node_28_1541631177855"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,0,1,2,4,3]},""node_39_1535587920991"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""f0d9cf1f-5689-427e-92ae-68a984b82a21""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-02-09T14:39:06.338Z","Is sex everyday of the week bad? ","{""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""text"":""Is sex everyday of the week bad? ""}",,true
"2020-02-09T14:39:06.615Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""371dceda-2f4e-456b-a5f0-e14b2095ed49"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
