"Date","Text","Message JSON","Intent","Incoming"
"2020-02-10T00:43:36.184Z",,"{""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993""}",,true
"2020-02-10T00:43:36.184Z","Happy Black History Month, babygirl! Taking pride in who we are, and where we come from is powerful - and so are you! ✊🏾 Got questions about using that power when it comes to sex and birth control? Ask me anything!  ","{""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Happy Black History Month, babygirl! Taking pride in who we are, and where we come from is powerful - and so are you! ✊🏾 Got questions about using that power when it comes to sex and birth control? Ask me anything!  ""}],""nodes_visited"":[""node_1_1580774127492"",""response_2_1580774127498""],""text"":[""Happy Black History Month, babygirl! Taking pride in who we are, and where we come from is powerful - and so are you! ✊🏾 Got questions about using that power when it comes to sex and birth control? Ask me anything!  ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""68922d78-4be0-4ba8-a470-5fc2413ae993""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a0f01c86-9e4c-4041-b6b7-6492cf995e59""},""alternate_intents"":false},""text"":""Happy Black History Month, babygirl! Taking pride in who we are, and where we come from is powerful - and so are you! ✊🏾 Got questions about using that power when it comes to sex and birth control? Ask me anything!  ""}",,false
"2020-02-10T00:43:57.896Z","how does insemination work ?","{""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""text"":""how does insemination work ?""}",,true
"2020-02-10T00:43:57.886Z","ParaGard IUDs are made out of copper. Sperm don't like copper and it stops them from swimming up to a woman's egg. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""ParaGard IUDs are made out of copper. Sperm don't like copper and it stops them from swimming up to a woman's egg. ""}],""nodes_visited"":[""node_9_1535044330534""],""text"":[""ParaGard IUDs are made out of copper. Sperm don't like copper and it stops them from swimming up to a woman's egg. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""68922d78-4be0-4ba8-a470-5fc2413ae993""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_9_1535044330534"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a0f01c86-9e4c-4041-b6b7-6492cf995e59""},""input"":{""text"":""how does insemination work ?""},""intents"":[{""intent"":""Paragard.how.works"",""confidence"":0.3734744906425476}],""alternate_intents"":false},""text"":""ParaGard IUDs are made out of copper. Sperm don't like copper and it stops them from swimming up to a woman's egg. "",""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""intent"":{""name"":""Paragard.how.works""}}","Paragard.how.works",false
"2020-02-10T00:43:58.578Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-10T00:43:58.596Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""68922d78-4be0-4ba8-a470-5fc2413ae993""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_1_1540844990941"":{""0"":[0]},""node_9_1535044330534"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a0f01c86-9e4c-4041-b6b7-6492cf995e59""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""intent"":{""name"":""unknown""}}","unknown",false
"2020-02-10T00:44:15.275Z","can i get pregnant?","{""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""text"":""can i get pregnant?""}",,true
"2020-02-10T00:44:15.474Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-10T00:44:15.262Z","You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. ""},{""response_type"":""text"",""text"":""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""}],""nodes_visited"":[""node_2_1534536009510"",""node_4_1541708593861""],""text"":[""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""If you don’t want to get pregnant, use birth control so you can have sex whenever you want 😃.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""68922d78-4be0-4ba8-a470-5fc2413ae993""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_9_1535044330534"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1541708593861"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a0f01c86-9e4c-4041-b6b7-6492cf995e59""},""input"":{""text"":""can i get pregnant?""},""intents"":[{""intent"":""Preg.time"",""confidence"":0.4626814126968384}],""entities"":[{""location"":[10,18],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1}],""alternate_intents"":false},""text"":""You can get pregnant any time you have sex. This means at any time during the month, even on your period. Sperm can survive up to 5 DAYS in a woman’s body so even towards the end of your period, you’re risking pregnancy. "",""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""intent"":{""name"":""Preg.time"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""}]}}","Preg.time",false
"2020-02-10T00:44:15.492Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""68922d78-4be0-4ba8-a470-5fc2413ae993""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_9_1535044330534"":{""0"":[0]},""node_1_1540844990941"":{""0"":[0]},""node_4_1541708593861"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""a0f01c86-9e4c-4041-b6b7-6492cf995e59""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""68922d78-4be0-4ba8-a470-5fc2413ae993"",""intent"":{""name"":""unknown""}}","unknown",false
