"Date","Text","Message JSON","Intent","Incoming"
"2020-02-11T07:18:47.924Z",,"{""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168""}",,true
"2020-02-11T07:18:47.921Z","Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ","{""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ""}],""nodes_visited"":[""node_1_1580774127492"",""response_2_1580774127498""],""text"":[""Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7d78ce58-06c7-4854-9e6b-1d8093d23168""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c78d3726-4557-46b6-abb1-5628eef5fab0""},""alternate_intents"":false},""text"":""Is winter over yet?? Hard to tell with our unpredictable weather... But you know what doesn’t have to be unpredictable: your period! Birth control can make your period more regular, which means no more surprises! 🙌🏿 What else do you want to know about sex or birth control? Just ask - I’ve got you. ""}",,false
"2020-02-11T07:19:30.632Z","Was having sex supposed to hurt the first time","{""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""text"":""Was having sex supposed to hurt the first time""}",,true
"2020-02-11T07:19:30.617Z","Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. ""},{""response_type"":""text"",""text"":""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on.""},{""typing"":true,""response_type"":""pause"",""time"":5000},{""response_type"":""text"",""text"":""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""}],""nodes_visited"":[""node_6_1535644870528"",""node_30_1541631510471"",""node_2_1539890504026"",""node_3_1544835959501""],""text"":[""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""If you’re not getting wet enough, try using some lube to help you out. And if you’re still feeling pain after the first few times, your body might be trying to tell you something’s up, so talk to your doctor to figure out what’s going on."",""<a target=\""_blank\"" href=\""https://laylasgotyou.com/clinic-map\"">Tap here to go to the Clinic Map for a doctor or clinic near you.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7d78ce58-06c7-4854-9e6b-1d8093d23168""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_3_1544835959501"":{""1"":[0,0,1,2,4,3]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c78d3726-4557-46b6-abb1-5628eef5fab0""},""input"":{""text"":""Was having sex supposed to hurt the first time""},""intents"":[{""intent"":""Sex.pain"",""confidence"":0.9023805141448975}],""entities"":[{""location"":[11,14],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Let me keep it real with you. The first couple times you have sex, it’s probably not gonna feel great. For some girls, it might be straight up painful. But, it’s normal and gets better after a few times. "",""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""intent"":{""name"":""Sex.pain"",""inputs"":[{""name"":""Sex"",""value"":""sex""}]}}","Sex.pain",false
"2020-02-11T07:20:34.447Z","If a boy try to make you suck his dick and you don’t want to what should you do ","{""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""text"":""If a boy try to make you suck his dick and you don’t want to what should you do ""}",,true
"2020-02-11T07:20:34.445Z","Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!""}],""nodes_visited"":[""node_9_1536090170166"",""node_6_1542239788669""],""text"":[""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7d78ce58-06c7-4854-9e6b-1d8093d23168""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_6_1542239788669"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,0,1,2,4,3]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c78d3726-4557-46b6-abb1-5628eef5fab0""},""input"":{""text"":""If a boy try to make you suck his dick and you don’t want to what should you do ""},""intents"":[{""intent"":""I.Hate.You.Bot"",""confidence"":0.8822318077087403}],""entities"":[{""location"":[5,8],""value"":""Male"",""entity"":""Gender"",""confidence"":1},{""location"":[34,38],""value"":""Penis"",""entity"":""Body_Parts"",""confidence"":1}],""alternate_intents"":false},""text"":""Don’t be like that girl! I’m here to help. What do you want to know about birth control? I got you!"",""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""intent"":{""name"":""I.Hate.You.Bot"",""inputs"":[{""name"":""Gender"",""value"":""Male""},{""name"":""Body_Parts"",""value"":""Penis""}]}}","I.Hate.You.Bot",false
"2020-02-11T07:21:09.028Z","Do you get pregnant on birth control?","{""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""text"":""Do you get pregnant on birth control?""}",,true
"2020-02-11T07:21:09.710Z","e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8","{""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""}",,true
"2020-02-11T07:21:09.012Z","Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP.""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""options"":[{""value"":{""input"":{""text"":""How safe is the IUD?""}},""label"":""See how safe the IUD is here.""}],""response_type"":""option""},{""response_type"":""text"",""text"":""Or ask me something else.""}],""nodes_visited"":[""node_30_1534973487552"",""node_15_1541715775221""],""text"":[""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""Or ask me something else.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7d78ce58-06c7-4854-9e6b-1d8093d23168""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]},""node_6_1542239788669"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,0,1,2,4,3]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c78d3726-4557-46b6-abb1-5628eef5fab0""},""input"":{""text"":""Do you get pregnant on birth control?""},""intents"":[{""intent"":""Preg.IUD"",""confidence"":0.448271656036377}],""entities"":[{""location"":[11,19],""value"":""pregnant"",""entity"":""Pregnant"",""confidence"":1},{""location"":[23,36],""value"":""birth control"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""Getting pregnant with an IUD is really rare but, it can happen. If you think you might be pregnant or have a positive pregnancy test with an IUD, you need to see your doctor ASAP."",""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""intent"":{""name"":""Preg.IUD"",""inputs"":[{""name"":""Pregnant"",""value"":""pregnant""},{""name"":""Birth_Control"",""value"":""birth control""}]}}","Preg.IUD",false
"2020-02-11T07:21:09.722Z","I'm sorry can you ask that some other way?","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm sorry can you ask that some other way?""}],""nodes_visited"":[""node_1_1540844990941""],""text"":[""I'm sorry can you ask that some other way?""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""7d78ce58-06c7-4854-9e6b-1d8093d23168""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,2,0,1]},""node_30_1541631510471"":{""0"":[0],""1"":[0]},""node_15_1541715775221"":{""0"":[0],""3"":[0]},""node_6_1542239788669"":{""0"":[0,0]},""node_3_1544835959501"":{""1"":[0,0,1,2,4,3]},""node_1_1540844990941"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""c78d3726-4557-46b6-abb1-5628eef5fab0""},""input"":{""text"":""e1eb36b0-040d-4fdd-843d-ccde7dc6a3c8""},""intents"":[{""intent"":""unknown"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm sorry can you ask that some other way?"",""userId"":""7d78ce58-06c7-4854-9e6b-1d8093d23168"",""intent"":{""name"":""unknown""}}","unknown",false
