"Date","Text","Message JSON","Intent","Incoming"
"2020-03-03T18:57:08.032Z","What is masturbation?","{""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""text"":""What is masturbation?""}",,true
"2020-03-03T18:57:08.022Z","I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\_(ツ)_/¯. If you like it, enjoy yo’self girl!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\\_(ツ)_/¯. If you like it, enjoy yo’self girl!""}],""nodes_visited"":[""node_7_1581970401965""],""text"":[""I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\\_(ツ)_/¯. If you like it, enjoy yo’self girl!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_7_1581970401965"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""0fe057f1-d3fa-4a10-b459-abccaf7f20fc""},""input"":{""text"":""What is masturbation?""},""intents"":[{""intent"":""Masturbation"",""confidence"":0.9108664989471436}],""entities"":[{""location"":[8,20],""value"":""masturbation"",""entity"":""sex"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\\_(ツ)_/¯. If you like it, enjoy yo’self girl!"",""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""intent"":{""name"":""Masturbation"",""inputs"":[{""name"":""sex"",""value"":""masturbation""}]}}","Masturbation",false
"2020-03-03T18:57:32.916Z","What is maturation for girls?","{""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""text"":""What is maturation for girls?""}",,true
"2020-03-03T18:57:32.903Z","I didn't understand. You can try rephrasing.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand. You can try rephrasing.""}],""nodes_visited"":[""Anything else""],""text"":[""I didn't understand. You can try rephrasing.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_7_1581970401965"":{""0"":[0]},""Anything else"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""0fe057f1-d3fa-4a10-b459-abccaf7f20fc""},""input"":{""text"":""What is maturation for girls?""},""intents"":[{""intent"":""Condom.female"",""confidence"":0.2558069803990378}],""entities"":[{""location"":[23,28],""value"":""female"",""entity"":""gender"",""confidence"":1}],""alternate_intents"":false},""text"":""I didn't understand. You can try rephrasing."",""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""intent"":{""name"":""Condom.female"",""inputs"":[{""name"":""gender"",""value"":""female""}]}}","Condom.female",false
"2020-03-03T18:57:45.450Z","What is masturbation for girls?","{""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""text"":""What is masturbation for girls?""}",,true
"2020-03-03T18:57:45.463Z","I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\_(ツ)_/¯. If you like it, enjoy yo’self girl!","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\\_(ツ)_/¯. If you like it, enjoy yo’self girl!""}],""nodes_visited"":[""node_7_1581970401965""],""text"":[""I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\\_(ツ)_/¯. If you like it, enjoy yo’self girl!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""node_7_1581970401965"":{""0"":[0]},""Anything else"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""0fe057f1-d3fa-4a10-b459-abccaf7f20fc""},""input"":{""text"":""What is masturbation for girls?""},""intents"":[{""intent"":""Masturbation"",""confidence"":0.8363993167877197}],""entities"":[{""location"":[8,20],""value"":""masturbation"",""entity"":""sex"",""confidence"":1},{""location"":[25,30],""value"":""female"",""entity"":""gender"",""confidence"":1}],""alternate_intents"":false},""text"":""I'm gonna keep it ALL the way real with you. Almost EVERYBODY masturbates. Yup, I mean girls and guys, of all ages. I guess most people feel awkward about it so nobody says anything but, that doesn’t mean we all aren’t doing it ¯\\_(ツ)_/¯. If you like it, enjoy yo’self girl!"",""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""intent"":{""name"":""Masturbation"",""inputs"":[{""name"":""sex"",""value"":""masturbation""},{""name"":""gender"",""value"":""female""}]}}","Masturbation",false
"2020-03-03T18:57:59.338Z","Where can I get birth control?","{""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""text"":""Where can I get birth control?""}",,true
"2020-03-03T18:57:59.323Z","Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=""_blank"" href=""https://www.prjktruby.com/"">Prjkt Ruby</a>, <a target=""_blank"" href=""https://thepillclub.com/main/"">The Pill Club</a>, <a target=""_blank"" href=""https://app.nurx.com/oc/category/"">Nurx</a>, and <a target=""_blank"" href=""https://www.vagisil.com/products/preventeza-emergency-contraceptive/"">Vagisil</a>.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>.""},{""response_type"":""text"",""text"":""Now, if you want the IUD, shot, or the implant, only a doctor can do those so you’ll need to make an appointment if that’s what you want. And don’t forget, you can buy condoms anywhere. You can even get them for free at places like <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>.""},{""response_type"":""text"",""text"":""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""}],""nodes_visited"":[""node_11_1534788284463"",""node_22_1542671356223"",""node_6_1576089694138""],""text"":[""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""Now, if you want the IUD, shot, or the implant, only a doctor can do those so you’ll need to make an appointment if that’s what you want. And don’t forget, you can buy condoms anywhere. You can even get them for free at places like <a target=\""_blank\"" href=\""https://www.plannedparenthood.org/health-center/new-york/syracuse/13210/syracuse-health-center-2471-91040/\"">Planned Parenthood</a> or <a target=\""_blank\"" href=\""http://www.smnfswcc.org/family-planning.aspx\"">Family Planning Service</a>."",""Want more info about how to make an appointment to get birth control? <a target=\""_blank\"" href=\""https://laylasgotyou.com/layla-blog/2018/12/30/sohow-do-i-make-a-doctors-appointment-for-birth-control\"">Click here to check out this blog.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""Anything else"":{""0"":[0]},""node_7_1581970401965"":{""0"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""0fe057f1-d3fa-4a10-b459-abccaf7f20fc""},""input"":{""text"":""Where can I get birth control?""},""intents"":[{""intent"":""BC.how.get"",""confidence"":0.7435102939605713}],""entities"":[{""location"":[6,9],""value"":""can"",""entity"":""can"",""confidence"":1},{""location"":[10,11],""value"":""me"",""entity"":""me"",""confidence"":1},{""location"":[16,29],""value"":""birth control"",""entity"":""birth_control"",""confidence"":1}],""alternate_intents"":false},""text"":""Birth control is super easy to get. I know it sounds like a lot of work but seriously, it’s not that bad. There was a time when you could ONLY get it through your doctor but these days, you can get lots of different kinds online. Yes girl, online! Condoms, the pill, patch, ring, and even the morning after pill are available. You just need to answer a few questions and maybe meet with a doctor online and that’s it! Check out these websites to find online birth control: <a target=\""_blank\"" href=\""https://www.prjktruby.com/\"">Prjkt Ruby</a>, <a target=\""_blank\"" href=\""https://thepillclub.com/main/\"">The Pill Club</a>, <a target=\""_blank\"" href=\""https://app.nurx.com/oc/category/\"">Nurx</a>, and <a target=\""_blank\"" href=\""https://www.vagisil.com/products/preventeza-emergency-contraceptive/\"">Vagisil</a>."",""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""intent"":{""name"":""BC.how.get"",""inputs"":[{""name"":""can"",""value"":""can""},{""name"":""me"",""value"":""me""},{""name"":""birth_control"",""value"":""birth control""}]}}","BC.how.get",false
"2020-03-03T18:58:58.689Z","My boyfriend wants to have sex but I don't","{""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""text"":""My boyfriend wants to have sex but I don't""}",,true
"2020-03-03T18:58:58.688Z","Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. ","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. ""},{""response_type"":""text"",""text"":""Tell them it’s not about them, it’s about YOU, and although you care about them, you’re just not ready. And just because you’re not ready today, doesn’t mean you'll never be ready. Besides, there are things you can do other than sex, if you're ready 😉.""}],""nodes_visited"":[""node_8_1581970699536""],""text"":[""Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. "",""Tell them it’s not about them, it’s about YOU, and although you care about them, you’re just not ready. And just because you’re not ready today, doesn’t mean you'll never be ready. Besides, there are things you can do other than sex, if you're ready 😉.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529""},""system"":{""dialog_request_counter"":6,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":6,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,1,2,0]},""Anything else"":{""0"":[0]},""node_7_1581970401965"":{""0"":[0]},""node_6_1576089694138"":{""0"":[0]},""node_8_1581970699536"":{""0"":[0],""1"":[0]},""node_22_1542671356223"":{""0"":[0],""1"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""0fe057f1-d3fa-4a10-b459-abccaf7f20fc""},""input"":{""text"":""My boyfriend wants to have sex but I don't""},""intents"":[{""intent"":""Pressured"",""confidence"":0.5417749166488648}],""entities"":[{""location"":[3,12],""value"":""male"",""entity"":""gender"",""confidence"":1},{""location"":[3,12],""value"":""boyfriend"",""entity"":""person"",""confidence"":1},{""location"":[3,12],""value"":""partner"",""entity"":""partner"",""confidence"":1},{""location"":[27,30],""value"":""sex"",""entity"":""sex"",""confidence"":1},{""location"":[35,36],""value"":""me"",""entity"":""me"",""confidence"":1}],""alternate_intents"":false},""text"":""Sometimes girls feel pressured to have sex before they’re ready - but there’s nothing wrong if you feel like you need more time. Don’t feel scared to speak up and let your boo know how you’re feeling. "",""userId"":""43c5a5a5-dee5-4a3f-bf49-2f9c0ea82529"",""intent"":{""name"":""Pressured"",""inputs"":[{""name"":""gender"",""value"":""male""},{""name"":""person"",""value"":""boyfriend""},{""name"":""partner"",""value"":""partner""},{""name"":""sex"",""value"":""sex""},{""name"":""me"",""value"":""me""}]}}","Pressured",false
